,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
0,1,conf/cvpr,"['Computer vision', 'Pattern recognition']",0.0,0.0,1,conf/sigir,['Information retrieval'],1.0,0.05,1,conf/ictir,['Information retrieval'],1.0,0.05
1,2,conf/www,['World Wide Web'],0.0,0.0,2,conf/cikm,"['Database', 'Information retrieval', 'Knowledge management']",1.0,0.1,2,conf/sigir,['Information retrieval'],1.0,0.1
2,3,conf/icml,['Machine learning'],0.0,0.0,3,conf/trec,['Information retrieval'],1.0,0.15,3,journals/ir,['Information retrieval'],1.0,0.15
3,4,conf/nips,['Machine learning'],0.0,0.0,4,conf/ecir,['Information retrieval'],1.0,0.2,4,conf/ecir,['Information retrieval'],1.0,0.2
4,5,conf/sigmod,['Database'],0.0,0.0,5,conf/clef,[''],0.8,0.2,5,conf/trec,['Information retrieval'],1.0,0.25
5,6,conf/wsdm,"['Data mining', 'Information retrieval']",0.166666666667,0.05,6,conf/www,['World Wide Web'],0.666666666667,0.2,6,journals/sigir,['Information retrieval'],1.0,0.3
6,7,conf/emnlp,['Natural language processing'],0.142857142857,0.05,7,journals/jasis,['Information retrieval'],0.714285714286,0.25,7,conf/iiix,"['Human-computer interaction', 'Information retrieval']",1.0,0.35
7,8,conf/icde,['Database'],0.125,0.05,8,journals/ipm,['Information retrieval'],0.75,0.3,8,journals/tois,['Information retrieval'],1.0,0.4
8,9,conf/sigir,['Information retrieval'],0.222222222222,0.1,9,journals/sigir,['Information retrieval'],0.777777777778,0.35,9,conf/wsdm,"['Data mining', 'Information retrieval']",1.0,0.45
9,10,journals/ir,['Information retrieval'],0.3,0.15,10,conf/mm,['Multimedia'],0.7,0.35,10,conf/inex,['Information retrieval'],1.0,0.5
10,11,conf/icwsm,['World Wide Web'],0.272727272727,0.15,11,conf/aaai,['Artificial intelligence'],0.636363636364,0.35,11,conf/spire,['Information retrieval'],1.0,0.55
11,12,conf/naacl,['Natural language processing'],0.25,0.15,12,conf/jcdl,['Information retrieval'],0.666666666667,0.4,12,conf/airs,['Information retrieval'],1.0,0.6
12,13,conf/ijcai,['Artificial intelligence'],0.230769230769,0.15,13,journals/tois,['Information retrieval'],0.692307692308,0.45,13,conf/cikm,"['Database', 'Information retrieval', 'Knowledge management']",1.0,0.65
13,14,conf/aaai,['Artificial intelligence'],0.214285714286,0.15,14,journals/ir,['Information retrieval'],0.714285714286,0.5,14,conf/riao,['Information retrieval'],1.0,0.7
14,15,conf/sdm,['Data mining'],0.2,0.15,15,conf/wsdm,"['Data mining', 'Information retrieval']",0.733333333333,0.55,15,conf/clef,[''],0.933333333333,0.7
15,16,conf/vldb,['Database'],0.1875,0.15,16,conf/ntcir,['Information retrieval'],0.75,0.6,16,conf/ntcir,['Information retrieval'],0.9375,0.75
16,17,conf/coling,['Natural language processing'],0.176470588235,0.15,17,conf/kdd,"['Data mining', 'Knowledge management']",0.705882352941,0.6,17,conf/jcdl,['Information retrieval'],0.941176470588,0.8
17,18,conf/lrec,['Natural language processing'],0.166666666667,0.15,18,journals/tkde,"['Database', 'Knowledge management']",0.666666666667,0.6,18,journals/ipm,['Information retrieval'],0.944444444444,0.85
18,19,conf/clef,[''],0.157894736842,0.15,19,conf/acl,"['Machine learning', 'Natural language processing']",0.631578947368,0.6,19,conf/ercimdl,[''],0.894736842105,0.85
19,20,conf/icmcs,['Multimedia'],0.15,0.15,20,conf/icdm,['Data mining'],0.6,0.6,20,conf/www,['World Wide Web'],0.85,0.85
20,21,conf/webi,['World Wide Web'],0.142857142857,0.15,21,conf/spire,['Information retrieval'],0.619047619048,0.65,21,conf/mir,"['Information retrieval', 'Multimedia']",0.857142857143,0.9
21,22,conf/jcdl,['Information retrieval'],0.181818181818,0.2,22,conf/icde,['Database'],0.590909090909,0.65,22,conf/isi,['Internet privacy'],0.818181818182,0.9
22,23,conf/spire,['Information retrieval'],0.217391304348,0.25,23,conf/ercimdl,[''],0.565217391304,0.65,23,conf/icwsm,['World Wide Web'],0.782608695652,0.9
23,24,conf/trec,['Information retrieval'],0.25,0.3,24,conf/icmcs,['Multimedia'],0.541666666667,0.65,24,conf/mmm,['Multimedia'],0.75,0.9
24,25,conf/mmm,['Multimedia'],0.24,0.3,25,conf/sigmod,['Database'],0.52,0.65,25,journals/jasis,['Information retrieval'],0.76,0.95
25,26,conf/inex,['Information retrieval'],0.269230769231,0.35,26,conf/airs,['Information retrieval'],0.538461538462,0.7,26,conf/sdm,['Data mining'],0.730769230769,0.95
26,27,journals/ipm,['Information retrieval'],0.296296296296,0.4,27,conf/coling,['Natural language processing'],0.518518518519,0.7,27,conf/mm,['Multimedia'],0.703703703704,0.95
27,28,journals/sigir,['Information retrieval'],0.321428571429,0.45,28,conf/ijcai,['Artificial intelligence'],0.5,0.7,28,conf/kdd,"['Data mining', 'Knowledge management']",0.678571428571,0.95
28,29,conf/airs,['Information retrieval'],0.344827586207,0.5,29,conf/riao,['Information retrieval'],0.51724137931,0.75,29,journals/tkde,"['Database', 'Knowledge management']",0.655172413793,0.95
