,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
0,1,conf/www,['World Wide Web'],0.0,0.0,1,conf/sigmod,['Database'],1.0,0.0625,1,journals/dr,[''],0.0,0.0
1,2,journals/www,['World Wide Web'],0.0,0.0,2,conf/icde,[''],0.5,0.0625,2,journals/vldb,['Database'],0.5,0.0625
2,3,journals/computer,[''],0.0,0.0,3,conf/vldb,['Database'],0.666666666667,0.125,3,journals/pvldb,['Database'],0.666666666667,0.125
3,4,journals/is,[''],0.0,0.0,4,journals/tkde,['Knowledge management'],0.5,0.125,4,conf/cidr,['Database'],0.75,0.1875
4,5,journals/isci,[''],0.0,0.0,5,journals/pvldb,['Database'],0.6,0.1875,5,conf/sigmod,['Database'],0.8,0.25
5,6,conf/sigmod,['Database'],0.166666666667,0.0625,6,conf/cikm,"['Database', 'Knowledge management']",0.666666666667,0.25,6,journals/debu,[''],0.666666666667,0.25
6,7,conf/icde,[''],0.142857142857,0.0625,7,journals/debu,[''],0.571428571429,0.25,7,journals/tods,['Database'],0.714285714286,0.3125
7,8,conf/sigir,['Information retrieval'],0.125,0.0625,8,conf/edbt,['Database'],0.625,0.3125,8,conf/icde,[''],0.625,0.3125
8,9,conf/ijcai,['Artificial intelligence'],0.111111111111,0.0625,9,journals/sigmod,['Database'],0.666666666667,0.375,9,conf/vldb,['Database'],0.666666666667,0.375
9,10,conf/aaai,['Artificial intelligence'],0.1,0.0625,10,conf/kdd,"['Data mining', 'Knowledge management']",0.6,0.375,10,conf/webdb,[''],0.6,0.375
10,11,conf/edbt,['Database'],0.181818181818,0.125,11,journals/vldb,['Database'],0.636363636364,0.4375,11,conf/ssd,['Database'],0.636363636364,0.4375
11,12,journals/jacm,['Algorithm'],0.166666666667,0.125,12,journals/tods,['Database'],0.666666666667,0.5,12,conf/edbt,['Database'],0.666666666667,0.5
12,13,conf/sdm,['Data mining'],0.153846153846,0.125,13,conf/icdm,['Data mining'],0.615384615385,0.5,13,conf/pods,['Database'],0.692307692308,0.5625
13,14,conf/vldb,['Database'],0.214285714286,0.1875,14,conf/dasfaa,['Database'],0.642857142857,0.5625,14,journals/tkde,['Knowledge management'],0.642857142857,0.5625
14,15,conf/gis,['Algorithm'],0.2,0.1875,15,conf/pods,['Database'],0.666666666667,0.625,15,journals/sigmod,['Database'],0.666666666667,0.625
15,16,conf/pods,['Database'],0.25,0.25,16,conf/www,['World Wide Web'],0.625,0.625,16,journals/dpd,['Database'],0.6875,0.6875
16,17,conf/cidr,['Database'],0.294117647059,0.3125,17,conf/ssdbm,['Database'],0.647058823529,0.6875,17,conf/ssdbm,['Database'],0.705882352941,0.75
17,18,conf/mdm,[''],0.277777777778,0.3125,18,journals/is,[''],0.611111111111,0.6875,18,conf/icdt,['Database'],0.722222222222,0.8125
18,19,conf/icdt,['Database'],0.315789473684,0.375,19,conf/sdm,['Data mining'],0.578947368421,0.6875,19,conf/dasfaa,['Database'],0.736842105263,0.875
19,20,journals/sigmod,['Database'],0.35,0.4375,20,conf/icdcs,[''],0.55,0.6875,20,journals/www,['World Wide Web'],0.7,0.875
20,21,conf/ssdbm,['Database'],0.380952380952,0.5,21,conf/pakdd,['Data mining'],0.52380952381,0.6875,21,conf/sdm,['Data mining'],0.666666666667,0.875
21,22,conf/dasfaa,['Database'],0.409090909091,0.5625,22,conf/dexa,['Database'],0.545454545455,0.75,22,conf/kdd,"['Data mining', 'Knowledge management']",0.636363636364,0.875
22,23,conf/wise,[''],0.391304347826,0.5625,23,conf/gis,['Algorithm'],0.521739130435,0.75,23,conf/cikm,"['Database', 'Knowledge management']",0.652173913043,0.9375
23,24,conf/btw,[''],0.375,0.5625,24,journals/dke,[''],0.5,0.75,24,journals/is,[''],0.625,0.9375
