ID,Sub-area
1,Algorithm
2,Artificial intelligence
3,Bioinformatics
4,Cognitive science
5,Computational biology
6,Computational science
7,Computer architecture
8,Computer graphics (images)
9,Computer hardware
10,Computer network
11,Computer security
12,Computer vision
13,Data mining
14,Data science
15,Database
16,Distributed computing
17,Embedded system
18,Human-computer interaction
19,Information retrieval
20,Internet privacy
21,Knowledge management
22,Machine learning
23,Management science
24,Mathematical optimization
25,Multimedia
26,Natural language processing
27,Operating system
28,Operations research
29,Parallel computing
30,Pattern recognition
31,Programming language
32,Real-time computing
33,Simulation
34,Speech recognition
35,Telecommunications
36,Theoretical computer science
37,World Wide Web
