Vkey,Subareas
conf/ictir,['Information retrieval']
conf/sigir,['Information retrieval']
conf/adcs,['Information retrieval']
journals/ir,['Information retrieval']
conf/ecir,['Information retrieval']
conf/trec,['Information retrieval']
journals/sigir,['Information retrieval']
conf/iiix,['Human-computer interaction']
journals/tois,['Information retrieval']
conf/wsdm,['Data mining']
conf/inex,['Information retrieval']
conf/spire,['Information retrieval']
conf/airs,['Information retrieval']
conf/cikm,['Knowledge management']
journals/tweb,['World Wide Web']
conf/riao,['Information retrieval']
conf/clef,['Information retrieval']
conf/ntcir,['Information retrieval']
conf/la-web,['']
conf/jcdl,['']
journals/tist,['']
journals/ipm,['']
conf/ercimdl,['']
conf/www,['World Wide Web']
conf/mir,['Multimedia']
conf/isi,['Computer security']
conf/icwsm,['']
conf/mmm,['Multimedia']
conf/adc,['Database']
conf/icadl,['']
journals/jasis,['Data science']
conf/sdm,['Data mining']
conf/recsys,['Information retrieval']
conf/mm,['Multimedia']
conf/kdd,"['Data mining', 'Knowledge management']"
journals/tkde,['Knowledge management']
conf/cpm,['']
conf/naacl,['Natural language processing']
journals/vldb,['Database']
journals/pvldb,['Database']
conf/dgo,['']
conf/emnlp,['Natural language processing']
conf/icdm,['Data mining']
conf/webi,['']
journals/debu,['']
conf/apweb,['World Wide Web']
conf/ijcnlp,['Natural language processing']
journals/tods,['Database']
journals/is,['']
conf/acl,['Natural language processing']
,['']
