,Author,HIndex
0,Marcos Andre Goncalves,33
1,Carlos Jose Pereira de Lucena,35
2,Wagner Meira Junior,32
3,Luigi Carro,30
4,Berthier Ribeiro de Araujo Neto,30
5,Agma Juci Machado Traina,26
6,Caetano Traina Junior,25
7,Alberto Henrique Frade Laender,29
8,Marco Antonio Casanova,25
9,Altigran Soares da Silva,26
10,Jorge Stolfi,
11,JAYME LUIZ SZWARCFITER,22
12,Antonio Alfredo Ferreira Loureiro,39
13,Nelson Luis Saldanha da Fonseca,10
14,Nivio Ziviani,32
15,Zhao Liang,35
16,Virgilio Augusto Fernandes Almeida,38
17,Alexandre Xavier Falcao,
18,Edleno Silva de Moura,25
19,EDMUNDO ALBUQUERQUE DE SOUZA E SILVA,22
20,Antonio Luz Furtado,20
21,CELINA MIRAGLIA HERRERA DE FIGUEIREDO,18
22,Eduardo Sany Laber,
23,Olga Regina Pereira Bellon,16
24,Alessandro Fabricio Garcia,32
25,Daniel Schwabe,35
26,Luciano Silva,24
27,Jussara Marques de Almeida,32
28,VALMIR CARNEIRO BARBOSA,
29,Luis da Cunha Lamb,
30,Sergio Bampi,16
31,Ricardo da Silva Torres,22
32,Claudia Maria Bauzer Medeiros,23
33,Ana Lucia Cetertich Bazzan,27
34,Mario Fernando Montenegro Campos,23
35,Bianca Zadrozny,17
36,Yoshiharu Kohayakawa,26
37,Manuel Menezes de Oliveira Neto,23
38,Rafael Heitor Bordini,35
39,Siome Klein Goldenstein,17
40,Neucimar Jeronimo Leite,19
41,FRANCISCO VILAR BRASILEIRO,23
42,George Darmiton da Cunha Cavalcanti,13
43,Roberto Marcondes Cesar Junior,84
44,Renato Antonio Celso Ferreira,18
45,Mirella Moura Moro,15
46,Luiz Eduardo Soares de Oliveira,19
47,Alba Cristina Magalhaes Alves de,22
48,Jacob Scharcanski,
49,Nelson Delfino d'Avila Mascarenhas,15
50,Altamiro Amadeu Susin,
51,Marcelo Soares Lubaszewski,
52,Claudio Rosito Jung,22
53,Joao Luiz Dihl Comba,17
54,Julio Cesar Lopez Hernandez,20
55,MARTA LIMA DE QUEIROS MATTOSO,25
56,Philippe Olivier Alexandre Navaux,17
57,Regina Borges de Araujo,16
58,PAULO AUGUSTO SILVA VELOSO,5
59,Ricardo Augusto da Luz Reis,29
60,Fernando Gehm Moraes,25
61,Jose Carlos Maldonado,30
62,SILVIO ROMERO DE LEMOS MEIRA,
63,PAULO ROMERO MARTINS MACIEL,16
64,Arnaldo de Albuquerque Araujo,16
65,Flavio Rech Wagner,21
66,Guido Costa Souza de Araujo,19
67,Viviane Torres da Silva,15
68,Ruy Luiz Milidiu,
69,Jacques Wainer,25
70,Fabio Kon,23
71,Rosa Maria Vicari,20
72,DANIEL RATTON FIGUEIREDO,14
73,Helio Pedrini,13
74,Marco Antonio Pinheiro de Cristo,14
75,Alessandro Lameiras Koerich,19
76,Siang Wun Song,15
77,JANO MOREIRA DE SOUZA,15
78,Luis Gustavo Nonato,16
79,Anderson de Rezende Rocha,14
80,Carmem Satie Hara,11
81,GUILHERME HORTA TRAVASSOS,31
82,Paulo Cezar Pinto de Carvalho,29
83,Augusto Cezar Alves Sampaio,9
84,Eduardo Freire Nakamura,21
85,Alceu de Souza Britto Jr,15
86,Alfredo Goldman vel Lejbman,
87,Andre Carlos Ponce de Leon Ferreira de Carvalho,29
88,Ricardo Dahab,21
89,Ney Laert Vilar Calazans,23
90,Paulo Henrique Monteiro Borba,28
91,Flavio Keidi Miyazawa,16
92,Carlos Eduardo Pereira,59
93,Cesar Augusto Fonticielha De Rose,27
94,Luiz Chaimowicz,15
95,Maria Cristina Ferreira de Oliveira,42
96,Tsang Ing Ren,14
97,Sergio Vale Aguiar Campos,2
98,Ana Cristina Bicharra Garcia,23
99,Lisandro Zambenedetti Granville,16
100,Teresa Bernarda Ludermir,18
101,Celso da Cruz Carneiro Ribeiro,40
102,Soraia Raupp Musse,23
103,JOAO MARQUES DE CARVALHO,29
104,Junior Barrera,22
105,CLAUDIO ESPERANCA,
106,SULAMITA KLEIN,
107,ANGELO PERKUSICH,14
108,Karin Koogan Breitman,17
109,Jean-Pierre Briot,24
110,Julio Cesar Sampaio do Prado Leite,32
111,Simone Diniz Junqueira Barbosa,20
112,Luciano Paschoal Gaspary,15
113,Marcelo Finger,16
114,GEBER LISBOA RAMALHO,
115,Erika Fernandes Cota,
116,Yoshiko Wakabayashi,17
117,Maria da Graca Campos Pimentel,18
118,Jose Marcos Silva Nogueira,17
119,Francisco de Assis Tenorio de Carvalho,24
120,Eugene Francis Vinod Rebello,
121,Mauricio Ayala Rincon,13
122,Celia Aparecida Zorzo Barcelos,14
123,Rosane Minghim,17
124,Antonio Carlos da Rocha Costa,33
125,RUY JOSE GUERRA BARRETTO DE QUEIROZ,10
126,Sergio Lifschitz,10
127,Cristina Gomes Fernandes,11
128,Cecilia Mary Fischer Rubira,
129,Avelino Francisco Zorzo,16
130,Celia Picinin de Mello,9
131,Uira Kulesza,23
132,Paulo Cesar Masiero,8
133,Lau Cheuk Lung,16
134,Jacir Luiz Bordim,11
135,Dante Augusto Couto Barone,
136,Thais Vasconcelos Batista,16
137,Carlos Alberto Heuser,18
138,Sergio Castelo Branco Soares,18
139,Paulo Martins Engel,13
140,Junia Coutinho Anacleto,10
141,Leila Ribeiro,15
142,Pedro Jussieu de Rezende,10
143,NELSON SOUTO ROSA,
144,Odemir Martinez Bruno,17
145,Cid Carvalho de Souza,20
146,Paulo Henrique Lemelle Fernandes,28
147,Luiz Fernando Gomes Soares,24
148,Claudionor Jose Nunes Coelho,5
149,Fernanda Gusmao de Lima Kastensmidt,
150,Raquel Oliveira Prates,16
151,Giancarlo Guizzardi,26
152,Paulo Jose de Freitas Filho,30
153,Nina Sumiko Tomita Hirata,11
154,Roberto Ierusalimschy,19
155,Claudio Fernando Resin Geyer,
156,Carla Maria Dal Sasso Freitas,9
157,MANOEL GOMES DE MENDONCA NETO,46
158,Edmundo Roberto Mauro Madeira,16
159,Lucia Maria de Assumpcao Drummond,13
160,ANA CAROLINA BRANDAO SALGADO,4
161,Markus Endler,18
162,Luiz Satoru Ochi,20
163,CLAUDIO LUIS DE AMORIM,
164,Fernando Jose Castor de Lima Filho,11
165,Eliane Martins,14
166,Elias Procopio Duarte Junior,20
167,Maria Cecilia Calani Baranauskas,
168,Judith Kelner,
169,Gisele Lobo Pappa,14
170,Aldo Von Wangenheim,14
171,Joao Eduardo Ferreira,14
172,Edson Norberto Caceres,
173,Geraldo Robson Mateus,22
174,Jose Palazzo Moreira de Oliveira,25
175,Luiz Claudio Villar dos Santos,21
176,Dorgival Olavo Guedes Neto,1
177,Jorge Luis Nicolas Audy,
178,Ricardo Jose Gabrielli Barreto Campello,19
179,Edward Hermann Haeusler,9
180,Noemi de La Rocque Rodriguez,
181,Celio Vinicius Neves de Albuquerque,17
182,ANTONIO ALBERTO FERNANDES DE OLIVEIRA,11
183,Marcos Jose Santana,11
184,Marcus Vinicius Soledade Poggi de Aragao,
185,Aura Conci,18
186,CLAUDIA MARIA LIMA WERNER,
187,Aluizio Fausto Ribeiro Araujo,
188,PAULO ROBERTO FREIRE CUNHA,69
189,Leliane Nunes de Barros,12
190,Djamel Fawzi Hadj Sadok,
191,ROSA MARIA MERI LEAO,10
192,Jose Ricardo de Almeida Torreao,
193,Jose Augusto Ramos Soares,14
194,Clarisse Sieckenius de Souza,22
195,Rodolfo Jardim de Azevedo,12
196,ULRICH SCHIEL,
197,Aldri Luiz dos Santos,11
198,Marcelo Walter,9
199,Denis Fernando Wolf,15
200,Luciana Porcher Nedel,17
201,Luiz Eduardo Buzato,13
202,Marcelo Soares Pimenta,14
203,Eduardo Raul Hruschka,20
204,Liane Margarida Rockenbach Tarouco,18
205,Regina Helena Carlucci Santana,11
206,Jose Hiroki Saito,
207,Paulo de Figueiredo Pires,25
208,EVANDRO DE BARROS COSTA,
209,Benjamin Rene Callejas Bedregal,16
210,MARIO ROBERTO FOLHADELA BENEVIDES,8
211,NELSON MACULAN FILHO,10
212,Ricardo Massa Ferreira Lima,12
213,Rodrigo Fernandes de Mello,13
214,Sandro Rigo,11
215,Renato Fontoura de Gusmao Cerqueira,14
216,ALEXANDRE CABRAL MOTA,12
217,RAIMUNDO JOSE DE ARAUJO MACEDO,13
218,Luis Otavio Campos Alvares,22
219,Angelo Roncalli Alencar Brayner,
220,Rodolfo Sergio Ferreira de Resende,8
221,Silvia Regina Vergilio,5
222,Antonio Francisco do Prado,31
223,Joao Bosco Mangueira Sobral,8
224,Renata Wassermann,12
225,Ricardo Pezzuol Jacobi,
226,Anne Magaly de Paula Canuto,
227,Renato Perez Ribas,
228,Cesar Augusto Camillo Teixeira,14
229,JACQUES PIERRE LOUIS ROBIN,
230,Edson Jose Rodrigues Justino,14
231,Wanderley Lopes de Souza,11
232,Carlos Eduardo Ferreira,38
233,Flavia Coimbra Delicato,14
234,ANA REGINA CAVALCANTI DA ROCHA,10
235,Waldemar Celes Filho,
236,Marcelo Gattass,20
237,Fabiano Passuelo Hessel,15
238,Carlos Hitoshi Morimoto,20
239,LUIS FELIPE MAGALHAES DE MORAES,33
240,GERSON ZAVERUCHA,11
241,Eduardo Candido Xavier,8
242,JOSE NEUMAN DE SOUZA,32
243,Cirano Iochpe,
244,Renata de Matos Galante,9
245,Joao Marcos Bastos Cavalcanti,5
246,Ronaldo Fumio Hashimoto,11
247,JORGE CESAR ABRANTES DE FIGUEIREDO,
248,Marcelo Bezerra d'Amorim,12
249,Sandra Aparecida de Amo,11
250,Helena Cristina da Gama Leitao,
251,Ana Cristina Vieira de Melo,12
252,HYGGO OLIVEIRA DE ALMEIDA,
253,Renata Maria Cardoso Rodrigues de Souza,10
254,Edson Prestes e Silva Junior,31
255,David Boris Paul Deharbe,15
256,Ronaldo Alves Ferreira,9
257,Jose Valdeni de Lima,19
258,Arndt von Staa,
259,Fernando Luis Dotti,10
260,ROSSANA MARIA DE CASTRO ANDRADE,
261,Estevam Rafael Hruschka Junior,14
262,JACQUES PHILIPPE SAUVE,18
263,Adenilso da Silva Simao,13
264,Christiano de Oliveira Braga,14
265,VANIA MARIA PONTE VIDAL,10
266,Roseli Aparecida Francelin Romero,13
267,Alberto Ferreira De Souza,9
268,GERALDO ZIMBRAO DA SILVA,13
269,Julius Cesar Barreto Leite,32
270,Routo Terada,9
271,Rubens Nascimento Melo,9
272,PATRICIA DUARTE DE LIMA MACHADO,14
273,Jacques Facon,10
