Vkey,Subareas
journals/pvldb,['']
journals/vldb,['']
conf/cidr,['']
conf/sigmod,['']
journals/tods,['']
journals/debu,['']
conf/pods,['']
conf/webdb,['']
conf/vldb,['']
conf/icde,['']
conf/icdt,['']
journals/sigmod,['']
conf/edbt,['']
conf/ssd,['']
conf/ssdbm,['']
journals/tkde,['']
journals/dpd,['']
journals/tkdd,['']
conf/comad,['']
conf/dasfaa,['']
journals/www,['']
conf/btw,['']
conf/sdm,['']
conf/kdd,['']
journals/is,['']
journals/dbsk,['Database']
journals/sigkdd,['']
conf/cikm,['']
journals/datamine,['']
conf/waim,['']
conf/adc,['']
conf/dbsec,['']
conf/gis,['']
conf/wsdm,['']
conf/mdm,['']
conf/ideas,['']
journals/geoinformatica,['']
journals/tois,['']
conf/icdm,['']
journals/kais,['']
conf/dawak,['']
journals/jiis,['']
journals/dke,['']
conf/www,['']
journals/csur,['']
conf/wise,['']
journals/jacm,['']
journals/jcss,['']
conf/icdcs,['']
conf/er,['']
,['']
