,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
0,1,conf/www,"['Data science', 'World Wide Web']",0.0,0.0,1,conf/kdd,"['Data mining', 'Data science', 'Machine learning']",1.0,0.0384615384615,1,journals/tkdd,"['Data mining', 'Data science']",1.0,0.0384615384615
1,2,journals/ml,['Machine learning'],0.0,0.0,2,conf/icdm,"['Data mining', 'Machine learning']",1.0,0.0769230769231,2,journals/sigkdd,"['Data mining', 'Data science', 'Machine learning']",1.0,0.0769230769231
2,3,conf/icml,['Machine learning'],0.0,0.0,3,conf/cikm,"['Information retrieval', 'Knowledge management']",0.666666666667,0.0769230769231,3,conf/kdd,"['Data mining', 'Data science', 'Machine learning']",1.0,0.115384615385
3,4,conf/nips,['Machine learning'],0.0,0.0,4,conf/icde,"['Data mining', 'Database']",0.75,0.115384615385,4,conf/sdm,"['Data mining', 'Data science', 'Machine learning']",1.0,0.153846153846
4,5,conf/sigmod,"['Data mining', 'Database', 'Knowledge management']",0.2,0.0384615384615,5,conf/icml,['Machine learning'],0.6,0.115384615385,5,journals/datamine,"['Data mining', 'Data science']",1.0,0.192307692308
5,6,conf/wsdm,"['Data mining', 'Data science', 'World Wide Web']",0.333333333333,0.0769230769231,6,conf/sdm,"['Data mining', 'Data science', 'Machine learning']",0.666666666667,0.153846153846,6,conf/wsdm,"['Data mining', 'Data science', 'World Wide Web']",1.0,0.230769230769
6,7,conf/emnlp,['Natural language processing'],0.285714285714,0.0769230769231,7,journals/tkde,"['Data mining', 'Data science', 'Database']",0.714285714286,0.192307692308,7,conf/icdm,"['Data mining', 'Machine learning']",1.0,0.269230769231
7,8,conf/icde,"['Data mining', 'Database']",0.375,0.115384615385,8,conf/www,"['Data science', 'World Wide Web']",0.625,0.192307692308,8,conf/pkdd,"['Data mining', 'Data science', 'Machine learning']",1.0,0.307692307692
8,9,conf/sigir,['Information retrieval'],0.333333333333,0.115384615385,9,conf/sigmod,"['Data mining', 'Database', 'Knowledge management']",0.666666666667,0.230769230769,9,journals/tist,['Artificial intelligence'],0.888888888889,0.307692307692
9,10,conf/icwsm,"['Data science', 'World Wide Web']",0.3,0.115384615385,10,conf/aaai,"['Artificial intelligence', 'Machine learning']",0.6,0.230769230769,10,journals/sadm,"['Data mining', 'Data science']",0.9,0.346153846154
10,11,conf/aaai,"['Artificial intelligence', 'Machine learning']",0.272727272727,0.115384615385,11,conf/pkdd,"['Data mining', 'Data science', 'Machine learning']",0.636363636364,0.269230769231,11,journals/kais,"['Data mining', 'Data science']",0.909090909091,0.384615384615
11,12,conf/edbt,"['Data mining', 'Database', 'Knowledge management']",0.333333333333,0.153846153846,12,conf/nips,['Machine learning'],0.583333333333,0.269230769231,12,conf/pakdd,"['Data mining', 'Machine learning']",0.916666666667,0.423076923077
12,13,conf/sdm,"['Data mining', 'Data science', 'Machine learning']",0.384615384615,0.192307692308,13,conf/pakdd,"['Data mining', 'Machine learning']",0.615384615385,0.307692307692,13,journals/tkde,"['Data mining', 'Data science', 'Database']",0.923076923077,0.461538461538
13,14,conf/vldb,"['Data mining', 'Database']",0.428571428571,0.230769230769,14,conf/vldb,"['Data mining', 'Database']",0.642857142857,0.346153846154,14,conf/icml,['Machine learning'],0.857142857143,0.461538461538
14,15,conf/uai,"['Artificial intelligence', 'Data mining', 'Machine learning']",0.466666666667,0.269230769231,15,conf/sigir,['Information retrieval'],0.6,0.346153846154,15,journals/vldb,"['Data mining', 'Database']",0.866666666667,0.5
15,16,conf/gis,"['Data science', 'Database']",0.4375,0.269230769231,16,journals/sigkdd,"['Data mining', 'Data science', 'Machine learning']",0.625,0.384615384615,16,conf/cikm,"['Information retrieval', 'Knowledge management']",0.8125,0.5
16,17,conf/pods,"['Database', 'Knowledge management']",0.411764705882,0.269230769231,17,journals/datamine,"['Data mining', 'Data science']",0.647058823529,0.423076923077,17,conf/ssd,['Database'],0.764705882353,0.5
