Vkey,Subareas
conf/aaai,['Artificial intelligence']
conf/acl,"['Machine learning', 'Natural language processing']"
conf/airs,['Information retrieval']
conf/broadnets,['Computer network']
conf/btw,['Database']
conf/chi,['Human-computer interaction']
conf/cidr,['Database']
conf/cikm,"['Database', 'Information retrieval', 'Knowledge management']"
conf/clef,['']
conf/coling,['Natural language processing']
conf/conext,['Computer network']
conf/cvpr,"['Computer vision', 'Pattern recognition']"
conf/dasfaa,['Database']
conf/dexa,['Database']
conf/dgo,['Algorithm']
conf/ecir,['Information retrieval']
conf/edbt,['Database']
conf/emnlp,['Natural language processing']
conf/er,['Database']
conf/ercimdl,['']
conf/gis,['Algorithm']
conf/globecom,['Computer network']
conf/icc,['Computer network']
conf/icccn,['Computer network']
conf/icdcs,['Distributed computing']
conf/icde,['Database']
conf/icdm,['Data mining']
conf/icdt,['Database']
conf/icmcs,['Multimedia']
conf/icml,['Machine learning']
conf/icnp,['Computer network']
conf/icpp,['Parallel computing']
conf/ictir,['Information retrieval']
conf/icwsm,['World Wide Web']
conf/iiix,"['Human-computer interaction', 'Information retrieval']"
conf/ijcai,['Artificial intelligence']
conf/imc,['Computer network']
conf/inex,['Information retrieval']
conf/infocom,['Computer network']
conf/ipps,['Parallel computing']
conf/isi,['Internet privacy']
conf/isit,['']
conf/iwqos,['Computer network']
conf/jcdl,['Information retrieval']
conf/kdd,"['Data mining', 'Knowledge management']"
conf/lcn,['Computer network']
conf/lrec,['Natural language processing']
conf/mass,['Computer network']
conf/mdm,['Embedded system']
conf/mir,"['Information retrieval', 'Multimedia']"
conf/mm,['Multimedia']
conf/mmm,['Multimedia']
conf/mobicom,['Computer network']
conf/mobihoc,['Computer network']
conf/naacl,['Natural language processing']
conf/networking,['Computer network']
conf/nips,['Machine learning']
conf/ntcir,['Information retrieval']
conf/pakdd,"['Data mining', 'Knowledge management']"
conf/pimrc,"['Computer network', 'Telecommunications']"
conf/pkdd,"['Data mining', 'Knowledge management']"
conf/pods,['Database']
conf/riao,['Information retrieval']
conf/rtss,['Real-time computing']
conf/sdm,['Data mining']
conf/secon,['Computer network']
conf/sensys,['Computer network']
conf/sigcomm,['Computer network']
conf/sigir,['Information retrieval']
conf/sigmetrics,['Computer network']
conf/sigmod,['Database']
conf/spire,['Information retrieval']
conf/ssd,['Database']
conf/ssdbm,['Database']
conf/trec,['Information retrieval']
conf/vldb,['Database']
conf/vtc,['']
conf/waim,['']
conf/wcnc,['Computer network']
conf/webdb,"['Database', 'World Wide Web']"
conf/webi,['World Wide Web']
conf/wiopt,['Computer network']
conf/wise,"['Information retrieval', 'World Wide Web']"
conf/wsdm,"['Data mining', 'Information retrieval']"
conf/www,['World Wide Web']
journals/adhoc,['Computer network']
journals/cacm,['Algorithm']
journals/ccr,['Computer network']
journals/cn,['Computer network']
journals/comcom,['Computer network']
journals/computer,['']
journals/debu,['Database']
journals/dke,"['Database', 'Knowledge management']"
journals/dpd,['Database']
journals/dr,['Database']
journals/icl,['Computer network']
journals/ieicet,['Computer network']
journals/ipm,['Information retrieval']
journals/ir,['Information retrieval']
journals/is,['Database']
journals/isci,['Knowledge management']
journals/jacm,['Algorithm']
journals/jasis,['Information retrieval']
journals/jcss,['Algorithm']
journals/jpdc,"['Distributed computing', 'Parallel computing']"
journals/jsac,['Computer network']
journals/kais,['Knowledge management']
journals/monet,['Computer network']
journals/network,['Computer network']
journals/pe,['Computer network']
journals/pvldb,['Database']
journals/questa,['Computer network']
journals/sigir,['Information retrieval']
journals/sigmetrics,['Computer network']
journals/sigmod,['Database']
journals/tc,['Computer network']
journals/tcom,['Computer network']
journals/tit,['Data science']
journals/tkde,"['Database', 'Knowledge management']"
journals/tmc,['Computer network']
journals/tmm,['Multimedia']
journals/tods,['Database']
journals/tois,['Information retrieval']
journals/ton,['Computer network']
journals/tpds,"['Distributed computing', 'Parallel computing']"
journals/tse,['Algorithm']
journals/tvt,['']
journals/twc,['Computer network']
journals/vldb,['Database']
journals/wc,['Computer network']
journals/winet,['Computer network']
journals/www,['World Wide Web']
