Venues and Sub-areas,,,,,,,ID,Sub-area
Venue,Vkey,Link ,Sub-area I,Sub-area II,Sub-area III,,1,Algorithm
0,(Exemplo),Link,15,11,,,2,Artificial intelligence
1,conf/ictir,Link DBLP,19,,,,3,Bioinformatics
2,conf/sigir,Link DBLP,19,,,,4,Cognitive science
3,conf/adcs,Link DBLP,19,,,,5,Computational biology
4,journals/ir,Link DBLP,19,,,,6,Computational science
5,conf/ecir,Link DBLP,19,,,,7,Computer architecture
6,conf/trec,Link DBLP,19,,,,8,Computer graphics (images)
7,journals/sigir,Link DBLP,19,,,,9,Computer hardware
8,conf/iiix,Link DBLP,18,,,,10,Computer network
9,journals/tois,Link DBLP,19,,,,11,Computer security
10,conf/wsdm,Link DBLP,37,19,13,,12,Computer vision
11,conf/inex,Link DBLP,19,,,,13,Data mining
12,conf/spire,Link DBLP,19,5,,,14,Data science
13,conf/airs,Link DBLP,19,,,,15,Database
14,conf/cikm,Link DBLP,21,14,,,16,Distributed computing
15,journals/tweb,Link DBLP,37,,,,17,Embedded system
16,conf/riao,Link DBLP,19,,,,18,Human-computer interaction
17,conf/clef,Link DBLP,19,,,,19,Information retrieval
18,conf/ntcir,Link DBLP,19,,,,20,Internet privacy
19,conf/la-web,Link DBLP,37,,,,21,Knowledge management
20,conf/jcdl,Link DBLP,19,15,,,22,Machine learning
21,journals/tist,Link DBLP,2,,,,23,Management science
22,journals/ipm,Link DBLP,19,,,,24,Mathematical optimization
23,conf/ercimdl,Link DBLP,19,,,,25,Multimedia
24,conf/www,Link DBLP,37,19,,,26,Natural language processing
25,conf/mir,Link DBLP,25,,,,27,Operating system
26,conf/isi,Link DBLP,11,14,,,28,Operations research
27,conf/icwsm,Link DBLP,37,,,,29,Parallel computing
28,conf/mmm,Link DBLP,25,,,,30,Pattern recognition
29,conf/adc,Link DBLP,15,,,,31,Programming language
30,conf/icadl,Link DBLP,19,15,,,32,Real-time computing
31,journals/jasis,Link DBLP,37,14,,,33,Simulation
32,conf/sdm,Link DBLP,13,14,,,34,Speech recognition
33,conf/recsys,Link DBLP,19,,,,35,Telecommunications
34,conf/mm,Link DBLP,25,,,,36,Theoretical computer science
35,conf/kdd,Link DBLP,13,21,,,37,World Wide Web
36,journals/tkde,Link DBLP,21,14,15,,,
37,conf/cpm,Link DBLP,30,,,,ID,Sub-area
38,conf/naacl,Link DBLP,6,26,,,1,Algorithm
39,journals/vldb,Link DBLP,15,14,,,2,Artificial intelligence
40,journals/pvldb,Link DBLP,15,14,,,3,Bioinformatics
41,conf/dgo,Link DBLP,0,,,,4,Cognitive science
42,conf/emnlp,Link DBLP,26,,,,5,Computational biology
43,conf/icdm,Link DBLP,13,,,,6,Computational science
44,conf/webi,Link DBLP,37,14,,,7,Computer architecture
45,journals/debu,Link DBLP,15,,,,8,Computer graphics (images)
46,conf/apweb,Link DBLP,37,15,,,9,Computer hardware
47,conf/ijcnlp,Link DBLP,26,34,,,10,Computer network
48,journals/tods,Link DBLP,15,,,,11,Computer security
49,journals/is,Link DBLP,14,15,,,12,Computer vision
50,conf/acl,Link DBLP,26,34,,,13,Data mining
,,,,,,,14,Data science
,,,,,,,15,Database
,,,,,,,16,Distributed computing
,,,,,,,17,Embedded system
,,,,,,,18,Human-computer interaction
,,,,,,,19,Information retrieval
,,,,,,,20,Internet privacy
,,,,,,,21,Knowledge management
,,,,,,,22,Machine learning
,,,,,,,23,Management science
,,,,,,,24,Mathematical optimization
,,,,,,,25,Multimedia
,,,,,,,26,Natural language processing
,,,,,,,27,Operating system
,,,,,,,28,Operations research
,,,,,,,29,Parallel computing
,,,,,,,30,Pattern recognition
,,,,,,,31,Programming language
,,,,,,,32,Real-time computing
,,,,,,,33,Simulation
,,,,,,,34,Speech recognition
,,,,,,,35,Telecommunications
,,,,,,,36,Theoretical computer science
,,,,,,,37,World Wide Web
