Venues and Sub-areas,,,,,,,ID,Sub-area
Venue,Vkey,Link ,Sub-area I,Sub-area II,Sub-area III,,1,Algorithm
0,(Exemplo),Link,15,11,,,2,Artificial intelligence
1,conf/ictir,Link DBLP,19,22,21,,3,Bioinformatics
2,conf/wsdm,Link DBLP,13,19,21,,4,Cognitive science
3,conf/cikm,Link DBLP,21,13,19,,5,Computational biology
4,conf/sigir,Link DBLP,19,22,21,,6,Computational science
5,conf/ecir,Link DBLP,19,22,21,,7,Computer architecture
6,journals/tkdd,Link DBLP,21,13,22,,8,Computer graphics (images)
7,conf/trec,Link DBLP,19,13,,,9,Computer hardware
8,journals/sigir,Link DBLP,19,22,21,,10,Computer network
9,conf/widm,Link DBLP,14,21,,,11,Computer security
10,journals/ir,Link DBLP,19,13,21,,12,Computer vision
11,conf/sdm,Link DBLP,13,21,22,,13,Data mining
12,conf/inex,Link DBLP,19,14,,,14,Data science
13,conf/dasfaa,Link DBLP,15,14,13,,15,Database
14,journals/vldb,Link DBLP,15,14,19,,16,Distributed computing
15,journals/tois,Link DBLP,13,19,21,,17,Embedded system
16,journals/tist,Link DBLP,2,1,,,18,Human-computer interaction
17,conf/kdd,Link DBLP,21,13,19,,19,Information retrieval
18,journals/tkde,Link DBLP,21,14,13,,20,Internet privacy
19,conf/airs,Link DBLP,19,13,,,21,Knowledge management
20,journals/pvldb,Link DBLP,15,14,19,,22,Machine learning
21,journals/www,Link DBLP,37,13,14,,23,Management science
22,conf/icde,Link DBLP,14,15,13,,24,Mathematical optimization
23,conf/edbt,Link DBLP,15,14,,,25,Multimedia
24,conf/icdm,Link DBLP,13,22,30,,26,Natural language processing
25,journals/sigkdd,Link DBLP,21,13,22,,27,Operating system
26,conf/pakdd,Link DBLP,21,13,19,,28,Operations research
27,conf/waim,Link DBLP,19,37,,,29,Parallel computing
28,conf/www,Link DBLP,37,13,14,,30,Pattern recognition
29,conf/spire,Link DBLP,19,30,,,31,Programming language
30,conf/adc,Link DBLP,15,14,,,32,Real-time computing
31,journals/datamine,Link DBLP,13,21,,,33,Simulation
32,journals/dpd,Link DBLP,15,16,29,,34,Speech recognition
33,conf/ssd,Link DBLP,15,14,,,35,Telecommunications
34,journals/kais,Link DBLP,21,19,,,36,Theoretical computer science
35,conf/jcdl,Link DBLP,14,19,30,,37,World Wide Web
36,conf/apweb,Link DBLP,37,15,,,,
37,conf/sigmod,Link DBLP,14,15,,,ID,Sub-area
38,conf/icwsm,Link DBLP,25,14,,,1,Algorithm
39,conf/wise,Link DBLP,37,19,,,2,Artificial intelligence
40,conf/riao,Link DBLP,19,37,25,,3,Bioinformatics
41,conf/vldb,Link DBLP,15,14,19,,4,Cognitive science
42,conf/ssdbm,Link DBLP,15,14,13,,5,Computational biology
43,conf/mdm,Link DBLP,14,15,,,6,Computational science
44,journals/dke,Link DBLP,21,30,,,7,Computer architecture
45,conf/dawak,Link DBLP,21,13,,,8,Computer graphics (images)
46,conf/clef,Link DBLP,19,,,,9,Computer hardware
47,conf/icadl,Link DBLP,14,19,30,,10,Computer network
48,journals/sigmod,Link DBLP,14,15,,,11,Computer security
49,conf/webi,Link DBLP,14,21,,,12,Computer vision
50,conf/pkdd,Link DBLP,21,13,19,,13,Data mining
,,,,,,,14,Data science
,,,,,,,15,Database
,,,,,,,16,Distributed computing
,,,,,,,17,Embedded system
,,,,,,,18,Human-computer interaction
,,,,,,,19,Information retrieval
,,,,,,,20,Internet privacy
,,,,,,,21,Knowledge management
,,,,,,,22,Machine learning
,,,,,,,23,Management science
,,,,,,,24,Mathematical optimization
,,,,,,,25,Multimedia
,,,,,,,26,Natural language processing
,,,,,,,27,Operating system
,,,,,,,28,Operations research
,,,,,,,29,Parallel computing
,,,,,,,30,Pattern recognition
,,,,,,,31,Programming language
,,,,,,,32,Real-time computing
,,,,,,,33,Simulation
,,,,,,,34,Speech recognition
,,,,,,,35,Telecommunications
,,,,,,,36,Theoretical computer science
,,,,,,,37,World Wide Web
