,Rank.0,Vkey.0,Subareas.0,Precision.0@k,Recall.0@k,Rank.1,Vkey.1,Subareas.1,Precision.1@k,Recall.1@k,Rank.2,Vkey.2,Subareas.2,Precision.2@k,Recall.2@k
0,1,conf/www,['World Wide Web'],0.0,0.0,1,conf/cikm,"['Data mining', 'Knowledge management']",1.0,0.0769230769231,1,conf/ictir,"['Information retrieval', 'Machine learning']",0.0,0.0
1,2,journals/www,['World Wide Web'],0.0,0.0,2,conf/sigir,"['Information retrieval', 'Knowledge management']",1.0,0.153846153846,2,conf/wsdm,"['Data mining', 'World Wide Web']",0.0,0.0
2,3,conf/sigmod,['Database'],0.0,0.0,3,conf/icde,"['Data mining', 'Data science', 'Database']",0.666666666667,0.153846153846,3,conf/cikm,"['Data mining', 'Knowledge management']",0.333333333333,0.0769230769231
3,4,conf/wsdm,"['Data mining', 'World Wide Web']",0.0,0.0,4,conf/www,['World Wide Web'],0.5,0.153846153846,4,conf/sigir,"['Information retrieval', 'Knowledge management']",0.5,0.153846153846
4,5,conf/icde,"['Data mining', 'Data science', 'Database']",0.0,0.0,5,journals/tkde,"['Data mining', 'Data science', 'Knowledge management']",0.6,0.230769230769,5,conf/ecir,"['Information retrieval', 'Natural language processing']",0.4,0.153846153846
5,6,conf/sigir,"['Information retrieval', 'Knowledge management']",0.166666666667,0.0769230769231,6,conf/kdd,"['Data mining', 'Knowledge management']",0.666666666667,0.307692307692,6,journals/tkdd,"['Data mining', 'Knowledge management']",0.5,0.230769230769
6,7,journals/ir,['Information retrieval'],0.142857142857,0.0769230769231,7,conf/icdm,"['Data mining', 'Machine learning']",0.571428571429,0.307692307692,7,conf/trec,['Information retrieval'],0.428571428571,0.230769230769
7,8,conf/icwsm,"['Data science', 'Machine learning']",0.125,0.0769230769231,8,conf/trec,['Information retrieval'],0.5,0.307692307692,8,journals/sigir,"['Information retrieval', 'Machine learning']",0.375,0.230769230769
8,9,conf/edbt,['Database'],0.111111111111,0.0769230769231,9,conf/sigmod,['Database'],0.444444444444,0.307692307692,9,conf/widm,"['Knowledge management', 'World Wide Web']",0.444444444444,0.307692307692
9,10,conf/sdm,"['Data mining', 'Database']",0.1,0.0769230769231,10,conf/ecir,"['Information retrieval', 'Natural language processing']",0.4,0.307692307692,10,journals/ir,['Information retrieval'],0.4,0.307692307692
10,11,conf/vldb,"['Data science', 'Database', 'Information retrieval']",0.0909090909091,0.0769230769231,11,conf/dasfaa,"['Data mining', 'Database']",0.363636363636,0.307692307692,11,conf/sdm,"['Data mining', 'Database']",0.363636363636,0.307692307692
11,12,conf/clef,['Information retrieval'],0.0833333333333,0.0769230769231,12,conf/pakdd,['Data mining'],0.333333333333,0.307692307692,12,conf/inex,['Information retrieval'],0.333333333333,0.307692307692
12,13,conf/mdm,['Database'],0.0769230769231,0.0769230769231,13,conf/vldb,"['Data science', 'Database', 'Information retrieval']",0.307692307692,0.307692307692,13,conf/dasfaa,"['Data mining', 'Database']",0.307692307692,0.307692307692
13,14,conf/webi,"['Data science', 'Knowledge management']",0.142857142857,0.153846153846,14,journals/pvldb,"['Data science', 'Database', 'Information retrieval']",0.285714285714,0.307692307692,14,journals/vldb,"['Data science', 'Database', 'Information retrieval']",0.285714285714,0.307692307692
14,15,journals/sigmod,['Database'],0.133333333333,0.153846153846,15,conf/sdm,"['Data mining', 'Database']",0.266666666667,0.307692307692,15,journals/tois,['Information retrieval'],0.266666666667,0.307692307692
