Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/nar,5753.0,803995.0,B1,164.0,,1,journals/ploscb,,990.0,,1,conf/recomb,A2,0.541497975709
2,journals/neuroimage,6390.0,202819.0,,117.0,,2,journals/bioinformatics,A1,866.0,,2,journals/jcb,A1,0.304692663582
3,journals/ploscb,3878.0,85175.0,,80.0,,3,conf/recomb,A2,535.0,,3,conf/wabi,B1,0.298538622129
4,journals/bmcbi,7074.0,136587.0,A1,73.0,,4,journals/jcb,A1,461.0,,4,journals/ploscb,,0.255286230015
5,conf/icml,3294.0,290468.0,A1,69.0,,5,journals/bmcbi,A1,362.0,,5,conf/eccb,B1,0.242937853107
6,conf/nips,5684.0,404822.0,A1,66.0,,6,journals/nar,B1,342.0,,6,conf/cpm,B1,0.150492264416
7,journals/jocn,2068.0,89870.0,,64.0,,7,conf/nips,A1,326.0,,7,conf/gcb,,0.137825421133
8,journals/nn,3310.0,136228.0,A1,52.0,,8,journals/neuroimage,,159.0,,8,journals/almob,A1,0.131474103586
9,journals/jcisd,6138.0,73816.0,B1,51.0,,9,journals/neco,A1,151.0,,9,conf/iccabs,B5,0.122529644269
10,journals/jcc,4376.0,140430.0,A1,47.0,,10,conf/wabi,B1,143.0,,10,conf/isbra,B3,0.118343195266
11,conf/icassp,28525.0,238265.0,A1,47.0,,11,journals/bmcsb,,125.0,,11,journals/tcbb,A2,0.097609561753
12,journals/bib,798.0,38929.0,,46.0,,12,journals/ijon,A1,118.0,,12,journals/bioinformatics,A1,0.0860236416013
13,conf/globecom,14010.0,105540.0,A1,45.0,,13,conf/uai,A1,110.0,,13,journals/bmcsb,,0.0842318059299
14,journals/ijon,7349.0,79598.0,A1,45.0,,14,conf/cpm,B1,107.0,,14,journals/jbcb,B1,0.0833333333333
15,conf/soda,2924.0,204116.0,A1,43.0,,15,journals/tcbb,A2,98.0,,15,journals/ficn,,0.0798192771084
16,journals/siamcomp,3124.0,269865.0,A1,39.0,,16,journals/siamcomp,A1,97.0,,16,journals/neco,A1,0.0610841423948
17,journals/tcs,10811.0,391021.0,A1,38.0,,17,conf/gcb,,90.0,,17,journals/nar,B1,0.0594472449157
18,journals/neco,2472.0,320711.0,A1,38.0,,18,conf/icml,A1,84.0,,18,conf/nips,A1,0.0573539760732
19,conf/aaai,7555.0,234650.0,A1,37.0,,19,conf/soda,A1,81.0,,19,conf/uai,A1,0.0559796437659
20,journals/jacm,2719.0,368295.0,A1,35.0,,20,journals/tcs,A1,79.0,,20,journals/bmcbi,A1,0.0511733107153
21,conf/icalp,3119.0,122492.0,A1,33.0,,21,conf/stoc,A1,77.0,,21,journals/bib,,0.0488721804511
22,conf/uai,1965.0,147942.0,A1,32.0,,22,conf/focs,A1,71.0,,22,conf/bcb,B4,0.0457317073171
23,journals/dam,5729.0,70961.0,A2,31.0,,23,journals/algorithmica,,63.0,,23,journals/jcns,,0.0443181818182
24,journals/algorithmica,2186.0,53176.0,,29.0,,24,journals/nn,A1,62.0,,24,conf/colt,A2,0.0327868852459
25,conf/colt,1098.0,172142.0,A2,27.0,,25,journals/jmlr,A1,61.0,,25,journals/siamcomp,A1,0.0310499359795
26,journals/jbcb,732.0,9734.0,B1,19.0,,26,journals/jbcb,B1,61.0,,26,journals/bc,A1,0.0288825757576
27,conf/cpm,711.0,20452.0,B1,16.0,,27,journals/bc,A1,61.0,,27,journals/algorithmica,,0.0288197621226
28,conf/icann,2661.0,16880.0,B1,14.0,,28,journals/jacm,A1,58.0,,28,journals/jmlr,A1,0.0281755196305
29,conf/iccabs,253.0,148.0,B5,7.0,,29,journals/jcss,A2,56.0,,29,conf/soda,A1,0.0277017783858
30,journals/bioinformatics,10067.0,582213.0,A1,,,30,journals/ficn,,53.0,,30,conf/stoc,A1,0.0255305039788
31,conf/recomb,988.0,43832.0,A2,,,31,journals/dam,A2,51.0,,31,conf/icml,A1,0.0255009107468
32,journals/jcb,1513.0,48286.0,A1,,,32,journals/jcisd,B1,50.0,,32,journals/neuroimage,,0.024882629108
33,conf/wabi,479.0,6217.0,B1,,,33,conf/aaai,A1,50.0,,33,conf/focs,A1,0.0238415043653
34,journals/bmcsb,1484.0,15670.0,,,,34,conf/icalp,A1,49.0,,34,journals/jacm,A1,0.0213313718279
35,journals/tcbb,1004.0,11473.0,A2,,,35,journals/ipl,A2,48.0,,35,journals/jcss,A2,0.0211800302572
36,conf/gcb,653.0,4424.0,,,,36,conf/eccb,B1,43.0,,36,journals/nn,A1,0.0187311178248
37,conf/stoc,3016.0,563585.0,A1,,,37,journals/jcc,A1,40.0,,37,journals/jocn,,0.0174081237911
38,conf/focs,2978.0,317181.0,A1,,,38,conf/isbra,B3,40.0,,38,journals/ijon,A1,0.016056606341
39,journals/jmlr,2165.0,94215.0,A1,,,39,journals/jcns,,39.0,,39,conf/icalp,A1,0.0157101635139
40,journals/bc,2112.0,50379.0,A1,,,40,journals/bib,,39.0,,40,conf/icann,B1,0.0139045471627
41,journals/jcss,2644.0,98794.0,A2,,,41,conf/kdd,A1,39.0,,41,conf/kdd,A1,0.0135935866155
42,journals/ficn,664.0,3723.0,,,,42,conf/icann,B1,37.0,,42,journals/jcc,A1,0.0091407678245
43,journals/ipl,6951.0,107976.0,A2,,,43,conf/colt,A2,36.0,,43,journals/dam,A2,0.00890207715134
44,conf/eccb,177.0,8441.0,B1,,,44,journals/jocn,,36.0,,44,journals/iandc,A2,0.0088638195004
45,conf/isbra,338.0,926.0,B3,,,45,conf/globecom,A1,36.0,,45,journals/jcisd,B1,0.00814597588791
46,journals/jcns,880.0,21218.0,,,,46,journals/almob,A1,33.0,,46,journals/tcs,A1,0.00730737212099
47,conf/kdd,2869.0,148223.0,A1,,,47,journals/iandc,A2,33.0,,47,journals/ipl,A2,0.00690548122572
48,journals/almob,251.0,1900.0,A1,,,48,conf/iccabs,B5,31.0,,48,conf/aaai,A1,0.0066181336863
49,journals/iandc,3723.0,121979.0,A2,,,49,conf/icassp,A1,31.0,,49,conf/globecom,A1,0.00256959314775
50,conf/bcb,656.0,588.0,B4,,,50,conf/bcb,B4,30.0,,50,conf/icassp,A1,0.00108676599474
