Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/cma,4572.0,33510.0,,118.0,,1,conf/iccS,A2,1075.0,,1,conf/iccS,A2,0.241193628001
2,journals/fgcs,2265.0,38059.0,A2,48.0,,2,conf/iccsa,B1,415.0,,2,journals/siamsc,A1,0.221229050279
3,journals/ijon,7349.0,79598.0,A1,45.0,,3,journals/siamsc,A1,396.0,,3,conf/pvm,,0.154942965779
4,journals/siamsc,1790.0,41616.0,A1,42.0,,4,journals/jcphy,,281.0,,4,journals/jocs,,0.147909967846
5,journals/siamnum,1758.0,54659.0,A1,38.0,,5,conf/ipps,A1,241.0,,5,journals/nla,,0.142414860681
6,journals/moc,2235.0,63717.0,A2,34.0,,6,conf/europar,,228.0,,6,conf/ppam,,0.1157455683
7,journals/siammax,983.0,29925.0,,32.0,,7,journals/fgcs,A2,193.0,,7,journals/ijitdm,,0.115141955836
8,conf/miccai,4743.0,59627.0,A1,32.0,,8,journals/concurrency,,182.0,,8,conf/vecpar,B4,0.110112359551
9,conf/iccS,4457.0,19295.0,A2,28.0,,9,conf/sc,A1,177.0,,9,conf/bife,,0.105809128631
10,conf/parco,972.0,2891.0,B3,25.0,,10,journals/procedia,C ,171.0,,10,journals/ijhpca,,0.105463786531
11,conf/cluster,1130.0,8047.0,A2,25.0,,11,conf/pvm,,163.0,,11,conf/para,,0.101804123711
12,journals/pc,2477.0,46196.0,A2,25.0,,12,journals/siamnum,A1,143.0,,12,conf/iccsa,B1,0.0968946999767
13,conf/icpp,3433.0,53080.0,A2,22.0,,13,journals/pc,A2,114.0,,13,conf/grid,A2,0.0959183673469
14,journals/nla,323.0,1405.0,,21.0,,14,conf/ppam,,111.0,,14,journals/fgcs,A2,0.0852097130243
15,conf/grid,490.0,10645.0,A2,21.0,,15,journals/jpdc,A2,107.0,,15,journals/procedia,C ,0.0851169736187
16,conf/igarss,13453.0,19429.0,B1,20.0,,16,conf/igarss,B1,103.0,,16,journals/siamnum,A1,0.0813424345848
17,conf/otm,2319.0,12221.0,,20.0,,17,journals/jscic,,84.0,,17,conf/eScience,B1,0.0775656324582
