Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,journals/tvcg,A1,1290.0,,1,journals/tvcg,A1,0.543615676359
2,journals/computer,4766.0,261329.0,,76.0,,2,conf/siggraph,A2,1199.0,,2,journals/tog,A1,0.441585828764
3,conf/icra,16038.0,236265.0,A1,61.0,,3,journals/tog,A1,1047.0,,3,conf/apvis,,0.39896373057
4,conf/eccv,3329.0,159515.0,A1,59.0,,4,journals/cgf,A2,949.0,,4,conf/sca,A2,0.351535836177
5,conf/uist,1219.0,52308.0,A1,40.0,,5,journals/vc,B1,353.0,,5,conf/egpgv,,0.340909090909
6,journals/cad,2736.0,55554.0,,37.0,,6,journals/cga,A2,288.0,,6,conf/vmv,,0.316279069767
7,conf/icip,17283.0,156642.0,A1,35.0,,7,journals/cg,,283.0,,7,conf/ieeevast,,0.311983471074
8,conf/miccai,4743.0,59627.0,A1,32.0,,8,conf/chi,A1,268.0,,8,journals/cgf,A2,0.310435067059
9,journals/cga,1531.0,41215.0,A2,28.0,,9,conf/vr,A2,251.0,,9,conf/npar,A2,0.28
10,conf/siggraph,4741.0,307117.0,A2,26.0,,10,conf/vmv,,204.0,,10,conf/si3d,,0.27731092437
11,conf/sca,293.0,4981.0,A2,26.0,,11,conf/cvpr,A1,204.0,,11,conf/siggraph,A2,0.252900232019
12,conf/si3d,595.0,28755.0,,26.0,,12,journals/jvca,,200.0,,12,conf/graphicsinterface,,0.223974763407
13,conf/hci,10109.0,15200.0,A2,25.0,,13,conf/si3d,,165.0,,13,journals/jvca,,0.218102508179
14,conf/ieeevast,484.0,2922.0,,23.0,,14,conf/apvis,,154.0,,14,journals/ivs,B1,0.216828478964
15,conf/graphicsinterface,634.0,15397.0,,17.0,,15,conf/ieeevast,,151.0,,15,journals/jgtools,,0.194078947368
16,conf/isvc,1689.0,3378.0,,15.0,,16,journals/cad,,143.0,,16,journals/vc,B1,0.188467698879
17,conf/vrst,715.0,7638.0,B1,14.0,,17,conf/graphicsinterface,,142.0,,17,conf/vr,A2,0.188438438438
18,conf/avi,830.0,7670.0,A2,14.0,,18,conf/dagstuhl,,140.0,,18,journals/cga,A2,0.188112344873
19,conf/sc,3087.0,61642.0,A1,13.0,,19,conf/ismar,A2,116.0,,19,conf/sccg,,0.187327823691
20,conf/sibgrapi,854.0,3235.0,B1,12.0,,20,conf/icip,A1,115.0,,20,conf/vrst,B1,0.153846153846
21,conf/ACMace,923.0,3769.0,,12.0,,21,journals/cvgip,,112.0,,21,conf/ismar,A2,0.11848825332
22,conf/vmv,645.0,10392.0,,12.0,,22,conf/vrst,B1,110.0,,22,conf/apgv,B2,0.115294117647
23,conf/iv,1839.0,7547.0,B1,12.0,,23,conf/uist,A1,110.0,,23,journals/cg,,0.100497159091
24,conf/sccg,363.0,1448.0,,8.0,,24,journals/cagd,A2,109.0,,24,conf/sibgrapi,B1,0.0995316159251
25,conf/bildmed,1582.0,1597.0,,7.0,,25,conf/sca,A2,103.0,,25,conf/uist,A1,0.090237899918
26,conf/grapp,660.0,688.0,B4,7.0,,26,conf/miccai,A1,97.0,,26,conf/wscg,B1,0.0899705014749
27,conf/chi,10697.0,257222.0,A1,6.0,,27,conf/iccv,A1,93.0,,27,conf/ACMace,,0.0888407367281
28,journals/tvcg,2373.0,58997.0,A1,,,28,conf/isvc,,88.0,,28,journals/cvgip,,0.080229226361
29,journals/tog,2371.0,136331.0,A1,,,29,conf/sibgrapi,B1,85.0,,29,conf/grapp,B4,0.0787878787879
30,journals/cgf,3057.0,50712.0,A2,,,30,conf/ACMace,,82.0,,30,journals/cagd,A2,0.0754847645429
31,journals/vc,1873.0,25990.0,B1,,,31,conf/hci,A2,73.0,,31,conf/avi,A2,0.0614457831325
32,journals/cg,2816.0,36406.0,,,,32,conf/bildmed,,72.0,,32,journals/presence,,0.058886509636
33,conf/vr,1332.0,21739.0,A2,,,33,conf/icra,A1,69.0,,33,journals/cad,,0.0522660818713
34,journals/jvca,917.0,8089.0,,,,34,conf/sccg,,68.0,,34,conf/isvc,,0.0521018354056
35,conf/apvis,386.0,2571.0,,,,35,journals/ivs,B1,67.0,,35,conf/bildmed,,0.0455120101138
36,conf/dagstuhl,4387.0,49198.0,,,,36,conf/haptics,B1,63.0,,36,conf/haptics,B1,0.0364794441228
37,conf/ismar,979.0,12048.0,A2,,,37,conf/eccv,A1,62.0,,37,conf/dagstuhl,,0.0319124686574
38,journals/cvgip,1396.0,71457.0,,,,38,conf/wscg,B1,61.0,,38,conf/iv,B1,0.031538879826
39,journals/cagd,1444.0,31866.0,A2,,,39,conf/egpgv,,60.0,,39,conf/iccv,A1,0.0308560053086
40,conf/iccv,3014.0,216626.0,A1,,,40,journals/jgtools,,59.0,,40,conf/cvpr,A1,0.0296770439337
41,journals/ivs,309.0,5033.0,B1,,,41,conf/iv,B1,58.0,,41,conf/chi,A1,0.0250537533888
42,conf/haptics,1727.0,8138.0,B1,,,42,conf/sc,A1,58.0,,42,conf/miccai,A1,0.0204511912292
43,conf/wscg,678.0,3869.0,B1,,,43,conf/mm,A1,57.0,,43,conf/sc,A1,0.0187884677681
44,conf/egpgv,176.0,830.0,,,,44,journals/presence,,55.0,,44,conf/eccv,A1,0.0186242114749
45,journals/jgtools,304.0,7432.0,,,,45,conf/grapp,B4,52.0,,45,conf/mm,A1,0.0137151106833
46,conf/mm,4156.0,84789.0,A1,,,46,conf/avi,A2,51.0,,46,journals/computer,,0.0104909777591
47,journals/presence,934.0,43558.0,,,,47,journals/computer,,50.0,,47,journals/pami,A1,0.00985610092647
48,journals/pami,5073.0,667087.0,A1,,,48,journals/pami,A1,50.0,,48,conf/hci,A2,0.00722128796122
49,conf/apgv,425.0,2308.0,B2,,,49,conf/apgv,B2,49.0,,49,conf/icip,A1,0.00665393739513
50,conf/npar,175.0,3848.0,A2,,,50,conf/npar,A2,49.0,,50,conf/icra,A1,0.00430228208006
