Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,journals/tcad,A1,2408.0,,1,conf/iccad,A1,0.59885300332
2,conf/isca,1821.0,135083.0,A1,53.0,,2,conf/dac,A1,2302.0,,2,conf/ispd,A2,0.585626911315
3,conf/icassp,28525.0,238265.0,A1,47.0,,3,conf/iccad,A1,1984.0,,3,journals/tcad,A1,0.509521794329
4,conf/date,5135.0,52731.0,A1,41.0,,4,conf/date,A1,1465.0,,4,journals/todaes,B2,0.42119205298
5,conf/dac,6526.0,186313.0,A1,40.0,,5,conf/aspdac,,1038.0,,5,conf/slip,,0.361233480176
6,journals/integration,954.0,6860.0,B2,38.0,,6,journals/tvlsi,A1,836.0,,6,conf/aspdac,,0.35904531304
7,conf/cav,1290.0,101412.0,A1,38.0,,7,conf/iccd,A2,625.0,,7,conf/dac,A1,0.352742874655
8,conf/iccad,3313.0,104804.0,A1,29.0,,8,conf/itc,A1,625.0,,8,conf/islped,A1,0.327001356852
9,conf/aspdac,2891.0,17518.0,,28.0,,9,conf/vlsid,A2,594.0,,9,journals/jetc,,0.316
10,conf/iscas,16967.0,68042.0,A1,27.0,,10,conf/iscas,A1,578.0,,10,conf/date,A1,0.2852969815
11,conf/fpga,1075.0,18539.0,A2,26.0,,11,conf/isqed,B1,528.0,,11,conf/codes,,0.283154121864
12,conf/islped,1474.0,29414.0,A1,24.0,,12,conf/islped,A1,482.0,,12,conf/isqed,B1,0.282504012841
13,conf/cicc,1523.0,4740.0,B2,23.0,,13,journals/tc,A1,459.0,,13,conf/vts,A2,0.278924327705
14,conf/fpl,2396.0,18654.0,A2,22.0,,14,conf/vts,A2,446.0,,14,journals/tvlsi,A1,0.278295605859
15,conf/icpp,3433.0,53080.0,A2,22.0,,15,conf/glvlsi,,384.0,,15,conf/iccd,A2,0.271267361111
16,conf/codes,837.0,11576.0,,21.0,,16,conf/ispd,A2,383.0,,16,journals/et,B2,0.239511823036
17,conf/fmcad,466.0,7380.0,B1,20.0,,17,journals/dt,,330.0,,17,conf/ets,,0.236051502146
18,conf/vlsid,2573.0,16525.0,A2,18.0,,18,journals/todaes,B2,318.0,,18,conf/vlsid,A2,0.230858919549
19,conf/iccd,2304.0,27546.0,A2,18.0,,19,journals/et,B2,314.0,,19,journals/dt,,0.221923335575
20,conf/vts,1599.0,18311.0,A2,18.0,,20,conf/ats,,252.0,,20,conf/glvlsi,,0.2183058556
21,conf/isqed,1869.0,8032.0,B1,18.0,,21,conf/codes,,237.0,,21,conf/hldvt,B3,0.210526315789
22,conf/ispd,654.0,13565.0,A2,17.0,,22,conf/fpga,A2,195.0,,22,conf/ats,,0.200158856235
23,conf/cases,506.0,6500.0,A2,17.0,,23,journals/integration,B2,169.0,,23,conf/fpga,A2,0.181395348837
24,conf/glvlsi,1759.0,7169.0,,16.0,,24,journals/tcas,,163.0,,24,journals/integration,B2,0.17714884696
25,conf/itc,4208.0,56652.0,A1,15.0,,25,conf/isvlsi,B1,133.0,,25,journals/jolpe,B2,0.161165048544
26,conf/isvlsi,968.0,4586.0,B1,15.0,,26,conf/dft,B1,133.0,,26,conf/async,A2,0.154897494305
27,conf/dsd,1379.0,3943.0,B1,15.0,,27,conf/ipps,A1,122.0,,27,conf/fmcad,B1,0.152360515021
28,conf/ats,1259.0,5361.0,,14.0,,28,conf/cicc,B2,122.0,,28,journals/tecs,B1,0.15188172043
29,conf/ets,466.0,1844.0,,13.0,,29,conf/icassp,A1,114.0,,29,conf/itc,A1,0.14852661597
30,conf/vlsi,870.0,2152.0,,10.0,,30,journals/tecs,B1,113.0,,30,conf/cases,A2,0.138339920949
31,conf/hldvt,361.0,1788.0,B3,9.0,,31,conf/ets,,110.0,,31,conf/isvlsi,B1,0.137396694215
32,conf/patmos,729.0,1835.0,B2,7.0,,32,conf/cav,A1,100.0,,32,conf/patmos,B2,0.135802469136
33,journals/tcad,4726.0,133432.0,A1,,,33,conf/patmos,B2,99.0,,33,conf/iolts,B1,0.123197903014
34,journals/tvlsi,3004.0,46874.0,A1,,,34,conf/iolts,B1,94.0,,34,conf/dft,B1,0.121239744758
35,journals/tc,6597.0,264854.0,A1,,,35,conf/isca,A1,93.0,,35,conf/vlsi,,0.105747126437
36,journals/dt,1487.0,29710.0,,,,36,conf/fpl,A2,92.0,,36,conf/socc,B2,0.0809061488673
