Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,journals/iacr,,1374.0,,1,journals/tissec,,0.623824451411
2,conf/icde,4327.0,135333.0,A1,52.0,,2,conf/ccs,A1,1204.0,,2,conf/ndss,A1,0.526022304833
3,conf/eurocrypt,1310.0,147911.0,A1,48.0,,3,conf/uss,,353.0,,3,conf/ccs,A1,0.521212121212
4,conf/ndss,538.0,23946.0,A1,39.0,,4,conf/sp,B1,301.0,,4,conf/wpes,,0.514403292181
5,journals/tcs,10811.0,391021.0,A1,38.0,,5,conf/crypto,A1,294.0,,5,conf/sacmat,A1,0.502673796791
6,conf/fse,555.0,28756.0,A2,38.0,,6,conf/ndss,A1,283.0,,6,conf/pet,,0.484581497797
7,conf/sec,831.0,5600.0,B1,34.0,,7,conf/eurocrypt,A1,256.0,,7,conf/codaspy,B4,0.439790575916
8,conf/asiacrypt,884.0,39222.0,A1,34.0,,8,conf/esorics,A2,252.0,,8,conf/uss,,0.359836901121
9,conf/icalp,3119.0,122492.0,A1,33.0,,9,conf/acsac,A1,239.0,,9,journals/jcs,,0.354077253219
10,conf/pkc,558.0,21362.0,A2,30.0,,10,conf/fc,B1,217.0,,10,conf/acns,B1,0.350617283951
11,conf/fc,621.0,14257.0,B1,28.0,,11,conf/infocom,A1,209.0,,11,conf/fc,B1,0.349436392915
12,journals/joc,476.0,28486.0,A2,28.0,,12,journals/tissec,,199.0,,12,conf/scn,B2,0.343137254902
13,conf/sp,989.0,93159.0,B1,27.0,,13,conf/sacmat,A1,188.0,,13,conf/esorics,A2,0.32101910828
14,conf/sacmat,374.0,10440.0,A1,23.0,,14,journals/jcs,,165.0,,14,conf/raid,A2,0.312668463612
15,conf/raid,371.0,12063.0,A2,22.0,,15,conf/asiacrypt,A1,161.0,,15,conf/sp,B1,0.304347826087
16,journals/sigmod,1568.0,46055.0,A1,21.0,,16,conf/dbsec,,157.0,,16,conf/securecomm,B1,0.290598290598
17,conf/acns,405.0,5170.0,B1,19.0,,17,conf/pkc,A2,148.0,,17,conf/acsac,A1,0.27534562212
18,conf/codaspy,191.0,440.0,B4,16.0,,18,conf/acns,B1,142.0,,18,conf/pkc,A2,0.26523297491
19,conf/isw,533.0,8946.0,,16.0,,19,conf/csfw,A1,140.0,,19,journals/tdsc,B1,0.255269320843
20,conf/acisp,681.0,8080.0,,16.0,,20,conf/wpes,,125.0,,20,conf/csfw,A1,0.25
21,conf/securecomm,351.0,3677.0,B1,15.0,,21,conf/isw,,121.0,,21,journals/ijisec,B1,0.248502994012
22,journals/iacr,8254.0,31689.0,,,,22,conf/spw,B4,119.0,,22,conf/tcc,A2,0.23908045977
23,conf/ccs,2310.0,93433.0,A1,,,23,conf/acisp,,118.0,,23,conf/ctrsa,,0.227941176471
24,conf/uss,981.0,44064.0,,,,24,conf/raid,A2,116.0,,24,conf/isw,,0.227016885553
25,conf/crypto,1392.0,269304.0,A1,,,25,conf/pet,,110.0,,25,conf/dbsec,,0.22525107604
26,conf/esorics,785.0,17737.0,A2,,,26,journals/tdsc,B1,109.0,,26,conf/crypto,A1,0.211206896552
27,conf/acsac,868.0,26355.0,A1,,,27,conf/icics,B1,109.0,,27,conf/eurocrypt,A1,0.195419847328
28,journals/tissec,319.0,23751.0,,,,28,journals/tc,A1,105.0,,28,conf/spw,B4,0.191626409018
29,journals/jcs,466.0,18173.0,,,,29,conf/tcc,A2,104.0,,29,conf/icics,B1,0.184121621622
30,conf/dbsec,697.0,10418.0,,,,30,conf/securecomm,B1,102.0,,30,journals/joc,A2,0.182773109244
31,conf/csfw,560.0,25727.0,A1,,,31,conf/icdcs,A1,98.0,,31,conf/asiacrypt,A1,0.182126696833
32,conf/wpes,243.0,5231.0,,,,32,journals/ieeesp,,93.0,,32,conf/acisp,,0.173274596182
33,conf/spw,621.0,23633.0,B4,,,33,conf/ctrsa,,93.0,,33,journals/iacr,,0.166464744366
34,conf/pet,227.0,8131.0,,,,34,journals/tpds,A1,92.0,,34,conf/fse,A2,0.140540540541
35,journals/tdsc,427.0,10175.0,B1,,,35,conf/sec,B1,88.0,,35,conf/sec,B1,0.105896510229
36,conf/icics,592.0,5923.0,B1,,,36,journals/joc,A2,87.0,,36,journals/tifs,,0.0761467889908
37,journals/tc,6597.0,264854.0,A1,,,37,journals/tkde,A1,85.0,,37,journals/ieeesp,,0.0678336980306
38,conf/tcc,435.0,16164.0,A2,,,38,journals/cn,A1,85.0,,38,journals/sigmod,A1,0.0529336734694
39,conf/icdcs,2458.0,87448.0,A1,,,39,conf/codaspy,B4,84.0,,39,conf/icdcs,A1,0.039869812856
40,journals/ieeesp,1371.0,20218.0,,,,40,journals/ijisec,B1,83.0,,40,journals/ton,A1,0.0313465783664
41,conf/ctrsa,408.0,13567.0,,,,41,journals/tifs,,83.0,,41,conf/infocom,A1,0.0301022612703
42,journals/tpds,3298.0,84900.0,A1,,,42,journals/sigmod,A1,83.0,,42,journals/tkde,A1,0.029079712624
43,journals/tkde,2923.0,124112.0,A1,,,43,conf/icde,A1,82.0,,43,journals/tpds,A1,0.0278956943602
44,journals/cn,5168.0,163372.0,A1,,,44,conf/fse,A2,78.0,,44,conf/stoc,A1,0.0245358090186
45,journals/ijisec,334.0,4918.0,B1,,,45,journals/tcs,A1,75.0,,45,conf/focs,A1,0.0231699126931
46,journals/tifs,1090.0,12027.0,,,,46,conf/stoc,A1,74.0,,46,conf/icalp,A1,0.0224430907342
47,conf/stoc,3016.0,563585.0,A1,,,47,journals/ton,A1,71.0,,47,conf/icde,A1,0.0189507742085
