Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/kdd,A1,1401.0,,1,journals/tkdd,,0.632432432432
2,conf/www,4501.0,120253.0,A1,83.0,,2,conf/icdm,A1,895.0,,2,conf/kdd,A1,0.488323457651
3,journals/bmcbi,7074.0,136587.0,A1,73.0,,3,conf/cikm,A1,607.0,,3,conf/sdm,A2,0.45179584121
4,journals/ml,1309.0,184440.0,A1,73.0,,4,conf/icde,A1,524.0,,4,journals/sigkdd,,0.444685466377
5,journals/isci,7032.0,124049.0,A1,70.0,,5,journals/tkde,A1,516.0,,5,journals/datamine,A2,0.368421052632
6,conf/icml,3294.0,290468.0,A1,69.0,,6,conf/sdm,A2,478.0,,6,conf/wsdm,B1,0.288930581614
7,conf/nips,5684.0,404822.0,A1,66.0,,7,conf/icml,A1,468.0,,7,conf/icdm,A1,0.274035517453
8,conf/sigmod,3706.0,337960.0,A1,61.0,,8,conf/sigmod,A1,435.0,,8,journals/kais,A2,0.184848484848
9,conf/wsdm,533.0,8651.0,B1,54.0,,9,conf/www,A1,418.0,,9,conf/pkdd,A2,0.181235431235
10,conf/icde,4327.0,135333.0,A1,52.0,,10,conf/aaai,A1,389.0,,10,journals/tkde,A1,0.176530961341
11,conf/sigir,3545.0,205477.0,A1,49.0,,11,conf/nips,A1,318.0,,11,conf/pakdd,,0.158031088083
12,conf/icwsm,797.0,7564.0,B1,48.0,,12,conf/pkdd,A2,311.0,,12,journals/vldb,A2,0.151424287856
13,conf/ijcai,6188.0,295635.0,A1,46.0,,13,conf/pakdd,,305.0,,13,journals/pvldb,A1,0.147197839298
14,journals/ijon,7349.0,79598.0,A1,45.0,,14,conf/vldb,A1,262.0,,14,conf/icml,A1,0.142076502732
15,conf/aaai,7555.0,234650.0,A1,37.0,,15,conf/ijcai,A1,237.0,,15,conf/cikm,A1,0.140087699054
16,conf/edbt,1462.0,28921.0,A2,36.0,,16,conf/sigir,A1,231.0,,16,conf/recsys,B1,0.122571001495
17,conf/sdm,1058.0,20754.0,A2,35.0,,17,journals/pvldb,A1,218.0,,17,conf/icde,A1,0.121100069332
18,conf/icip,17283.0,156642.0,A1,35.0,,18,journals/sigkdd,,205.0,,18,conf/sigmod,A1,0.11737722612
19,conf/vldb,2641.0,235473.0,A1,34.0,,19,journals/datamine,A2,196.0,,19,journals/ml,A1,0.105423987777
20,conf/uai,1965.0,147942.0,A1,32.0,,20,journals/kais,A2,183.0,,20,conf/icwsm,B1,0.10539523212
21,conf/sac,5502.0,37130.0,A1,32.0,,21,journals/jmlr,A1,176.0,,21,conf/edbt,A2,0.103283173735
22,conf/pods,1107.0,115617.0,A1,28.0,,22,conf/wsdm,B1,154.0,,22,conf/vldb,A1,0.099204846649
23,conf/icmcs,7286.0,55698.0,B3,23.0,,23,conf/edbt,A2,151.0,,23,conf/www,A1,0.0928682514997
24,conf/asunam,889.0,1589.0,,20.0,,24,journals/ml,A1,138.0,,24,conf/asunam,,0.0922384701912
25,journals/sigkdd,461.0,21066.0,,20.0,,25,journals/bioinformatics,A1,131.0,,25,conf/ssdbm,A2,0.0905550146056
26,conf/ssdbm,1027.0,9842.0,A2,19.0,,26,conf/icmcs,B3,126.0,,26,journals/jmlr,A1,0.0812933025404
27,conf/dasfaa,1628.0,6723.0,B1,17.0,,27,conf/mm,A1,126.0,,27,conf/dasfaa,B1,0.0743243243243
28,conf/ictai,2505.0,27065.0,A2,14.0,,28,conf/dasfaa,B1,121.0,,28,conf/sigir,A1,0.0651622002821
29,conf/sc,3087.0,61642.0,A1,13.0,,29,journals/tkdd,,117.0,,29,conf/pods,A1,0.0641373080397
30,conf/kdd,2869.0,148223.0,A1,,,30,conf/cvpr,A1,115.0,,30,journals/debu,,0.0579029733959
31,conf/icdm,3266.0,43188.0,A1,,,31,conf/ipps,A1,109.0,,31,conf/nips,A1,0.0559465165376
32,conf/cikm,4333.0,72291.0,A1,,,32,conf/ictai,A2,103.0,,32,conf/aaai,A1,0.0514890800794
33,journals/tkde,2923.0,124112.0,A1,,,33,journals/ijon,A1,102.0,,33,conf/uai,A1,0.0432569974555
34,conf/pkdd,1716.0,25605.0,A2,,,34,journals/vldb,A2,101.0,,34,conf/ictai,A2,0.0411177644711
35,conf/pakdd,1930.0,14336.0,,,,35,journals/bmcbi,A1,97.0,,35,conf/ijcai,A1,0.0382999353588
36,journals/pvldb,1481.0,18238.0,A1,,,36,journals/isci,A1,95.0,,36,conf/mm,A1,0.0303176130895
37,journals/datamine,532.0,42245.0,A2,,,37,conf/ssdbm,A2,93.0,,37,journals/tpds,A1,0.0242571255306
38,journals/kais,990.0,24743.0,A2,,,38,conf/uai,A1,85.0,,38,conf/sc,A1,0.0229996760609
39,journals/jmlr,2165.0,94215.0,A1,,,39,conf/icwsm,B1,84.0,,39,journals/tnn,,0.0194099378882
40,journals/bioinformatics,10067.0,582213.0,A1,,,40,conf/asunam,,82.0,,40,conf/icmcs,B3,0.017293439473
41,conf/mm,4156.0,84789.0,A1,,,41,conf/recsys,B1,82.0,,41,conf/cvpr,A1,0.0167297061391
42,journals/tkdd,185.0,2796.0,,,,42,conf/sac,A1,81.0,,42,journals/pami,A1,0.0149812734082
43,conf/ipps,7378.0,78830.0,A1,,,43,journals/tpds,A1,80.0,,43,conf/ipps,A1,0.014773651396
44,journals/vldb,667.0,36101.0,A2,,,44,journals/pami,A1,76.0,,44,conf/sac,A1,0.0147219193021
45,conf/recsys,669.0,6329.0,B1,,,45,journals/tnn,,75.0,,45,journals/ijon,A1,0.0138794393795
46,journals/tpds,3298.0,84900.0,A1,,,46,journals/tsmc,,75.0,,46,journals/bmcbi,A1,0.0137121854679
47,journals/pami,5073.0,667087.0,A1,,,47,journals/debu,,74.0,,47,journals/isci,A1,0.0135096700796
48,journals/tnn,3864.0,312231.0,,,,48,conf/icip,A1,73.0,,48,journals/bioinformatics,A1,0.0130128141452
49,journals/tsmc,7525.0,282768.0,,,,49,conf/sc,A1,71.0,,49,journals/tsmc,,0.00996677740864
50,journals/debu,1278.0,19702.0,,,,50,conf/pods,A1,71.0,,50,conf/icip,A1,0.00422380373778
