Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/sigmod,A1,1965.0,,1,journals/pvldb,A1,0.586090479406
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/icde,A1,1754.0,,2,journals/vldb,A2,0.568215892054
3,journals/is,1504.0,32461.0,A2,72.0,,3,conf/vldb,A1,1161.0,,3,conf/cidr,A2,0.56228956229
4,journals/isci,7032.0,124049.0,A1,70.0,,4,journals/pvldb,A1,868.0,,4,conf/sigmod,A1,0.530221262817
5,conf/sigmod,3706.0,337960.0,A1,61.0,,5,journals/tkde,A1,676.0,,5,journals/tods,A2,0.521836506159
6,conf/icde,4327.0,135333.0,A1,52.0,,6,journals/debu,,617.0,,6,journals/debu,,0.482785602504
7,conf/sigir,3545.0,205477.0,A1,49.0,,7,journals/sigmod,A1,538.0,,7,conf/pods,A1,0.446251129178
8,journals/tcs,10811.0,391021.0,A1,38.0,,8,conf/edbt,A2,501.0,,8,conf/webdb,B1,0.443262411348
9,conf/edbt,1462.0,28921.0,A2,36.0,,9,conf/cikm,A1,495.0,,9,conf/vldb,A1,0.439606209769
10,conf/sdm,1058.0,20754.0,A2,35.0,,10,conf/pods,A1,494.0,,10,conf/icde,A1,0.405361682459
11,journals/jacm,2719.0,368295.0,A1,35.0,,11,journals/tods,A2,466.0,,11,conf/icdt,B1,0.35632183908
12,conf/vldb,2641.0,235473.0,A1,34.0,,12,conf/kdd,A1,389.0,,12,journals/sigmod,A1,0.343112244898
13,conf/gis,1524.0,12787.0,B1,29.0,,13,journals/vldb,A2,379.0,,13,conf/edbt,A2,0.34268125855
14,conf/cidr,297.0,12184.0,A2,28.0,,14,conf/www,A1,285.0,,14,conf/ssd,,0.31914893617
15,conf/pods,1107.0,115617.0,A1,28.0,,15,conf/icdm,A1,266.0,,15,conf/ssdbm,A2,0.251217137293
16,conf/mdm,961.0,7523.0,A2,23.0,,16,conf/dasfaa,B1,262.0,,16,journals/tkde,A1,0.231269243927
17,conf/icdt,522.0,36527.0,B1,22.0,,17,conf/ssdbm,A2,258.0,,17,journals/dpd,B1,0.224489795918
18,journals/sigmod,1568.0,46055.0,A1,21.0,,18,journals/is,A2,194.0,,18,conf/dasfaa,B1,0.160933660934
19,conf/ssdbm,1027.0,9842.0,A2,19.0,,19,conf/icdt,B1,186.0,,19,conf/btw,,0.146313364055
20,conf/ideas,761.0,5212.0,,19.0,,20,conf/cidr,A2,167.0,,20,conf/sdm,A2,0.137051039698
21,conf/dasfaa,1628.0,6723.0,B1,17.0,,21,conf/gis,B1,153.0,,21,conf/kdd,A1,0.135587312652
22,conf/wise,1315.0,10431.0,B1,14.0,,22,journals/jacm,A1,152.0,,22,journals/is,A2,0.128989361702
23,conf/waim,1256.0,2798.0,B2,11.0,,23,journals/jcss,A2,147.0,,23,conf/cikm,A1,0.114239556889
24,conf/btw,868.0,3772.0,,11.0,,24,conf/sdm,A2,145.0,,24,conf/waim,B2,0.109872611465
25,journals/pvldb,1481.0,18238.0,A1,,,25,journals/cacm,A1,139.0,,25,conf/dbsec,,0.101865136298
26,journals/tkde,2923.0,124112.0,A1,,,26,conf/waim,B2,138.0,,26,conf/gis,B1,0.100393700787
27,journals/debu,1278.0,19702.0,,,,27,conf/icdcs,A1,135.0,,27,conf/mdm,A2,0.0946930280957
28,conf/cikm,4333.0,72291.0,A1,,,28,journals/tse,A1,129.0,,28,conf/ideas,,0.0946123521682
29,journals/tods,893.0,113458.0,A2,,,29,conf/btw,,127.0,,29,conf/icdm,A1,0.0814451928965
30,conf/kdd,2869.0,148223.0,A1,,,30,conf/webdb,B1,125.0,,30,journals/kais,A2,0.0767676767677
31,journals/vldb,667.0,36101.0,A2,,,31,conf/ssd,,120.0,,31,journals/dke,,0.0660247592847
32,conf/icdm,3266.0,43188.0,A1,,,32,conf/er,A2,117.0,,32,conf/www,A1,0.0633192623861
33,journals/jcss,2644.0,98794.0,A2,,,33,conf/dagstuhl,,99.0,,33,journals/csur,A1,0.059866962306
34,journals/cacm,10519.0,922594.0,A1,,,34,conf/pakdd,,97.0,,34,conf/wise,B1,0.0585551330798
35,conf/icdcs,2458.0,87448.0,A1,,,35,journals/dke,,96.0,,35,journals/jacm,A1,0.05590290548
36,journals/tse,3310.0,298968.0,A1,,,36,conf/mdm,A2,91.0,,36,journals/jcss,A2,0.0555975794251
37,conf/webdb,282.0,11169.0,B1,,,37,conf/dexa,B1,90.0,,37,conf/icdcs,A1,0.0549227013832
38,conf/ssd,376.0,13641.0,,,,38,conf/sigir,A1,89.0,,38,conf/er,A2,0.0526789734354
39,conf/er,2221.0,28947.0,A2,,,39,journals/dpd,B1,88.0,,39,conf/pakdd,,0.0502590673575
40,conf/dagstuhl,4387.0,49198.0,,,,40,journals/isci,A1,86.0,,40,conf/dexa,B1,0.0415320719889
41,conf/pakdd,1930.0,14336.0,,,,41,journals/csur,A1,81.0,,41,conf/pkdd,A2,0.0407925407925
42,journals/dke,1454.0,29615.0,,,,42,journals/tcs,A1,79.0,,42,journals/tse,A1,0.0389728096677
43,conf/dexa,2167.0,14267.0,B1,,,43,conf/mm,A1,78.0,,43,conf/sigir,A1,0.0251057827927
44,journals/dpd,392.0,12099.0,B1,,,44,conf/wise,B1,77.0,,44,conf/dagstuhl,,0.0225666742649
45,journals/csur,1353.0,214765.0,A1,,,45,journals/kais,A2,76.0,,45,journals/tpds,A1,0.0218314129776
46,conf/mm,4156.0,84789.0,A1,,,46,conf/ideas,,72.0,,46,conf/mm,A1,0.0187680461983
47,journals/kais,990.0,24743.0,A2,,,47,journals/tpds,A1,72.0,,47,journals/cacm,A1,0.0132141838578
48,journals/tpds,3298.0,84900.0,A1,,,48,conf/dbsec,,71.0,,48,journals/isci,A1,0.0122298065984
