Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,journals/tpds,A1,1391.0,,1,journals/tpds,A1,0.421770770164
2,journals/computer,4766.0,261329.0,,76.0,,2,conf/infocom,A1,1036.0,,2,conf/icdcs,A1,0.345809601302
3,conf/sigmod,3706.0,337960.0,A1,61.0,,3,conf/ipps,A1,997.0,,3,conf/icpp,A2,0.226915234489
4,conf/icde,4327.0,135333.0,A1,52.0,,4,conf/icdcs,A1,850.0,,4,conf/mass,B1,0.220779220779
5,conf/globecom,14010.0,105540.0,A1,45.0,,5,conf/icpp,A2,779.0,,5,journals/jpdc,A2,0.20378690629
6,conf/icc,14807.0,125393.0,A2,44.0,,6,journals/tc,A1,769.0,,6,conf/mobihoc,A1,0.202643171806
7,journals/comcom,4829.0,48151.0,A2,42.0,,7,conf/globecom,A1,647.0,,7,conf/icnp,A1,0.190697674419
8,conf/sigmetrics,1490.0,70702.0,A1,39.0,,8,journals/jpdc,A2,635.0,,8,conf/srds,A2,0.190523198421
9,conf/percom,1751.0,19503.0,A2,32.0,,9,conf/icc,A2,585.0,,9,journals/tmc,,0.189154293092
10,conf/rtss,1152.0,65287.0,A1,30.0,,10,conf/wcnc,A2,294.0,,10,conf/rtss,A1,0.173611111111
11,conf/podc,1634.0,85678.0,A1,27.0,,11,journals/tmc,,293.0,,11,conf/infocom,A1,0.149215036728
12,conf/cluster,1130.0,8047.0,A2,25.0,,12,conf/icde,A1,279.0,,12,conf/wdag,,0.140369967356
13,journals/winet,1535.0,43453.0,A1,25.0,,13,conf/mass,B1,272.0,,13,conf/icdcsw,,0.136935603257
14,journals/wicomm,1434.0,8282.0,B1,25.0,,14,journals/tkde,A1,268.0,,14,conf/hipc,B1,0.136492890995
15,conf/icmcs,7286.0,55698.0,B3,23.0,,15,conf/icpads,B1,263.0,,15,conf/ipps,A1,0.135131471944
16,conf/icnp,860.0,26679.0,A1,22.0,,16,journals/jsac,A1,239.0,,16,conf/sensys,A1,0.1201171875
