Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,conf/sensys,A1,623.0,,1,conf/sensys,A1,0.6083984375
2,conf/icra,16038.0,236265.0,A1,61.0,,2,conf/date,A1,616.0,,2,conf/ipsn,A1,0.412604042806
3,conf/icassp,28525.0,238265.0,A1,47.0,,3,conf/dac,A1,460.0,,3,conf/ewsn,A2,0.34328358209
4,conf/iros,13604.0,126537.0,A1,45.0,,4,journals/tcad,A1,354.0,,4,journals/tecs,B1,0.336021505376
5,conf/globecom,14010.0,105540.0,A1,45.0,,5,conf/ipsn,A1,347.0,,5,journals/tosn,,0.296954314721
6,conf/icc,14807.0,125393.0,A2,44.0,,6,conf/infocom,A1,276.0,,6,conf/codes,,0.26284348865
7,conf/cdc,8622.0,25900.0,B1,43.0,,7,conf/iccad,A1,273.0,,7,conf/dcoss,,0.244813278008
8,conf/date,5135.0,52731.0,A1,41.0,,8,journals/tecs,B1,250.0,,8,conf/mobisys,A1,0.237593984962
9,conf/dac,6526.0,186313.0,A1,40.0,,9,conf/codes,,220.0,,9,conf/emsoft,A2,0.203389830508
10,conf/ipsn,841.0,28102.0,A1,36.0,,10,journals/tvlsi,A1,210.0,,10,conf/rtas,A2,0.200589970501
11,conf/percom,1751.0,19503.0,A2,32.0,,11,journals/tpds,A1,208.0,,11,conf/cases,A2,0.183794466403
12,conf/rtss,1152.0,65287.0,A1,30.0,,12,conf/icra,A1,197.0,,12,conf/rtss,A1,0.164930555556
13,journals/rts,616.0,20049.0,B1,30.0,,13,conf/rtss,A1,190.0,,13,journals/todaes,B2,0.131125827815
14,conf/iccad,3313.0,104804.0,A1,29.0,,14,conf/vlsid,A2,186.0,,14,conf/secon,B1,0.13
15,conf/aspdac,2891.0,17518.0,,28.0,,15,journals/tc,A1,181.0,,15,journals/rts,B1,0.128246753247
16,conf/iscas,16967.0,68042.0,A1,27.0,,16,conf/ipps,A1,180.0,,16,conf/date,A1,0.119961051607
17,conf/islped,1474.0,29414.0,A1,24.0,,17,conf/islped,A1,169.0,,17,conf/mobicom,A1,0.115577889447
18,conf/ecrts,766.0,12095.0,A2,24.0,,18,conf/aspdac,,165.0,,18,conf/islped,A1,0.114654002714
19,conf/emsoft,472.0,8123.0,A2,22.0,,19,conf/mobisys,A1,158.0,,19,conf/rtcsa,B1,0.111696522655
20,conf/mass,1232.0,6808.0,B1,22.0,,20,conf/mobicom,A1,138.0,,20,conf/ecrts,A2,0.103133159269
21,conf/icpp,3433.0,53080.0,A2,22.0,,21,conf/rtas,A2,136.0,,21,conf/mass,B1,0.088474025974
22,conf/codes,837.0,11576.0,,21.0,,22,journals/tmc,,121.0,,22,conf/iccad,A1,0.0824026562028
23,conf/dcoss,482.0,3451.0,,20.0,,23,conf/icdcs,A1,119.0,,23,journals/tmc,,0.078114912847
24,conf/lcn,2743.0,19326.0,A2,19.0,,24,conf/dcoss,,118.0,,24,conf/sigcomm,A1,0.0778318276581
25,conf/iccd,2304.0,27546.0,A2,18.0,,25,journals/tosn,,117.0,,25,journals/tcad,A1,0.0749047820567
26,conf/vlsid,2573.0,16525.0,A2,18.0,,26,conf/secon,B1,117.0,,26,conf/vlsid,A2,0.0722891566265
27,conf/cases,506.0,6500.0,A2,17.0,,27,conf/iccd,A2,112.0,,27,conf/dac,A1,0.0704872816427
28,conf/glvlsi,1759.0,7169.0,,16.0,,28,conf/sigcomm,A1,112.0,,28,journals/tvlsi,A1,0.0699067909454
29,conf/rtcsa,949.0,6166.0,B1,15.0,,29,conf/mass,B1,109.0,,29,conf/huc,,0.0671989354624
30,conf/sensys,1024.0,43459.0,A1,,,30,conf/iros,A1,108.0,,30,journals/tpds,A1,0.0630685263796
31,journals/tcad,4726.0,133432.0,A1,,,31,conf/rtcsa,B1,106.0,,31,journals/dt,,0.0625420309348
32,journals/tecs,744.0,7759.0,B1,,,32,journals/vlsisp,,103.0,,32,conf/aspdac,,0.0570736769284
33,journals/tvlsi,3004.0,46874.0,A1,,,33,conf/huc,,101.0,,33,journals/vlsisp,,0.0556155507559
34,journals/tpds,3298.0,84900.0,A1,,,34,journals/todaes,B2,99.0,,34,conf/glvlsi,,0.0523024445708
35,journals/tc,6597.0,264854.0,A1,,,35,conf/lcn,A2,97.0,,35,conf/percom,A2,0.0513992004569
36,conf/ipps,7378.0,78830.0,A1,,,36,conf/emsoft,A2,96.0,,36,conf/iccd,A2,0.0486111111111
37,conf/mobisys,665.0,16129.0,A1,,,37,conf/icc,A2,96.0,,37,conf/icdcs,A1,0.0484133441823
38,conf/mobicom,1194.0,184683.0,A1,,,38,conf/cases,A2,93.0,,38,conf/infocom,A1,0.0397522684718
39,conf/rtas,678.0,14567.0,A2,,,39,journals/dt,,93.0,,39,journals/ton,A1,0.035761589404
40,journals/tmc,1549.0,38787.0,,,,40,conf/ewsn,A2,92.0,,40,conf/lcn,A2,0.0353627415239
41,conf/icdcs,2458.0,87448.0,A1,,,41,conf/globecom,A1,92.0,,41,journals/tc,A1,0.0274367136577
42,journals/tosn,394.0,6292.0,,,,42,conf/glvlsi,,92.0,,42,conf/ipps,A1,0.0243968555164
43,conf/secon,900.0,11106.0,B1,,,43,conf/percom,A2,90.0,,43,conf/icpp,A2,0.0233032333236
44,conf/sigcomm,1439.0,282065.0,A1,,,44,conf/cdc,B1,86.0,,44,conf/icra,A1,0.0122833270981
45,journals/vlsisp,1852.0,17801.0,,,,45,conf/icassp,A1,86.0,,45,conf/cdc,B1,0.00997448387845
46,conf/huc,1503.0,22520.0,,,,46,conf/iscas,A1,85.0,,46,conf/iros,A1,0.0079388415172
47,journals/todaes,755.0,9300.0,B2,,,47,journals/ton,A1,81.0,,47,conf/globecom,A1,0.00656673804425
48,journals/dt,1487.0,29710.0,,,,48,conf/icpp,A2,80.0,,48,conf/icc,A2,0.00648342000405
49,conf/ewsn,268.0,5901.0,A2,,,49,journals/rts,B1,79.0,,49,conf/iscas,A1,0.00500972475983
50,journals/ton,2265.0,135914.0,A1,,,50,conf/ecrts,A2,79.0,,50,conf/icassp,A1,0.00301489921122
