Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/sigir,A1,1895.0,,1,conf/ictir,,0.559322033898
2,conf/www,4501.0,120253.0,A1,83.0,,2,conf/cikm,A1,968.0,,2,conf/sigir,A1,0.534555712271
3,conf/icml,3294.0,290468.0,A1,69.0,,3,conf/trec,A2,811.0,,3,journals/ir,B1,0.469907407407
4,conf/nips,5684.0,404822.0,A1,66.0,,4,conf/ecir,A2,523.0,,4,conf/ecir,A2,0.459174714662
5,conf/sigmod,3706.0,337960.0,A1,61.0,,5,conf/clef,B2,502.0,,5,conf/trec,A2,0.453579418345
6,conf/wsdm,533.0,8651.0,B1,54.0,,6,conf/www,A1,474.0,,6,journals/sigir,,0.453536754508
7,conf/emnlp,1380.0,19971.0,A1,53.0,,7,journals/jasis,A1,384.0,,7,conf/iiix,,0.343612334802
8,conf/icde,4327.0,135333.0,A1,52.0,,8,journals/ipm,,358.0,,8,journals/tois,A2,0.339344262295
9,conf/sigir,3545.0,205477.0,A1,49.0,,9,journals/sigir,,327.0,,9,conf/wsdm,B1,0.333958724203
10,journals/ir,432.0,42026.0,B1,49.0,,10,conf/mm,A1,267.0,,10,conf/inex,,0.324929971989
11,conf/icwsm,797.0,7564.0,B1,48.0,,11,conf/aaai,A1,251.0,,11,conf/spire,B1,0.275563258232
12,conf/naacl,1498.0,59153.0,A1,48.0,,12,conf/jcdl,A2,243.0,,12,conf/airs,B3,0.226937269373
13,conf/ijcai,6188.0,295635.0,A1,46.0,,13,journals/tois,A2,207.0,,13,conf/cikm,A1,0.223401800138
14,conf/aaai,7555.0,234650.0,A1,37.0,,14,journals/ir,B1,203.0,,14,conf/riao,,0.185358255452
15,conf/sdm,1058.0,20754.0,A2,35.0,,15,conf/wsdm,B1,178.0,,15,conf/clef,B2,0.181423924828
16,conf/vldb,2641.0,235473.0,A1,34.0,,16,conf/ntcir,,176.0,,16,conf/ntcir,,0.177240684794
17,conf/coling,3555.0,68639.0,A1,31.0,,17,conf/kdd,A1,168.0,,17,conf/jcdl,A2,0.152160300564
18,conf/lrec,3847.0,17564.0,A2,31.0,,18,journals/tkde,A1,166.0,,18,journals/ipm,,0.136850152905
19,conf/clef,2767.0,18658.0,B2,24.0,,19,conf/acl,A1,164.0,,19,conf/ercimdl,,0.121994657168
20,conf/icmcs,7286.0,55698.0,B3,23.0,,20,conf/icdm,A1,161.0,,20,conf/www,A1,0.105309931126
21,conf/webi,1781.0,10504.0,,22.0,,21,conf/spire,B1,159.0,,21,conf/mir,,0.0895316804408
22,conf/jcdl,1597.0,13713.0,A2,21.0,,22,conf/icde,A1,156.0,,22,conf/isi,B1,0.0889348500517
23,conf/spire,577.0,5936.0,B1,17.0,,23,conf/ercimdl,,137.0,,23,conf/icwsm,B1,0.0803011292346
24,conf/trec,1788.0,55555.0,A2,16.0,,24,conf/icmcs,B3,131.0,,24,conf/mmm,B1,0.0781115879828
25,conf/mmm,1165.0,3542.0,B1,14.0,,25,conf/sigmod,A1,129.0,,25,journals/jasis,A1,0.0714285714286
26,conf/inex,357.0,6857.0,,13.0,,26,conf/airs,B3,123.0,,26,conf/sdm,A2,0.0671077504726
27,journals/ipm,2616.0,85353.0,,12.0,,27,conf/coling,A1,122.0,,27,conf/mm,A1,0.0642444658325
28,journals/sigir,721.0,31047.0,,11.0,,28,conf/ijcai,A1,119.0,,28,conf/kdd,A1,0.0585569884977
29,conf/airs,542.0,1314.0,B3,10.0,,29,conf/riao,,119.0,,29,journals/tkde,A1,0.0567909681834
30,conf/chi,10697.0,257222.0,A1,6.0,,30,conf/inex,,116.0,,30,conf/naacl,A1,0.0560747663551
31,conf/cikm,4333.0,72291.0,A1,,,31,conf/icml,A1,115.0,,31,journals/pvldb,A1,0.0553679945982
32,conf/ecir,1139.0,8436.0,A2,,,32,conf/nips,A1,95.0,,32,conf/dgo,B1,0.0538922155689
33,journals/jasis,5376.0,281507.0,A1,,,33,conf/vldb,A1,94.0,,33,conf/emnlp,A1,0.0528985507246
34,conf/mm,4156.0,84789.0,A1,,,34,conf/mmm,B1,91.0,,34,conf/icdm,A1,0.0492957746479
35,journals/tois,610.0,71840.0,A2,,,35,conf/isi,B1,86.0,,35,conf/webi,,0.0477259966311
36,conf/ntcir,993.0,1994.0,,,,36,conf/webi,,85.0,,36,conf/acl,A1,0.038661008958
37,conf/kdd,2869.0,148223.0,A1,,,37,conf/naacl,A1,84.0,,37,journals/tmm,A1,0.0377581120944
