Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,journals/mansci,B2,844.0,,1,journals/msom,,0.426701570681
2,journals/orgsci,621.0,19294.0,,68.0,,2,journals/ior,A1,311.0,,2,journals/mansci,B2,0.401904761905
3,journals/interfaces,714.0,4506.0,B2,63.0,,3,conf/icis,,221.0,,3,conf/ifip8-3,,0.395918367347
4,journals/mansci,2100.0,125312.0,B2,62.0,,4,journals/msom,,163.0,,4,journals/ior,A1,0.210135135135
5,journals/ior,1480.0,54189.0,A1,61.0,,5,conf/wsc,A1,138.0,,5,journals/isr,,0.17965653897
6,conf/isca,1821.0,135083.0,A1,53.0,,6,journals/eor,A1,137.0,,6,journals/mktsci,,0.170825335893
7,journals/networks,1952.0,113935.0,B1,52.0,,7,journals/isr,,136.0,,7,journals/jds,,0.163141993958
8,conf/ifip8-3,245.0,254.0,,50.0,,8,conf/hicss,A1,105.0,,8,journals/da,,0.145038167939
9,journals/dss,2302.0,56927.0,A1,50.0,,9,conf/ifip8-3,,97.0,,9,conf/weis,B1,0.131707317073
10,journals/msom,382.0,7891.0,,49.0,,10,journals/mktsci,,89.0,,10,conf/context,,0.0652818991098
11,journals/jet,1697.0,99914.0,,45.0,,11,journals/questa,,80.0,,11,conf/alt,B1,0.063829787234
12,journals/mktsci,521.0,15994.0,,45.0,,12,conf/ecis,B1,72.0,,12,conf/icis,,0.0602343962933
13,journals/isr,757.0,75607.0,,44.0,,13,journals/dss,A1,65.0,,13,journals/questa,,0.0551724137931
14,journals/geb,1630.0,74115.0,,43.0,,14,journals/orl,B1,57.0,,14,journals/informs,A2,0.0510295434199
15,conf/micro,1409.0,59172.0,A1,40.0,,15,journals/informs,A2,57.0,,15,journals/interfaces,B2,0.047619047619
16,journals/tcs,10811.0,391021.0,A1,38.0,,16,journals/jds,,54.0,,16,journals/misq,,0.0456062291435
17,conf/hicss,11101.0,101629.0,A1,38.0,,17,journals/jmis,A1,50.0,,17,journals/itm,B1,0.0453172205438
18,journals/transci,707.0,31772.0,B2,31.0,,18,conf/alt,B1,48.0,,18,journals/jmis,A1,0.0425531914894
19,conf/colt,1098.0,172142.0,A2,27.0,,19,journals/cacm,A1,43.0,,19,journals/tomacs,,0.0397350993377
20,conf/icis,3669.0,31539.0,,25.0,,20,journals/misq,,41.0,,20,journals/orgsci,,0.0354267310789
21,conf/ecis,3839.0,17576.0,B1,23.0,,21,journals/da,,38.0,,21,journals/mor,A2,0.0314547837484
22,conf/amcis,6236.0,17319.0,B1,22.0,,22,journals/interfaces,B2,34.0,,22,journals/orl,B1,0.0293059125964
23,journals/orl,1945.0,29366.0,B1,21.0,,23,journals/tcs,A1,34.0,,23,journals/dss,A1,0.0282363162467
24,journals/da,262.0,1889.0,,17.0,,24,journals/cor,,30.0,,24,conf/ipco,B1,0.0236486486486
25,conf/pacis,2616.0,5926.0,,15.0,,25,conf/weis,B1,27.0,,25,journals/transci,B2,0.022630834512
26,conf/ipco,592.0,23226.0,B1,15.0,,26,conf/isca,A1,27.0,,26,conf/colt,A2,0.0218579234973
27,conf/alt,752.0,112195.0,B1,13.0,,27,journals/mp,A1,27.0,,27,conf/ACMicec,,0.0202492211838
28,conf/ACMicec,642.0,4762.0,,7.0,,28,conf/pacis,,26.0,,28,conf/sigecom,,0.0199501246883
29,conf/context,337.0,2300.0,,7.0,,29,journals/iandc,A2,25.0,,29,conf/ecis,B1,0.0187548840844
30,journals/jds,331.0,1690.0,,5.0,,30,journals/anor,A2,24.0,,30,conf/wsc,A1,0.0165686156802
31,conf/wsc,8329.0,100577.0,A1,,,31,conf/colt,A2,24.0,,31,conf/isca,A1,0.0148270181219
32,journals/eor,9513.0,255722.0,A1,,,32,journals/jcss,A2,24.0,,32,journals/eor,A1,0.0144013455272
33,journals/questa,1450.0,28368.0,,,,33,journals/mor,A2,24.0,,33,conf/micro,A1,0.0113555713272
34,journals/informs,1117.0,51739.0,A2,,,34,journals/networks,B1,22.0,,34,journals/networks,B1,0.0112704918033
35,journals/jmis,1175.0,82716.0,A1,,,35,conf/context,,22.0,,35,journals/geb,,0.0110429447853
36,journals/cacm,10519.0,922594.0,A1,,,36,journals/orgsci,,22.0,,36,journals/anor,A2,0.010165184244
37,journals/misq,899.0,126924.0,,,,37,journals/computer,,20.0,,37,conf/pacis,,0.00993883792049
38,journals/cor,4634.0,111923.0,,,,38,journals/geb,,18.0,,38,conf/hicss,A1,0.00945860733267
39,conf/weis,205.0,2382.0,B1,,,39,journals/tomacs,,18.0,,39,journals/jcss,A2,0.00907715582451
40,journals/mp,3446.0,193076.0,A1,,,40,journals/tc,A1,18.0,,40,journals/mp,A1,0.007835171213
41,journals/iandc,3723.0,121979.0,A2,,,41,journals/tsmc,,17.0,,41,journals/jet,,0.00707130229817
42,journals/anor,2361.0,41689.0,A2,,,42,journals/tkde,A1,16.0,,42,journals/iandc,A2,0.00671501477303
43,journals/jcss,2644.0,98794.0,A2,,,43,conf/sigecom,,16.0,,43,journals/cor,,0.00647388864912
44,journals/mor,763.0,18460.0,A2,,,44,journals/transci,B2,16.0,,44,journals/tkde,A1,0.00547382825864
45,journals/tomacs,453.0,14323.0,,,,45,conf/micro,A1,16.0,,45,journals/computer,,0.00419639110365
46,journals/tc,6597.0,264854.0,A1,,,46,conf/amcis,B1,15.0,,46,journals/cacm,A1,0.00408784104953
47,journals/tsmc,7525.0,282768.0,,,,47,journals/itm,B1,15.0,,47,journals/tcs,A1,0.00314494496346
48,journals/tkde,2923.0,124112.0,A1,,,48,conf/ipco,B1,14.0,,48,journals/tc,A1,0.00272851296044
49,conf/sigecom,802.0,34210.0,,,,49,conf/ACMicec,,13.0,,49,conf/amcis,B1,0.00240538806928
50,journals/itm,331.0,6685.0,B1,,,50,journals/jet,,12.0,,50,journals/tsmc,,0.00225913621262
