Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/cvpr,6874.0,379400.0,A1,118.0,,1,conf/mm,A1,1879.0,,1,journals/tomccap,,0.51775147929
2,journals/pr,6744.0,201239.0,A1,118.0,,2,conf/icmcs,B3,1524.0,,2,conf/mm,A1,0.452117420597
3,journals/sigpro,4742.0,50775.0,A1,84.0,,3,conf/icip,A1,1191.0,,3,conf/mmsys,B3,0.398305084746
4,conf/www,4501.0,120253.0,A1,83.0,,4,conf/icassp,A1,632.0,,4,conf/mir,,0.347107438017
5,conf/infocom,6943.0,350398.0,A1,76.0,,5,conf/cvpr,A1,581.0,,5,journals/tmm,A1,0.331563421829
6,conf/eccv,3329.0,159515.0,A1,59.0,,6,journals/tmm,A1,562.0,,6,conf/mmm,B1,0.296995708155
7,conf/icde,4327.0,135333.0,A1,52.0,,7,conf/icpr,A1,449.0,,7,conf/icimcs,,0.270557029178
8,conf/sigir,3545.0,205477.0,A1,49.0,,8,journals/tcsv,A1,438.0,,8,journals/ieeemm,A2,0.244590780809
9,conf/icassp,28525.0,238265.0,A1,47.0,,9,journals/tip,A1,387.0,,9,journals/mms,A2,0.230971128609
10,conf/globecom,14010.0,105540.0,A1,45.0,,10,conf/mmm,B1,346.0,,10,conf/icmcs,B3,0.209168267911
11,journals/ijon,7349.0,79598.0,A1,45.0,,11,conf/pcm,,337.0,,11,conf/pcm,,0.208024691358
12,journals/prl,5475.0,100320.0,A1,44.0,,12,conf/iscas,A1,288.0,,12,journals/tcsv,A1,0.145273631841
13,conf/icc,14807.0,125393.0,A2,44.0,,13,journals/pami,A1,267.0,,13,conf/mmsp,B2,0.128417037508
14,conf/aaai,7555.0,234650.0,A1,37.0,,14,journals/ieeemm,A2,260.0,,14,conf/ism,B2,0.118257261411
15,conf/icip,17283.0,156642.0,A1,35.0,,15,conf/mir,,252.0,,15,conf/vcip,B1,0.115816767502
16,conf/ismir,1402.0,16812.0,A1,31.0,,16,journals/mta,B2,246.0,,16,journals/mta,B2,0.110017889088
17,conf/icpr,8972.0,82067.0,A1,29.0,,17,conf/iccv,A1,213.0,,17,journals/jvcir,B1,0.107047279215
18,journals/mta,2236.0,17302.0,B2,28.0,,18,journals/pr,A1,202.0,,18,conf/fgr,,0.0928853754941
19,conf/iscas,16967.0,68042.0,A1,27.0,,19,conf/mmsp,B2,202.0,,19,conf/cvpr,A1,0.0845213849287
20,journals/spic,1521.0,25331.0,,25.0,,20,conf/globecom,A1,191.0,,20,journals/spic,,0.0795529257068
21,conf/accv,1795.0,12712.0,,25.0,,21,conf/eccv,A1,176.0,,21,journals/tip,A1,0.0757042253521
