Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/acl,A1,1598.0,,1,journals/tacl,,0.683168316832
2,journals/bmcbi,7074.0,136587.0,A1,73.0,,2,conf/emnlp,A1,872.0,,2,conf/emnlp,A1,0.631884057971
3,journals/ml,1309.0,184440.0,A1,73.0,,3,conf/coling,A1,645.0,,3,journals/coling,A1,0.396766169154
4,conf/icml,3294.0,290468.0,A1,69.0,,4,conf/naacl,A1,561.0,,4,conf/conll,,0.392092257002
5,conf/nips,5684.0,404822.0,A1,66.0,,5,conf/interspeech,A1,465.0,,5,conf/acl,A1,0.376709099481
6,conf/wsdm,533.0,8651.0,B1,54.0,,6,conf/lrec,A2,343.0,,6,conf/naacl,A1,0.374499332443
7,conf/emnlp,1380.0,19971.0,A1,53.0,,7,conf/aaai,A1,331.0,,7,conf/iwslt,,0.361842105263
8,conf/sigir,3545.0,205477.0,A1,49.0,,8,journals/coling,A1,319.0,,8,conf/ijcnlp,,0.300366300366
9,conf/icwsm,797.0,7564.0,B1,48.0,,9,conf/icassp,A1,280.0,,9,conf/inlg,,0.266666666667
10,conf/naacl,1498.0,59153.0,A1,48.0,,10,conf/ijcnlp,,246.0,,10,journals/talip,,0.263829787234
11,conf/icassp,28525.0,238265.0,A1,47.0,,11,conf/conll,,238.0,,11,journals/nle,,0.225672877847
12,conf/ijcai,6188.0,295635.0,A1,46.0,,12,conf/ijcai,A1,226.0,,12,conf/eacl,A2,0.216110019646
13,journals/ai,2580.0,376792.0,A1,46.0,,13,conf/eacl,A2,220.0,,13,conf/coling,A1,0.181434599156
14,conf/interspeech,17729.0,130378.0,A1,39.0,,14,conf/icml,A1,172.0,,14,journals/mt,B1,0.156989247312
15,conf/aaai,7555.0,234650.0,A1,37.0,,15,conf/nips,A1,170.0,,15,conf/ranlp,B2,0.107913669065
16,conf/uai,1965.0,147942.0,A1,32.0,,16,conf/cikm,A1,167.0,,16,conf/cicling,B1,0.107762557078
17,conf/lrec,3847.0,17564.0,A2,31.0,,17,conf/sigir,A1,148.0,,17,conf/lrec,A2,0.0891603847154
18,conf/coling,3555.0,68639.0,A1,31.0,,18,conf/cicling,B1,118.0,,18,journals/csl,,0.0849478390462
19,conf/icdar,2762.0,27617.0,A2,31.0,,19,conf/www,A1,114.0,,19,conf/wsdm,B1,0.0806754221388
20,journals/lre,903.0,17032.0,B3,31.0,,20,conf/iwslt,,110.0,,20,conf/ntcir,,0.0805639476334
21,conf/eacl,1018.0,17481.0,A2,30.0,,21,journals/nle,,109.0,,21,conf/airs,B3,0.0774907749077
