Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/computer,4766.0,261329.0,,76.0,,1,journals/sigops,B1,474.0,,1,conf/sosp,A1,0.628404669261
2,conf/infocom,6943.0,350398.0,A1,76.0,,2,conf/sosp,A1,323.0,,2,conf/hotos,A2,0.509589041096
3,conf/sigmod,3706.0,337960.0,A1,61.0,,3,conf/usenix,A1,257.0,,3,conf/osdi,A1,0.481481481481
4,conf/nsdi,481.0,17531.0,A1,54.0,,4,journals/cacm,A1,224.0,,4,conf/nsdi,A1,0.388773388773
5,conf/isca,1821.0,135083.0,A1,53.0,,5,conf/osdi,A1,208.0,,5,journals/tocs,A2,0.385882352941
6,conf/icde,4327.0,135333.0,A1,52.0,,6,conf/sigcomm,A1,197.0,,6,journals/sigops,B1,0.376788553259
7,conf/popl,1511.0,171888.0,A1,45.0,,7,conf/icdcs,A1,192.0,,7,conf/eurosys,A2,0.366242038217
8,journals/comcom,4829.0,48151.0,A2,42.0,,8,conf/nsdi,A1,187.0,,8,conf/fast,A1,0.293785310734
9,conf/sigmetrics,1490.0,70702.0,A1,39.0,,9,conf/hotos,A2,186.0,,9,conf/hotnets,B3,0.262886597938
10,conf/fast,354.0,10728.0,A1,37.0,,10,journals/tocs,A2,164.0,,10,conf/usenix,A1,0.220790378007
11,conf/usenix,1164.0,69836.0,A1,35.0,,11,conf/podc,A1,159.0,,11,conf/asplos,A1,0.157216494845
12,conf/ppopp,790.0,28302.0,A2,35.0,,12,conf/asplos,A1,122.0,,12,conf/sigcomm,A1,0.136900625434
13,conf/sp,989.0,93159.0,B1,27.0,,13,journals/tc,A1,120.0,,13,conf/middleware,A2,0.100222717149
14,conf/podc,1634.0,85678.0,A1,27.0,,14,conf/eurosys,A2,115.0,,14,conf/imc,A1,0.0980769230769
15,conf/icpp,3433.0,53080.0,A2,22.0,,15,conf/fast,A1,104.0,,15,conf/wdag,,0.0979325353645
16,conf/srds,1013.0,18782.0,A2,17.0,,16,conf/infocom,A1,104.0,,16,conf/podc,A1,0.0973072215422
17,conf/osdi,432.0,53601.0,A1,16.0,,17,conf/sigmetrics,A1,97.0,,17,conf/srds,A2,0.0829220138203
18,conf/imc,520.0,24389.0,A1,13.0,,18,journals/tse,A1,93.0,,18,journals/ccr,A1,0.0816326530612
19,conf/dsn,1246.0,21786.0,A1,12.0,,19,journals/tpds,A1,91.0,,19,conf/mobisys,A1,0.0812030075188
20,journals/sigops,1258.0,30243.0,B1,,,20,conf/middleware,A2,90.0,,20,conf/icdcs,A1,0.0781122864117
21,conf/sosp,514.0,137495.0,A1,,,21,conf/wdag,,90.0,,21,conf/dsn,A1,0.0658105939005
22,journals/cacm,10519.0,922594.0,A1,,,22,conf/sigmod,A1,87.0,,22,conf/sigmetrics,A1,0.0651006711409
23,conf/sigcomm,1439.0,282065.0,A1,,,23,conf/srds,A2,84.0,,23,conf/ppopp,A2,0.0632911392405
24,conf/icdcs,2458.0,87448.0,A1,,,24,conf/isca,A1,84.0,,24,conf/sp,B1,0.0576339737108
25,conf/hotos,365.0,13558.0,A2,,,25,conf/dsn,A1,82.0,,25,conf/uss,,0.0540265035678
26,journals/tocs,425.0,77443.0,A2,,,26,journals/ccr,A1,80.0,,26,conf/hpdc,A1,0.0473684210526
27,conf/asplos,776.0,64697.0,A1,,,27,conf/ipps,A1,80.0,,27,conf/isca,A1,0.0461285008237
28,journals/tc,6597.0,264854.0,A1,,,28,journals/spe,A2,71.0,,28,conf/mobicom,A1,0.0443886097152
29,conf/eurosys,314.0,8649.0,A2,,,29,conf/ccs,A1,70.0,,29,journals/csur,A1,0.0362158167036
30,journals/tse,3310.0,298968.0,A1,,,30,journals/computer,,67.0,,30,conf/popl,A1,0.0330906684315
31,journals/tpds,3298.0,84900.0,A1,,,31,journals/ton,A1,62.0,,31,conf/ccs,A1,0.030303030303
32,conf/middleware,898.0,15465.0,A2,,,32,conf/icpp,A2,60.0,,32,journals/tse,A1,0.0280966767372
33,conf/wdag,919.0,21180.0,,,,33,journals/comcom,A2,59.0,,33,journals/tpds,A1,0.0275924802911
34,journals/ccr,980.0,62513.0,A1,,,34,journals/jss,,59.0,,34,journals/ton,A1,0.0273730684327
35,conf/ipps,7378.0,78830.0,A1,,,35,journals/ieicet,,59.0,,35,journals/spe,A2,0.0246442207567
