Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/eswa,8936.0,109580.0,A1,89.0,,1,journals/eor,A1,1972.0,,1,journals/eor,A1,0.207295280143
2,journals/automatica,7338.0,229957.0,A1,86.0,,2,journals/cor,,704.0,,2,journals/scheduling,B1,0.193359375
3,journals/or,324.0,1008.0,,81.0,,3,journals/anor,A2,306.0,,3,journals/heuristics,A2,0.182994454713
4,journals/isci,7032.0,124049.0,A1,70.0,,4,journals/eswa,A1,202.0,,4,journals/4or,,0.181818181818
5,journals/mansci,2100.0,125312.0,B2,62.0,,5,journals/dam,A2,188.0,,5,conf/or,B4,0.175525339926
6,conf/or,809.0,2232.0,B4,61.0,,6,journals/orl,B1,143.0,,6,journals/cor,,0.151920586966
7,journals/ior,1480.0,54189.0,A1,61.0,,7,conf/or,B4,142.0,,7,journals/transci,B2,0.151343705799
8,conf/smc,9388.0,28167.0,B2,58.0,,8,journals/jors,,138.0,,8,journals/cejor,,0.131805157593
9,journals/networks,1952.0,113935.0,B1,52.0,,9,journals/networks,B1,135.0,,9,journals/anor,A2,0.129606099111
10,journals/dss,2302.0,56927.0,A1,50.0,,10,journals/informs,A2,129.0,,10,journals/jors,,0.119170984456
11,journals/fss,3354.0,58453.0,A1,45.0,,11,conf/wsc,A1,127.0,,11,journals/informs,A2,0.115487914056
12,journals/pe,1644.0,28533.0,A2,39.0,,12,journals/ress,,125.0,,12,journals/or,,0.114197530864
13,conf/hicss,11101.0,101629.0,A1,38.0,,13,journals/candie,,118.0,,13,journals/disopt,B1,0.0901856763926
14,journals/tcs,10811.0,391021.0,A1,38.0,,14,journals/mmor,B2,107.0,,14,journals/ijitdm,,0.089905362776
15,journals/dam,5729.0,70961.0,A2,31.0,,15,journals/transci,B2,107.0,,15,conf/bife,,0.0829875518672
16,journals/transci,707.0,31772.0,B2,31.0,,16,journals/ior,A1,103.0,,16,journals/rairo,,0.0792540792541
17,conf/iccS,4457.0,19295.0,A2,28.0,,17,journals/heuristics,A2,99.0,,17,journals/mmor,B2,0.0751932536894
18,journals/heuristics,541.0,19210.0,A2,22.0,,18,journals/scheduling,B1,99.0,,18,journals/orl,B1,0.0735218508997
19,journals/ol,787.0,6148.0,,22.0,,19,journals/mp,A1,95.0,,19,journals/ior,A1,0.0695945945946
20,journals/orl,1945.0,29366.0,B1,21.0,,20,journals/dss,A1,94.0,,20,journals/networks,B1,0.0691598360656
21,journals/endm,2503.0,11755.0,B3,14.0,,21,journals/jgo,A2,92.0,,21,journals/igtr,,0.0592592592593
22,conf/bife,482.0,188.0,,9.0,,22,journals/amc,A2,73.0,,22,journals/jgo,A2,0.0587109125718
23,journals/rairo,429.0,1741.0,,9.0,,23,journals/tsmc,,69.0,,23,journals/candie,,0.0527020991514
24,journals/eor,9513.0,255722.0,A1,,,24,conf/evoW,,69.0,,24,conf/rsctc,,0.051930758988
25,journals/cor,4634.0,111923.0,,,,25,journals/ipl,A2,67.0,,25,journals/ress,,0.0498802873105
26,journals/anor,2361.0,41689.0,A2,,,26,journals/4or,,64.0,,26,journals/ol,,0.0470139771283
27,journals/jors,1158.0,9380.0,,,,27,journals/tr,A2,58.0,,27,journals/tr,A2,0.0458135860979
28,journals/informs,1117.0,51739.0,A2,,,28,journals/ijitdm,,57.0,,28,conf/evoW,,0.0410469958358
29,conf/wsc,8329.0,100577.0,A1,,,29,journals/ijsysc,A2,57.0,,29,journals/dss,A1,0.0408340573414
30,journals/ress,2506.0,38745.0,,,,30,journals/fss,A1,56.0,,30,journals/coap,,0.0356454720617
31,journals/candie,2239.0,25290.0,,,,31,journals/isci,A1,54.0,,31,journals/dam,A2,0.0328155000873
32,journals/mmor,1423.0,14871.0,B2,,,32,conf/gecco,A1,50.0,,32,journals/mp,A1,0.0275681950087
33,journals/scheduling,512.0,9224.0,B1,,,33,conf/smc,B2,48.0,,33,journals/pe,A2,0.0249391727494
34,journals/mp,3446.0,193076.0,A1,,,34,conf/hicss,A1,47.0,,34,journals/ijsysc,A2,0.0227908836465
35,journals/jgo,1567.0,23987.0,A2,,,35,journals/endm,B3,46.0,,35,journals/eswa,A1,0.0226051924799
36,journals/amc,13172.0,93243.0,A2,,,36,journals/cejor,,46.0,,36,journals/mansci,B2,0.0190476190476
37,journals/tsmc,7525.0,282768.0,,,,37,journals/pe,A2,41.0,,37,journals/endm,B3,0.0183779464642
38,conf/evoW,1681.0,12085.0,,,,38,journals/mansci,B2,40.0,,38,journals/fss,A1,0.0166964818128
39,journals/ipl,6951.0,107976.0,A2,,,39,conf/bife,,40.0,,39,conf/wsc,A1,0.015247928923
40,journals/4or,352.0,3152.0,,,,40,conf/rsctc,,39.0,,40,journals/asc,A2,0.0112084063047
41,journals/tr,1266.0,18147.0,A2,,,41,journals/automatica,A1,38.0,,41,journals/ipl,A2,0.00963890087757
42,journals/ijitdm,634.0,6377.0,,,,42,journals/ol,,37.0,,42,journals/tsmc,,0.00916943521595
43,journals/ijsysc,2501.0,24473.0,A2,,,43,journals/tcs,A1,37.0,,43,conf/gecco,A1,0.00870170553428
44,conf/gecco,5746.0,92697.0,A1,,,44,journals/or,,37.0,,44,journals/isci,A1,0.00767918088737
45,journals/cejor,349.0,2307.0,,,,45,journals/coap,,37.0,,45,conf/iccS,A2,0.00740408346421
46,conf/rsctc,751.0,7784.0,,,,46,journals/rairo,,34.0,,46,journals/amc,A2,0.00554205891285
