Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/isca,1821.0,135083.0,A1,53.0,,1,conf/pldi,A1,780.0,,1,conf/pldi,A1,0.598618572525
2,conf/pldi,1303.0,110902.0,A1,46.0,,2,conf/popl,A1,514.0,,2,journals/toplas,A2,0.402819738167
3,conf/popl,1511.0,171888.0,A1,45.0,,3,journals/toplas,A2,400.0,,3,conf/iwmm,,0.363636363636
4,conf/micro,1409.0,59172.0,A1,40.0,,4,conf/oopsla,A1,393.0,,4,conf/popl,A1,0.340172071476
5,conf/cav,1290.0,101412.0,A1,38.0,,5,conf/ipps,A1,242.0,,5,conf/lcpc,B4,0.3356545961
6,journals/tcs,10811.0,391021.0,A1,38.0,,6,conf/lcpc,B4,241.0,,6,conf/cgo,A2,0.314363143631
7,conf/ppopp,790.0,28302.0,A2,35.0,,7,conf/cav,A1,201.0,,7,conf/cc,A2,0.31013916501
8,conf/oopsla,2593.0,78458.0,A1,34.0,,8,conf/ppopp,A2,191.0,,8,conf/lctrts,,0.275779376499
9,conf/icalp,3119.0,122492.0,A1,33.0,,9,conf/sas,A2,185.0,,9,conf/sas,A2,0.275707898659
10,conf/cc,503.0,12201.0,A2,32.0,,10,conf/icse,A1,172.0,,10,conf/ppopp,A2,0.241772151899
11,conf/IEEEpact,810.0,14843.0,,32.0,,11,conf/asplos,A1,167.0,,11,conf/esop,A2,0.226608187135
12,conf/tacas,874.0,35833.0,A1,31.0,,12,conf/icfp,A2,165.0,,12,conf/icfp,A2,0.224795640327
13,conf/ics,1404.0,42901.0,A2,30.0,,13,conf/cc,A2,156.0,,13,conf/asplos,A1,0.215206185567
14,conf/spaa,1129.0,41290.0,A2,29.0,,14,conf/esop,A2,155.0,,14,conf/vmcai,A2,0.206106870229
15,conf/lics,1281.0,87428.0,A2,29.0,,15,conf/ics,A2,146.0,,15,journals/jfp,B1,0.194189602446
16,conf/ecoop,870.0,41520.0,A1,28.0,,16,conf/IEEEpact,,145.0,,16,conf/aplas,B1,0.18932038835
17,conf/icfp,734.0,22454.0,A2,28.0,,17,conf/ecoop,A1,135.0,,17,conf/IEEEpact,,0.179012345679
18,conf/podc,1634.0,85678.0,A1,27.0,,18,conf/sc,A1,134.0,,18,conf/pepm,B1,0.175398633257
19,journals/scp,1654.0,55242.0,B1,26.0,,19,conf/micro,A1,132.0,,19,conf/issta,A2,0.165487977369
20,conf/esop,684.0,27585.0,A2,25.0,,20,journals/entcs,B1,129.0,,20,conf/cav,A1,0.155813953488
21,conf/icpp,3433.0,53080.0,A2,22.0,,21,conf/isca,A1,129.0,,21,conf/ecoop,A1,0.155172413793
22,conf/concur,1040.0,46863.0,A2,21.0,,22,journals/spe,A2,128.0,,22,conf/oopsla,A1,0.151561897416
23,conf/vmcai,393.0,8789.0,A2,21.0,,23,conf/sigsoft,,127.0,,23,conf/tacas,A1,0.113272311213
24,conf/sas,671.0,18017.0,A2,19.0,,24,journals/jfp,B1,127.0,,24,conf/sigsoft,,0.108454312553
25,journals/jfp,654.0,17287.0,B1,16.0,,25,journals/tcs,A1,126.0,,25,conf/ics,A2,0.103988603989
26,conf/sc,3087.0,61642.0,A1,13.0,,26,conf/iclp,B1,122.0,,26,conf/micro,A1,0.0936834634493
27,journals/toplas,993.0,104270.0,A2,,,27,journals/cacm,A1,122.0,,27,conf/concur,A2,0.0875
28,conf/ipps,7378.0,78830.0,A1,,,28,conf/icpp,A2,119.0,,28,conf/lics,A2,0.0788446526151
29,conf/lcpc,718.0,21610.0,B4,,,29,conf/issta,A2,117.0,,29,journals/sigplan,,0.0744535519126
30,conf/icse,5428.0,145511.0,A1,,,30,conf/cgo,A2,116.0,,30,conf/isca,A1,0.0708401976936
31,conf/asplos,776.0,64697.0,A1,,,31,conf/lctrts,,115.0,,31,conf/spaa,A2,0.0699734278122
32,journals/entcs,5431.0,62078.0,B1,,,32,conf/compgeom,A2,111.0,,32,conf/iclp,B1,0.0680803571429
33,journals/spe,2881.0,77791.0,A2,,,33,journals/sigplan,,109.0,,33,conf/compgeom,A2,0.0677655677656
34,conf/sigsoft,1171.0,92271.0,,,,34,journals/tse,A1,107.0,,34,journals/scp,B1,0.0513905683192
35,conf/iclp,1792.0,61727.0,B1,,,35,conf/iwmm,,104.0,,35,conf/podc,A1,0.0489596083231
36,journals/cacm,10519.0,922594.0,A1,,,36,conf/lics,A2,101.0,,36,journals/spe,A2,0.0444290177022
37,conf/issta,707.0,18516.0,A2,,,37,conf/tacas,A1,99.0,,37,conf/sc,A1,0.0434078393262
38,conf/cgo,369.0,5651.0,A2,,,38,conf/concur,A2,91.0,,38,journals/dcg,B1,0.0401808136615
39,conf/lctrts,417.0,7495.0,,,,39,journals/scp,B1,85.0,,39,conf/icpp,A2,0.0346635595689
40,conf/compgeom,1638.0,89590.0,A2,,,40,conf/europar,,84.0,,40,conf/ipps,A1,0.0328002168609
41,journals/sigplan,1464.0,13345.0,,,,41,journals/jpdc,A2,83.0,,41,journals/tse,A1,0.0323262839879
42,journals/tse,3310.0,298968.0,A1,,,42,conf/vmcai,A2,81.0,,42,conf/icse,A1,0.0316875460575
43,conf/iwmm,286.0,8626.0,,,,43,conf/podc,A1,80.0,,43,journals/jpdc,A2,0.0266367137356
44,conf/europar,3254.0,24096.0,,,,44,journals/dcg,B1,80.0,,44,conf/europar,,0.0258143822987
45,journals/jpdc,3116.0,57395.0,A2,,,45,journals/tpds,A1,79.0,,45,conf/icalp,A1,0.0243667842257
46,journals/dcg,1991.0,32943.0,B1,,,46,conf/spaa,A2,79.0,,46,journals/tpds,A1,0.0239539114615
47,journals/tpds,3298.0,84900.0,A1,,,47,conf/aplas,B1,78.0,,47,journals/entcs,B1,0.0237525317621
48,conf/aplas,412.0,2981.0,B1,,,48,conf/pepm,B1,77.0,,48,conf/dagstuhl,,0.0173239115569
49,conf/pepm,439.0,9691.0,B1,,,49,conf/icalp,A1,76.0,,49,journals/tcs,A1,0.0116547960411
50,conf/dagstuhl,4387.0,49198.0,,,,50,conf/dagstuhl,,76.0,,50,journals/cacm,A1,0.0115980606522
