Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,journals/mansci,2100.0,125312.0,B2,62.0,,1,conf/wsc,A1,3399.0,,1,conf/wsc,A1,0.408092207948
2,journals/simulation,1374.0,14076.0,B3,61.0,,2,journals/simulation,B3,205.0,,2,journals/tomacs,,0.359823399558
3,journals/ior,1480.0,54189.0,A1,61.0,,3,conf/pads,B1,182.0,,3,conf/pads,B1,0.351351351351
4,journals/fgcs,2265.0,38059.0,A2,48.0,,4,journals/tomacs,,163.0,,4,journals/jos,,0.298701298701
5,conf/sigmetrics,1490.0,70702.0,A1,39.0,,5,journals/eor,A1,161.0,,5,journals/simulation,B3,0.149199417758
6,conf/hicss,11101.0,101629.0,A1,38.0,,6,conf/springsim,,157.0,,6,conf/dsrt,,0.145695364238
7,journals/tcs,10811.0,391021.0,A1,38.0,,7,journals/informs,A2,112.0,,7,conf/springsim,,0.13282571912
8,journals/transci,707.0,31772.0,B2,31.0,,8,journals/simpra,,107.0,,8,conf/scsc,,0.10736196319
9,conf/iccS,4457.0,19295.0,A2,28.0,,9,journals/ior,A1,77.0,,9,journals/informs,A2,0.100268576544
10,conf/colt,1098.0,172142.0,A2,27.0,,10,journals/cor,,76.0,,10,journals/simpra,,0.0716677829873
11,conf/aina,4240.0,20763.0,A2,25.0,,11,conf/dsrt,,66.0,,11,journals/deds,,0.0668151447661
12,journals/heuristics,541.0,19210.0,A2,22.0,,12,conf/hicss,A1,57.0,,12,conf/alt,B1,0.063829787234
13,journals/orl,1945.0,29366.0,B1,21.0,,13,journals/anor,A2,51.0,,13,conf/simutools,,0.0542797494781
14,conf/mascots,1321.0,11638.0,A2,20.0,,14,conf/alt,B1,48.0,,14,journals/ior,A1,0.052027027027
15,conf/case,1561.0,2464.0,,14.0,,15,journals/jos,,46.0,,15,conf/ecbs,B1,0.0493685419059
16,journals/deds,449.0,9974.0,,13.0,,16,conf/ecbs,B1,43.0,,16,journals/ejis,,0.0401662049861
17,conf/alt,752.0,112195.0,B1,13.0,,17,journals/tsmc,,42.0,,17,journals/heuristics,A2,0.0388170055453
18,conf/ecbs,871.0,5337.0,B1,12.0,,18,journals/jpdc,A2,42.0,,18,conf/mascots,A2,0.0302800908403
19,conf/dsrt,453.0,2221.0,,11.0,,19,conf/mascots,A2,40.0,,19,journals/transci,B2,0.026874115983
20,conf/eurocast,1008.0,3622.0,,9.0,,20,journals/mansci,B2,39.0,,20,journals/tase,,0.025462962963
21,conf/scsc,326.0,475.0,,8.0,,21,journals/orl,B1,39.0,,21,journals/jors,,0.0250431778929
22,conf/wsc,8329.0,100577.0,A1,,,22,conf/case,,38.0,,22,conf/case,,0.0243433696348
23,conf/pads,518.0,6177.0,B1,,,23,journals/cacm,A1,38.0,,23,journals/questa,,0.0234482758621
24,journals/tomacs,453.0,14323.0,,,,24,conf/scsc,,35.0,,24,journals/anor,A2,0.0216010165184
25,journals/eor,9513.0,255722.0,A1,,,25,journals/tcs,A1,35.0,,25,conf/colt,A2,0.0209471766849
26,conf/springsim,1182.0,1270.0,,,,26,journals/questa,,34.0,,26,journals/orl,B1,0.0200514138817
27,journals/informs,1117.0,51739.0,A2,,,27,conf/ipps,A1,34.0,,27,journals/mansci,B2,0.0185714285714
