Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/infocom,6943.0,350398.0,A1,76.0,,1,conf/stoc,A1,1712.0,,1,journals/toc,,0.656804733728
2,journals/toc,169.0,1011.0,,51.0,,2,conf/focs,A1,1450.0,,2,conf/stoc,A1,0.567639257294
3,conf/eurocrypt,1310.0,147911.0,A1,48.0,,3,journals/siamcomp,A1,1324.0,,3,conf/innovations,,0.522727272727
4,conf/soda,2924.0,204116.0,A1,43.0,,4,journals/eccc,,1117.0,,4,conf/focs,A1,0.486903962391
5,journals/siamcomp,3124.0,269865.0,A1,39.0,,5,conf/soda,A1,1076.0,,5,conf/approx,B1,0.440381558029
6,journals/tcs,10811.0,391021.0,A1,38.0,,6,conf/icalp,A1,631.0,,6,journals/eccc,,0.434799532892
7,journals/jacm,2719.0,368295.0,A1,35.0,,7,journals/jacm,A1,573.0,,7,journals/siamcomp,A1,0.423815620999
8,conf/icalp,3119.0,122492.0,A1,33.0,,8,journals/iacr,,557.0,,8,journals/cc,B2,0.39641943734
9,journals/cc,391.0,5597.0,B2,32.0,,9,journals/jcss,A2,548.0,,9,conf/coco,,0.394543546695
10,journals/dam,5729.0,70961.0,A2,31.0,,10,journals/tcs,A1,546.0,,10,conf/soda,A1,0.367989056088
11,conf/stacs,1721.0,55729.0,A2,29.0,,11,journals/algorithmica,,424.0,,11,conf/tcc,A2,0.31724137931
12,journals/dm,11762.0,98470.0,A2,29.0,,12,journals/ipl,A2,421.0,,12,journals/talg,B1,0.289760348584
13,journals/algorithmica,2186.0,53176.0,,29.0,,13,conf/compgeom,A2,389.0,,13,conf/crypto,A1,0.239942528736
14,conf/spaa,1129.0,41290.0,A2,29.0,,14,conf/coco,,376.0,,14,conf/compgeom,A2,0.237484737485
15,conf/pods,1107.0,115617.0,A1,28.0,,15,conf/crypto,A1,334.0,,15,journals/joc,A2,0.218487394958
16,journals/joc,476.0,28486.0,A2,28.0,,16,conf/podc,A1,294.0,,16,journals/jacm,A1,0.210739242369
17,conf/colt,1098.0,172142.0,A2,27.0,,17,journals/iandc,A2,290.0,,17,journals/rsa,,0.208982584785
