Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/www,A1,1454.0,,1,journals/ws,A1,0.495495495495
2,conf/icml,3294.0,290468.0,A1,69.0,,2,conf/semweb,,719.0,,2,conf/wsdm,B1,0.425891181989
3,conf/nips,5684.0,404822.0,A1,66.0,,3,conf/cikm,A1,709.0,,3,conf/www,A1,0.323039324595
4,conf/sigmod,3706.0,337960.0,A1,61.0,,4,conf/sigir,A1,491.0,,4,conf/semweb,,0.277928102049
5,conf/wsdm,533.0,8651.0,B1,54.0,,5,conf/icde,A1,460.0,,5,conf/esws,,0.260703363914
6,conf/icde,4327.0,135333.0,A1,52.0,,6,conf/kdd,A1,430.0,,6,conf/ekaw,B1,0.209471766849
7,conf/sigir,3545.0,205477.0,A1,49.0,,7,conf/esws,,341.0,,7,conf/dlog,,0.178753830439
8,conf/icwsm,797.0,7564.0,B1,48.0,,8,conf/sigmod,A1,328.0,,8,conf/icwe,,0.175521821632
9,conf/ijcai,6188.0,295635.0,A1,46.0,,9,journals/tkde,A1,309.0,,9,conf/cikm,A1,0.163627971382
10,conf/soda,2924.0,204116.0,A1,43.0,,10,conf/aaai,A1,303.0,,10,conf/icwsm,B1,0.156838143036
11,conf/esws,1308.0,12532.0,,38.0,,11,conf/icdm,A1,292.0,,11,conf/kdd,A1,0.149878006274
12,conf/aaai,7555.0,234650.0,A1,37.0,,12,conf/vldb,A1,291.0,,12,journals/vldb,A2,0.140929535232
13,conf/edbt,1462.0,28921.0,A2,36.0,,13,conf/wsdm,B1,227.0,,13,conf/sigir,A1,0.13850493653
14,conf/sdm,1058.0,20754.0,A2,35.0,,14,conf/icwe,,185.0,,14,conf/sdm,A2,0.137996219282
15,conf/vldb,2641.0,235473.0,A1,34.0,,15,journals/expert,A1,182.0,,15,conf/ecir,A2,0.125548726953
16,conf/sac,5502.0,37130.0,A1,32.0,,16,conf/dlog,,175.0,,16,conf/ht,,0.123974475843
17,conf/icmcs,7286.0,55698.0,B3,23.0,,17,conf/ijcai,A1,167.0,,17,journals/sigir,,0.116504854369
18,conf/webi,1781.0,10504.0,,22.0,,18,journals/ws,A1,165.0,,18,conf/vldb,A1,0.110185535782
19,conf/jcdl,1597.0,13713.0,A2,21.0,,19,journals/pvldb,A1,160.0,,19,journals/pvldb,A1,0.108035111411
20,journals/sigmod,1568.0,46055.0,A1,21.0,,20,conf/sdm,A2,146.0,,20,conf/icde,A1,0.106309221169
21,conf/ht,1097.0,31272.0,,20.0,,21,conf/ecir,A2,143.0,,21,journals/tkde,A1,0.105713308245
22,conf/icwe,1054.0,5025.0,,19.0,,22,conf/edbt,A2,142.0,,22,conf/wise,B1,0.102661596958
23,conf/dasfaa,1628.0,6723.0,B1,17.0,,23,conf/ht,,136.0,,23,conf/edbt,A2,0.0971272229822
24,conf/trec,1788.0,55555.0,A2,16.0,,24,conf/mm,A1,136.0,,24,journals/expert,A1,0.0960422163588
25,conf/wise,1315.0,10431.0,B1,14.0,,25,conf/wise,B1,135.0,,25,journals/debu,,0.0931142410016
26,journals/sigir,721.0,31047.0,,11.0,,26,conf/webi,,135.0,,26,conf/icdm,A1,0.0894060012247
27,conf/chi,10697.0,257222.0,A1,6.0,,27,journals/sigmod,A1,134.0,,27,conf/sigmod,A1,0.0885051268214
28,conf/semweb,2587.0,52477.0,,,,28,conf/icmcs,B3,126.0,,28,journals/sigmod,A1,0.0854591836735
29,conf/cikm,4333.0,72291.0,A1,,,29,conf/icwsm,B1,125.0,,29,conf/apweb,B2,0.0759493670886
30,conf/kdd,2869.0,148223.0,A1,,,30,journals/debu,,119.0,,30,conf/webi,,0.0758001122965
31,journals/tkde,2923.0,124112.0,A1,,,31,conf/pakdd,,116.0,,31,conf/dasfaa,B1,0.0669533169533
32,conf/icdm,3266.0,43188.0,A1,,,32,conf/ekaw,B1,115.0,,32,journals/internet,A1,0.0638554216867
33,journals/expert,1895.0,162391.0,A1,,,33,conf/trec,A2,114.0,,33,conf/trec,A2,0.0637583892617
34,conf/dlog,979.0,10351.0,,,,34,conf/nips,A1,110.0,,34,conf/jcdl,A2,0.0613650594865
35,journals/ws,333.0,22892.0,A1,,,35,conf/chi,A1,110.0,,35,conf/pakdd,,0.060103626943
36,journals/pvldb,1481.0,18238.0,A1,,,36,conf/dasfaa,B1,109.0,,36,conf/pkdd,A2,0.0524475524476
37,conf/ecir,1139.0,8436.0,A2,,,37,journals/internet,A1,106.0,,37,conf/icdcs,A1,0.0427176566314
38,conf/mm,4156.0,84789.0,A1,,,38,conf/icdcs,A1,105.0,,38,conf/aaai,A1,0.040105890139
39,journals/debu,1278.0,19702.0,,,,39,conf/sac,A1,101.0,,39,conf/dexa,B1,0.0387632671897
40,conf/pakdd,1930.0,14336.0,,,,40,conf/jcdl,A2,98.0,,40,conf/soda,A1,0.0328317373461
41,conf/ekaw,549.0,9473.0,B1,,,41,conf/icml,A1,98.0,,41,conf/mm,A1,0.0327237728585
42,journals/internet,1660.0,42904.0,A1,,,42,conf/soda,A1,96.0,,42,conf/stoc,A1,0.0314986737401
43,conf/icdcs,2458.0,87448.0,A1,,,43,conf/stoc,A1,95.0,,43,conf/icml,A1,0.0297510625379
44,conf/stoc,3016.0,563585.0,A1,,,44,journals/vldb,A2,94.0,,44,conf/ijcai,A1,0.0269877181642
45,journals/vldb,667.0,36101.0,A2,,,45,conf/pkdd,A2,90.0,,45,conf/nips,A1,0.0193525686137
46,conf/pkdd,1716.0,25605.0,A2,,,46,conf/apweb,B2,90.0,,46,conf/sac,A1,0.0183569611051
47,conf/apweb,1185.0,3115.0,B2,,,47,journals/sigir,,84.0,,47,conf/dagstuhl,,0.0175518577616
48,conf/dexa,2167.0,14267.0,B1,,,48,conf/dexa,B1,84.0,,48,conf/icmcs,B3,0.017293439473
49,journals/cn,5168.0,163372.0,A1,,,49,journals/cn,A1,82.0,,49,journals/cn,A1,0.015866873065
50,conf/dagstuhl,4387.0,49198.0,,,,50,conf/dagstuhl,,77.0,,50,conf/chi,A1,0.0102832569879
