Rank,Vkey,VPsize,Citations,Qualis,H-Index,,Rank,Vkey,Qualis,P-score,,Rank,Vkey,Qualis,PS/VP
1,conf/www,4501.0,120253.0,A1,83.0,,1,conf/sigir,A1,1895.0,,1,conf/ictir,,0.559322033898
2,journals/is,1504.0,32461.0,A2,72.0,,2,conf/cikm,A1,968.0,,2,conf/sigir,A1,0.534555712271
3,conf/wsdm,533.0,8651.0,B1,54.0,,3,conf/trec,A2,811.0,,3,conf/adcs,,0.533980582524
4,conf/emnlp,1380.0,19971.0,A1,53.0,,4,conf/ecir,A2,523.0,,4,journals/ir,B1,0.469907407407
5,conf/sigir,3545.0,205477.0,A1,49.0,,5,conf/clef,B2,502.0,,5,conf/ecir,A2,0.459174714662
6,journals/ir,432.0,42026.0,B1,49.0,,6,conf/www,A1,474.0,,6,conf/trec,A2,0.453579418345
7,conf/icwsm,797.0,7564.0,B1,48.0,,7,journals/jasis,A1,384.0,,7,journals/sigir,,0.453536754508
8,conf/naacl,1498.0,59153.0,A1,48.0,,8,journals/ipm,,358.0,,8,conf/iiix,,0.343612334802
9,conf/sdm,1058.0,20754.0,A2,35.0,,9,journals/sigir,,327.0,,9,journals/tois,A2,0.339344262295
10,conf/clef,2767.0,18658.0,B2,24.0,,10,conf/mm,A1,267.0,,10,conf/wsdm,B1,0.333958724203
11,conf/webi,1781.0,10504.0,,22.0,,11,conf/jcdl,A2,243.0,,11,conf/inex,,0.324929971989
12,conf/jcdl,1597.0,13713.0,A2,21.0,,12,journals/tois,A2,207.0,,12,conf/spire,B1,0.275563258232
13,conf/spire,577.0,5936.0,B1,17.0,,13,journals/ir,B1,203.0,,13,conf/airs,B3,0.226937269373
14,conf/cpm,711.0,20452.0,B1,16.0,,14,conf/wsdm,B1,178.0,,14,conf/cikm,A1,0.223401800138
15,conf/trec,1788.0,55555.0,A2,16.0,,15,conf/ntcir,,176.0,,15,journals/tweb,A2,0.2125
16,conf/ijcnlp,819.0,2729.0,,15.0,,16,conf/kdd,A1,168.0,,16,conf/riao,,0.185358255452
17,conf/mmm,1165.0,3542.0,B1,14.0,,17,journals/tkde,A1,166.0,,17,conf/clef,B2,0.181423924828
18,conf/inex,357.0,6857.0,,13.0,,18,conf/acl,A1,164.0,,18,conf/ntcir,,0.177240684794
19,journals/ipm,2616.0,85353.0,,12.0,,19,conf/icdm,A1,161.0,,19,conf/la-web,,0.154166666667
20,journals/sigir,721.0,31047.0,,11.0,,20,conf/spire,B1,159.0,,20,conf/jcdl,A2,0.152160300564
21,conf/airs,542.0,1314.0,B3,10.0,,21,conf/ercimdl,,137.0,,21,journals/tist,,0.13880126183
22,conf/icadl,796.0,1814.0,,7.0,,22,conf/airs,B3,123.0,,22,journals/ipm,,0.136850152905
23,conf/cikm,4333.0,72291.0,A1,,,23,conf/riao,,119.0,,23,conf/ercimdl,,0.121994657168
24,conf/ecir,1139.0,8436.0,A2,,,24,conf/inex,,116.0,,24,conf/www,A1,0.105309931126
25,journals/jasis,5376.0,281507.0,A1,,,25,conf/mmm,B1,91.0,,25,conf/mir,,0.0895316804408
26,conf/mm,4156.0,84789.0,A1,,,26,conf/isi,B1,86.0,,26,conf/isi,B1,0.0889348500517
27,journals/tois,610.0,71840.0,A2,,,27,conf/webi,,85.0,,27,conf/icwsm,B1,0.0803011292346
28,conf/ntcir,993.0,1994.0,,,,28,conf/naacl,A1,84.0,,28,conf/mmm,B1,0.0781115879828
29,conf/kdd,2869.0,148223.0,A1,,,29,journals/pvldb,A1,82.0,,29,conf/adc,,0.072186836518
30,journals/tkde,2923.0,124112.0,A1,,,30,conf/iiix,,78.0,,30,conf/icadl,,0.071608040201
31,conf/acl,4242.0,195392.0,A1,,,31,conf/emnlp,A1,73.0,,31,journals/jasis,A1,0.0714285714286
32,conf/icdm,3266.0,43188.0,A1,,,32,conf/sdm,A2,71.0,,32,conf/sdm,A2,0.0671077504726
33,conf/ercimdl,1123.0,9491.0,,,,33,conf/ictir,,66.0,,33,conf/recsys,B1,0.0642750373692
34,conf/riao,642.0,8533.0,,,,34,conf/mir,,65.0,,34,conf/mm,A1,0.0642444658325
35,conf/isi,967.0,3516.0,B1,,,35,conf/icwsm,B1,64.0,,35,conf/kdd,A1,0.0585569884977
36,journals/pvldb,1481.0,18238.0,A1,,,36,conf/dgo,B1,63.0,,36,journals/tkde,A1,0.0567909681834
37,conf/iiix,227.0,586.0,,,,37,journals/debu,,59.0,,37,conf/cpm,B1,0.056258790436
38,conf/ictir,118.0,377.0,,,,38,journals/is,A2,59.0,,38,conf/naacl,A1,0.0560747663551
39,conf/mir,726.0,7132.0,,,,39,conf/icadl,,57.0,,39,journals/vldb,A2,0.0554722638681
40,conf/dgo,1169.0,3415.0,B1,,,40,conf/adcs,,55.0,,40,journals/pvldb,A1,0.0553679945982
41,journals/debu,1278.0,19702.0,,,,41,conf/apweb,B2,53.0,,41,conf/dgo,B1,0.0538922155689
42,conf/adcs,103.0,129.0,,,,42,journals/tist,,44.0,,42,conf/emnlp,A1,0.0528985507246
43,conf/apweb,1185.0,3115.0,B2,,,43,conf/recsys,B1,43.0,,43,conf/icdm,A1,0.0492957746479
44,journals/tist,317.0,40570.0,,,,44,conf/cpm,B1,40.0,,44,conf/webi,,0.0477259966311
45,conf/recsys,669.0,6329.0,B1,,,45,journals/tods,A2,39.0,,45,journals/debu,,0.0461658841941
46,journals/tods,893.0,113458.0,A2,,,46,conf/la-web,,37.0,,46,conf/apweb,B2,0.0447257383966
47,conf/la-web,240.0,1446.0,,,,47,journals/vldb,A2,37.0,,47,conf/ijcnlp,,0.043956043956
48,journals/vldb,667.0,36101.0,A2,,,48,conf/ijcnlp,,36.0,,48,journals/tods,A2,0.043673012318
49,journals/tweb,160.0,2487.0,A2,,,49,journals/tweb,A2,34.0,,49,journals/is,A2,0.0392287234043
50,conf/adc,471.0,4193.0,,,,50,conf/adc,,34.0,,50,conf/acl,A1,0.038661008958
