,0
0,University of Illinois at Chicago 
1,University of Illinois at Urbana-Champaign 
2,Carnegie Mellon University 
3,University of California-Riverside 
4,Simon Fraser University 
5,University of Michigan 
6,Rensselaer Polytechnic Institute 
7,University of California-Davis 
8,Arizona State University 
9,Georgia Institute of Technology 
10,Stanford University 
11,Worcester Polytechnic Institute 
12,University of Illinois at Chicago 
13,Arizona State University 
14,University of California-Santa Barbara 
15,University of Texas at Arlington 
16,Simon Fraser University 
17,Michigan State University 
18,Boston University 
19,University of Southern California 
20,University of Minnesota 
21,University of Minnesota 
22,University of California-Los Angeles 
23,University of California-Irvine 
24,University of California-Santa Cruz 
25,Purdue University Main Campus 
26,University of Massachusetts Amherst 
27,University of Minnesota 
28,Northeastern University 
29,Kent State University Main Campus 
30,University of Alberta 
31,University of Texas at Austin 
32,University of Notre Dame 
33,Florida International University 
34,University of Sydney 
35,University of California-Los Angeles 
36,University of Minnesota 
37,Simon Fraser University 
38,George Mason University 
39,Arizona State University 
40,University at Buffalo 
41,Michigan State University 
42,University of British Columbia 
43,University of Maryland Baltimore County 
44,University of Virginia 
45,Monash University 
46,Carnegie Mellon University 
47,Universidade Federal Fluminense 
48,University of Michigan 
49,National University of Singapore 
50,Georgia Institute of Technology 
51,Carnegie Mellon University 
52,University of Athens 
53,University of Melbourne 
54,Cornell University 
55,IIT Bombay 
56,Cornell University 
57,University of Illinois at Urbana-Champaign 
58,Georgia Institute of Technology 
59,University of Kansas 
60,University of Houston 
61,University of North Carolina at Charlotte 
62,University of Alberta 
63,Carnegie Mellon University 
64,University of Washington 
65,Nanyang Technological University 
66,University of California-San Diego 
67,Binghamton University 
68,Michigan State University 
69,Nanyang Technological University 
70,University at Buffalo 
71,Georgia Institute of Technology 
72,University of Michigan 
73,Pennsylvania State University 
74,Washington State University 
75,Temple University 
76,IIT Bombay 
77,Northeastern University 
78,Western University 
79,University of Massachusetts Amherst 
80,University of Minnesota 
81,Rutgers University 
82,Florida Institute of Technology 
83,Texas A&M University 
84,University of Virginia 
85,Oregon State University 
86,Aarhus University 
87,Boston University 
88,University of British Columbia 
89,Temple University 
90,Georgia Institute of Technology 
91,National University of Singapore 
92,Rice University 
93,Wayne State University 
94,Washington State University 
95,Northwestern University 
96,University of Texas at Arlington 
97,California Institute of Technology 
98,Hebrew University of Jerusalem 
99,University of Illinois at Urbana-Champaign 
100,Australian National University 
101,Cornell University 
102,National University of Singapore 
103,Carnegie Mellon University 
104,Rice University 
105,University of California-Riverside 
106,University of California-Riverside 
107,Emory University 
108,Rensselaer Polytechnic Institute 
109,Pennsylvania State University 
110,University of Kentucky 
111,University of Washington 
112,University of California-Davis 
113,George Mason University 
114,University of Illinois at Chicago 
115,University at Buffalo 
116,University of Texas at Austin 
117,University of Texas at Dallas 
118,University of Oklahoma Norman Campus 
119,IISc Bangalore 
120,University of California-Riverside 
121,University of Southern California 
122,University of California-Santa Barbara 
123,University of Pennsylvania 
124,University of Melbourne 
125,Athens University of Economics and Business 
126,University of Waikato 
127,Carnegie Mellon University 
128,Purdue University Main Campus 
129,University of New Mexico Main Campus 
130,Columbia University 
131,University of Texas at Arlington 
132,Lehigh University 
133,University of California-Berkeley 
134,University of Virginia 
135,University of Connecticut 
136,IISc Bangalore 
137,University of Toronto 
138,North Carolina State University 
139,University of California-Los Angeles 
140,USP - São Carlos 
141,Max Planck Institute 
142,University of Connecticut 
143,University of California-Riverside 
144,University of Michigan 
145,North Dakota State University Main Campus 
146,University of California-San Diego 
147,Nanyang Technological University 
148,University of Pittsburgh 
149,Duke University 
150,Stanford University 
151,Max Planck Institute 
152,New Mexico State University 
153,University of Virginia 
154,Purdue University Main Campus 
155,University of Texas at Arlington 
156,Nanyang Technological University 
157,Cornell University 
158,Illinois Institute of Technology 
159,National University of Singapore 
160,University of Illinois at Urbana-Champaign 
161,George Mason University 
162,University of Wisconsin-Madison 
163,University of Texas at Dallas 
164,Washington State University 
165,University of Texas at Dallas 
166,University of Melbourne 
167,University of Iowa 
168,Nanyang Technological University 
169,University of Rochester 
170,Washington University in St. Louis 
171,Carnegie Mellon University 
172,Southern Methodist University 
173,University of Oregon 
174,Florida State University 
175,Southern Methodist University 
176,Stevens Institute of Technology 
177,Binghamton University 
178,Oregon State University 
179,University of Southern California 
180,Purdue University Main Campus 
181,University of Massachusetts Amherst 
182,University of Illinois at Urbana-Champaign 
183,Wright State University Main Campus 
184,University of Massachusetts Amherst 
185,University at Buffalo 
186,TU Darmstadt 
187,University of Maryland-Baltimore County 
188,Northeastern University 
189,University of Southern California 
190,Indiana University 
191,University of Southern California 
192,Rutgers University 
193,University of Minnesota 
194,Wright State University Main Campus 
195,University College London 
196,George Mason University 
197,VU Amsterdam 
198,George Washington University 
