,Name,Data mining pscore,Data mining year,Data mining year combined
0,Stanford University,357856.738724,5675.62253111,264932032.212
1,University of California-Berkeley,332808.174905,821.657513562,37804969.1519
2,Massachusetts Institute of Technology,273870.925007,307.077796503,1740485.93165
3,Carnegie Mellon University,716384.056097,19076.0784171,2425461753.69
4,University of Illinois at Urbana-Champaign,503235.749522,17647.9050202,3944706255.39
5,Princeton University,63006.5630952,0.0,0.0
6,Cornell University,317508.160371,5871.73638603,196406590.976
7,University of California-Santa Barbara,188205.657726,3634.56165894,187729859.111
8,University of North Carolina at Chapel Hill,13006.3666667,18.6778299417,27624.5104838
9,University of California-Los Angeles,280439.732937,5278.04244799,185851597.927
10,University of Texas at Austin,222961.701984,3741.97204182,172865227.162
11,Georgia Institute of Technology,392019.132659,11002.119207,382345585.698
12,Michigan State University,168889.319444,6081.67561416,230524259.249
13,University of Maryland College Park,39057.0607143,160.346598097,1534356.59719
14,University of California-San Diego,181218.639787,2085.03364688,43636642.7873
15,University of Michigan-Ann Arbor,26734.1730769,232.657980339,1172826.57379
16,University of Southern California,402846.112393,6453.20999896,162373418.743
17,University of Pennsylvania,165821.607957,1065.64424526,20410190.033
18,University of Massachusetts Amherst,346472.749756,5010.61761076,173821294.948
19,University of Wisconsin-Madison,186860.729536,867.151629021,18681364.8156
20,Harvard University,72493.6880952,307.999211431,1423866.18428
21,University of Rochester,100413.992002,969.25881095,16409462.7791
22,University of Washington,278605.017168,2356.16105337,97370881.9875
23,Purdue University Main Campus,270313.176055,5458.89289784,133758379.235
24,Duke University,123676.108917,701.47537646,8968246.85084
25,New York University,149107.917857,646.593602341,13535460.0869
26,Tufts University,27815.65,79.4996502816,574726.928402
27,State University of New York at Stony Brook,29512.6333333,0.0,0.0
28,Louisiana State University and Agricultural and Mechanical College,28021.3547619,20.028662446,129951.268111
29,University of California-Riverside,207590.58962,11716.6548416,809310235.14
30,Penn State University,598.0,0.0,0.0
31,University of Minnesota-Twin Cities,11925.7833333,99.4994441595,1019864.90158
32,Brown University,107049.927318,193.035048715,1117640.75832
33,Rice University,59356.5688375,1623.12120514,22772524.3599
34,University of California-Irvine,276594.147698,4481.25455155,241502403.632
35,Ohio State University Main Campus,17496.8666667,125.006454367,1351194.76525
36,Yale University,64620.697648,156.120340205,1499993.96023
37,Arizona State University,297973.633092,11896.5153141,663145253.973
38,University of Nebraska - Lincoln,8419.91666667,232.809304369,1646893.01911
39,Columbia University In The City of New York,7292.16666667,25.2497147245,168213.599495
40,University of Connecticut,62357.2166667,1350.47220386,23593089.6366
41,University of California-Davis,109990.926449,7214.75353663,264608914.581
42,State University of New York at Buffalo,7356.5,55.1405216018,362026.780764
43,Texas A & M University,5779.33333333,0.0,0.0
44,University of Oklahoma Norman Campus,34911.9922969,929.183701475,8226089.18022
45,University of Pittsburgh Pittsburgh Campus,14034.6666667,134.763661607,1791143.82642
46,University of Utah,48608.6,298.090780782,2787967.72777
47,University of California-Santa Cruz,149924.282143,3797.28608985,172655361.758
48,Indiana University at Bloomington,30138.8944444,325.008707616,3399620.84969
49,University of Virginia,67487.75,3202.56806315,39924321.4168
50,University of South Florida,48183.3785714,260.804469965,2824052.70902
51,University of Arizona,62522.6392231,12.8621065024,48644.4867922
52,Virginia Polytechnic Institute and State University,9105.66666667,0.0,0.0
53,University of Chicago,62127.3205004,162.140234209,4148115.85787
54,Washington University In St. Louis,5741.62878788,0.0,0.0
55,Georgia State University,32896.2166667,68.9265628446,321386.738165
56,North Carolina State University,99141.6537879,723.838710568,9384143.8866
57,University of Tennessee,59721.7059524,95.3772807425,366059.071549
58,Johns Hopkins University,42545.1309524,6.14781261814,16795.8240728
59,Vanderbilt University,50059.3653846,269.930400722,2684390.17461
60,Florida Institute of Technology,26301.9,1020.14677983,18956367.4627
61,University of Colorado at Boulder,21120.65,7.58957667797,20112.3781966
62,Lehigh University,36707.6666667,773.394453168,16090640.5438
63,University of Central Florida,82741.5888889,435.622898674,3932929.59033
64,University of Kentucky,60503.975,573.306125366,5721304.07781
65,Florida State University,45333.525,495.787309753,5720440.77759
66,Oklahoma State University Main Campus,8233.83333333,23.75,39163.75
67,Washington State University,88771.6602564,2371.40545152,58393543.9194
68,Iowa State University,53258.0357143,275.390370183,6155250.16396
69,Northwestern University,187652.8,1218.4904351,43833853.9104
70,Dartmouth College,34766.2833333,41.9576967769,117168.415213
71,Boston University,69322.9007937,5720.46616782,157990541.787
72,University of Georgia,32009.325,88.8316147277,859195.222784
73,Rutgers The State University of New Jersey New Brunswick Campus,2654.4,0.0,0.0
74,University of Maryland Baltimore County,40584.2564103,1958.06429683,58962204.3469
75,California Institute of Technology,48342.9409774,904.008744896,8630899.61339
76,University of Delaware,47997.0444444,225.730520312,2156138.26633
77,University of Texas at Dallas,165443.185897,1429.72455774,36430007.6627
78,University of Cincinnati Main Campus,18208.5,20.0791251318,73569.9144827
79,Kent State University Main Campus,46013.0555556,3273.3956793,127916356.611
80,Oregon State University,110190.963345,1585.33490144,18255634.3474
81,University of Iowa,25807.5583333,294.734602732,3191547.41778
82,Rensselaer Polytechnic Institute,141102.061386,7681.37358535,434209916.874
83,University of Florida,104673.5,397.749907499,4926902.95788
84,Northeastern University,132115.222602,4341.53990427,90760904.7792
85,Illinois Institute of Technology,38425.875,457.62826686,2706869.71177
86,Auburn University,16822.5,18.0656219439,116180.014721
87,Wayne State University,68801.5972222,1505.41539854,19459195.4286
88,University of Oregon,53900.1142857,680.714897844,6771411.8145
89,Wright State University Main Campus,70173.3416667,848.907774271,11840059.4607
