,Akey,Databaseyear score,Databaseyear combined
1763,Jeffrey F. Naughton,0.244457531151,46109.8239833
769,H. V. Jagadish,0.191319107348,39438.5207888
2396,Donald Kossmann,0.264144276577,38411.5965555
2849,Nick Koudas,0.236648514226,38337.5326017
585,Beng Chin Ooi,0.179122158552,37464.4741941
1260,Michael J. Franklin,0.222115247497,35616.6241667
648,Michael Stonebraker,0.166517411236,33422.2091614
2782,Yufei Tao,0.253708091757,33239.0582253
1772,Tova Milo,0.265439929456,30716.9740766
5569,Jignesh M. Patel,0.297608726413,30435.5516241
2134,Samuel Madden,0.238385691242,29648.9819626
153,Hector Garcia-Molina,0.125255127091,28668.5187438
1257,Michael J. Carey,0.169139789974,28378.7813812
640,Dan Suciu,0.213397190851,27904.8836617
6975,Anastasia Ailamaki,0.341538232757,27697.3845237
1657,Joseph M. Hellerstein,0.199926942771,27239.4461717
11521,Xiaokui Xiao,0.340588037718,26871.7149999
305,Kian-Lee Tan,0.137044427513,26395.0308278
4883,Anthony K. H. Tung,0.230758478552,26172.3958789
1462,Jennifer Widom,0.183746072005,25957.0726079
12512,Ihab F. Ilyas,0.325872286992,25761.5077759
1480,Johannes Gehrke,0.170940454509,24890.981462
10009,Shivnath Babu,0.284169621831,24041.3183462
8558,Neoklis Polyzotis,0.288860395494,23261.3499283
358,Elke A. Rundensteiner,0.127445782769,22781.0611157
16,Jiawei Han,0.0733115604659,22700.1182711
144,Gerhard Weikum,0.112661272617,21974.4685626
6325,Thomas Neumann 0001,0.277417382938,21856.3285148
3545,Wenfei Fan,0.222001073003,21437.7556156
8818,Magdalena Balazinska,0.310491805251,20634.9748852
3080,Stanley B. Zdonik,0.185572047848,20354.6556402
7068,Amol Deshpande,0.260163356779,19833.553504
8450,AnHai Doan,0.253191932377,19678.0769843
3537,Mohamed F. Mokbel,0.203083502228,19423.7184871
1483,Laks V. S. Lakshmanan,0.157830569521,18992.3837528
521,Wolfgang Lehner,0.159649355511,18737.5659083
14099,Jun Yang 0001,0.2482165528,18581.2429261
5,Philip S. Yu,0.0551823494498,18458.4958909
300,Divyakant Agrawal,0.110294397157,17693.6477806
13905,Feifei Li,0.252904048556,17536.872535
30292,Daniel J. Abadi,0.365758275135,17492.3895084
2491,Gautam Das,0.17213389308,17311.1613592
624,Serge Abiteboul,0.139154410122,16903.2253519
6422,S. Sudarshan 0001,0.191411024895,16361.622997
64455,Olga Papaemmanouil,0.453766964759,15807.8797513
446,Amr El Abbadi,0.112985575604,15297.90798
6624,Renée J. Miller,0.192974220649,15065.4974061
9506,Yannis Papakonstantinou,0.202916091444,14873.7495028
700,Marianne Winslett,0.151797017223,14672.0924967
16196,Kenneth Salem,0.229264609568,14141.0411182
12079,Ugur Çetintemel,0.236768559357,14047.9521638
1454,Gustavo Alonso,0.14766150011,13873.5362428
23428,Stratos Idreos,0.34923512955,13739.2592316
23603,Tim Kraska,0.34749142961,13565.3704291
1867,Yannis E. Ioannidis,0.133396734726,13466.8005608
1095,M. Tamer Özsu,0.128424665004,13403.9391358
1025,Carlo Zaniolo,0.124470042497,13362.6058823
3434,Kenneth A. Ross,0.163743461878,13246.6823225
9591,Peter J. Haas,0.187872773104,12966.9787996
118,Christos Faloutsos,0.0643966770037,12697.5435816
12567,Zachary G. Ives,0.228352950081,12446.6058971
4522,Xifeng Yan,0.150833207593,12409.6513215
9700,Kevin Chen-Chuan Chang,0.167744551061,12169.6994349
12547,Alin Deutsch,0.233958646331,11642.2501587
450,Xiaofang Zhou,0.102055936454,11574.571977
6506,Gao Cong,0.174547864219,11431.6632713
15598,Dan Olteanu,0.266421880085,11419.3746242
25331,Yanlei Diao,0.292811754886,11413.8022055
2743,Walid G. Aref,0.137879329303,11230.1334924
11548,Christopher Ré,0.283044232753,10920.6956323
591,Jian Pei,0.0855866297467,10868.6461115
824,Richard T. Snodgrass,0.103551352129,10681.0113181
5411,Susan B. Davidson,0.18331400072,10655.6762339
11705,Yannis Kotidis,0.168475812313,10594.0960298
70625,Ahmed Eldawy,0.425639456455,10538.8329418
7640,Luis Gravano,0.158361627969,10241.0881191
54093,Barzan Mozafari,0.377108060996,9760.68794276
12313,Anastassia Ailamaki,0.175415441415,9507.34150925
15630,Wang Chiew Tan,0.240599197502,9505.11189651
1967,Ahmed K. Elmagarmid,0.106900638378,9456.43047089
18115,Benny Kimelfeld,0.295807598233,9452.82760913
23318,Paolo Papotti,0.270186413156,9448.41886805
10320,Sunita Sarawagi,0.163122237617,9233.20801585
5943,Jayant R. Haritsa,0.129720017604,9204.80272917
10734,Laura M. Haas,0.167028934564,9100.90555759
54342,Mohamed Y. Eltabakh,0.389056863273,8964.64824354
11208,George Kollios,0.179046677397,8825.03168224
28397,Chee Yong Chan,0.195823802082,8639.55032405
3062,Vassilis J. Tsotras,0.146915313458,8568.24799618
38893,Julia Stoyanovich,0.388199652359,8471.29281378
5421,Z. Meral Özsoyoglu,0.144837168123,8460.80801307
1662,Dennis Shasha,0.0931226965377,8388.67874951
19039,Betty Salzberg,0.182825171798,8378.69479834
9566,Alexandros Labrinidis,0.174941860345,8352.24923845
36975,Stratis Viglas,0.264941536093,8325.5228302
25509,Aditya G. Parameswaran,0.312382759858,8182.86639447
54722,Andrew Pavlo,0.400874014304,8047.94671116
48503,Tingjian Ge,0.280959189863,7951.70699151
21555,Gerome Miklau,0.273143954597,7865.9996045
27407,Mirek Riedewald,0.219918829031,7864.51724499
10986,Vagelis Hristidis,0.137140461083,7686.03714139
2424,Yehoshua Sagiv,0.122749973862,7635.1711242
4953,Nick Roussopoulos,0.10883725084,7620.56662932
42449,Yinghui Wu,0.291044560444,7561.91976946
26200,Vasilis Vassalos,0.178696869969,7542.25879079
30848,Daniel Deutch,0.324753795145,7500.18889888
58083,Mohammad Sadoghi,0.32870916501,7315.09375812
1418,Dimitrios Gunopulos,0.0988843775533,7137.17771866
41158,Mitch Cherniack,0.240277617212,7126.15357128
1107,Clement T. Yu,0.0634012043495,7016.10407573
15633,Rui Zhang 0003,0.200362344541,6997.25415839
5638,Peter Buneman,0.125764674259,6880.08227001
1784,K. Selçuk Candan,0.0844159543154,6848.75078956
54048,Jiannan Wang,0.336482262153,6829.91695717
580,Jeffrey D. Ullman,0.0751197138128,6742.97087098
27743,Chengkai Li,0.197194059684,6644.45384106
50182,Christopher M. Jermaine,0.242106445232,6573.67420093
3955,Juliana Freire,0.113616245727,6459.76526705
96852,Arijit Khan,0.355608652276,6390.99869871
1251,Sharad Mehrotra,0.083848358864,6368.95364259
1659,Abraham Silberschatz,0.0741857292103,6287.3147363
70055,Yael Amsterdamer,0.464619995414,6225.90793854
58712,Thomas Heinis,0.356148736425,6128.6074564
12264,Nan Zhang 0004,0.160221818333,6053.82118391
53644,Eugene Wu 0002,0.323831890574,5887.26377063
1366,Chen Li,0.0884525009751,5843.08376192
1806,Panos K. Chrysanthis,0.0840463099813,5702.37403961
3137,Raymond T. Ng,0.0842630117866,5641.49290212
2415,Ambuj K. Singh,0.0903629351383,5592.92350745
8468,Sunil Prabhakar,0.104517898343,5533.80464565
5633,Yi Chen 0001,0.112878047108,5434.40069998
509,Stefano Ceri,0.0631783011642,5421.96180591
22269,Ashwin Machanavajjhala,0.179262674876,5242.35766408
35436,Chris Jermaine,0.16828798938,5206.49381545
2572,Victor Vianu,0.117352032626,5203.38912664
278,Karl Aberer,0.0636116596251,5194.6553483
514,Krithi Ramamritham,0.0556331314926,5170.82140658
14307,Ira Assent,0.159963617872,5059.48926966
14644,Bongki Moon,0.113925151496,5003.93442917
6645,Ruoming Jin,0.116418154925,4965.46714385
51299,Alexandra Meliou,0.280084874908,4928.93362862
4527,Heng Tao Shen,0.0858215057517,4745.84344656
38664,Amélie Marian,0.197852487403,4635.09022239
6306,Michael Benedikt,0.15685815405,4586.21870811
2651,Phokion G. Kolaitis,0.126632417578,4532.68075479
8,Elisa Bertino,0.0318707973891,4469.14630547
6285,Michael H. Böhlen,0.109467495697,4458.72056722
4201,Weiyi Meng,0.0713335189364,4429.45485835
4745,Alan Fekete,0.112577250826,4392.87690447
3855,Kai Zheng,0.115974208593,4391.4793826
2165,Ouri Wolfson,0.0797608787334,4379.19128598
