,0
0,University of Wisconsin-Madison 
1,University of Michigan 
2,ETH Zurich 
3,University of Toronto 
4,National University of Singapore 
5,University of Chicago 
6,Massachusetts Institute of Technology 
7,University of Queensland 
8,Tel Aviv University 
9,University of Wisconsin-Madison 
10,Massachusetts Institute of Technology 
11,Stanford University 
12,University of California-Irvine 
13,University of Washington 
14,EPFL 
15,University of California-Berkeley 
16,Nanyang Technological University 
17,National University of Singapore 
18,National University of Singapore 
19,Stanford University 
20,University of Waterloo 
21,Cornell University 
22,Duke University 
23,University of California-Santa Cruz 
24,Worcester Polytechnic Institute 
25,University of Illinois at Urbana-Champaign 
26,Max Planck Institute 
27,TU Munich 
28,University of Edinburgh 
29,University of Washington 
30,Brown University 
31,University of Maryland-College Park 
32,University of Wisconsin-Madison 
33,University of Minnesota 
34,University of British Columbia 
35,TU Dresden 
36,Duke University 
37,University of Illinois at Chicago 
38,University of California-Santa Barbara 
39,Florida State University 
40,University of Maryland-College Park 
41,University of Texas at Arlington 
42,Ecole Normale Superieure de Cachan 
43,IIT Bombay 
44,Brandeis University 
45,University of California-Santa Barbara 
46,University of Toronto 
47,University of California-San Diego 
48,University of Illinois at Urbana-Champaign 
49,University of Waterloo 
50,Brown University 
51,ETH Zurich 
52,Harvard University 
53,Brown University 
54,University of Athens 
55,University of Waterloo 
56,University of California-Los Angeles 
57,Columbia University 
58,University of Massachusetts Amherst 
59,Carnegie Mellon University 
60,University of Pennsylvania 
61,University of California-Santa Barbara 
62,University of Illinois at Urbana-Champaign 
63,University of California-San Diego 
64,University of Queensland 
65,Nanyang Technological University 
66,University of Oxford 
67,University of Massachusetts Amherst 
68,Purdue University Main Campus 
69,Stanford University 
70,Simon Fraser University 
71,University of Arizona 
72,University of Pennsylvania 
73,Athens University of Economics and Business 
74,University of California-Riverside 
75,Columbia University 
76,University of Michigan 
77,EPFL 
78,University of California-Santa Cruz 
79,Purdue University Main Campus 
80,Technion-Israel Institute of Technology 
81,Arizona State University 
82,IIT Bombay 
83,IISc Bangalore 
84,University of Massachusetts Amherst 
85,Worcester Polytechnic Institute 
86,Boston University 
87,National University of Singapore 
88,University of California-Riverside 
89,Drexel University 
90,Case Western Reserve University 
91,New York University 
92,Northeastern University 
93,University of Pittsburgh 
94,University of Edinburgh 
95,University of Illinois at Urbana-Champaign 
96,Carnegie Mellon University 
