,Name,Database pscore,Database year,Database year combined
0,Stanford University,535011.685802,52894.3673676,8038921099.11
1,University of California-Berkeley,330125.385007,19175.0632164,2170645031.48
2,Massachusetts Institute of Technology,384425.073563,40052.6449993,6683769928.15
3,Carnegie Mellon University,445042.483233,16201.7265598,1953220985.38
4,University of Illinois at Urbana-Champaign,616448.314585,45783.4652845,6722751151.69
5,Princeton University,66762.4089286,99.2078695619,627332.315005
6,Cornell University,267631.978737,20320.7130043,2432341536.53
7,University of California-Santa Barbara,327393.40796,26918.9005884,3117007740.22
8,University of North Carolina at Chapel Hill,6121.2,0.0,0.0
9,University of California-Los Angeles,326366.318254,20903.1042907,1413214759.43
10,University of Texas at Austin,167952.583333,3506.74593282,71163702.4835
11,Georgia Institute of Technology,401363.699143,9807.62120498,627947348.059
12,Michigan State University,98633.7222222,1001.78021033,21030344.064
13,University of Maryland College Park,44220.477381,261.559270318,2797247.10234
14,University of California-San Diego,192895.507895,19651.9020782,1146915320.92
15,University of Michigan-Ann Arbor,15729.2891026,85.3642424898,389381.362518
16,University of Southern California,298137.977656,8412.09820146,379486915.049
17,University of Pennsylvania,186216.09765,17004.8265259,829180173.066
18,University of Massachusetts Amherst,335224.725147,34154.8916227,1530385929.39
19,University of Wisconsin-Madison,395511.229001,80505.9783488,10548022387.3
20,Harvard University,86449.1571429,11306.7669414,434541537.831
21,University of Rochester,40695.6513431,53.3993649551,266525.557845
22,University of Washington,256348.927538,31887.4700553,3203751459.45
23,Purdue University Main Campus,430601.296353,26732.1698694,1907414121.94
24,Duke University,217732.781006,37159.8436478,2631611832.15
25,New York University,199588.405357,12017.9730321,883185986.793
26,Tufts University,15762.1142857,65.0459084849,314293.359124
27,State University of New York at Stony Brook,48974.5166667,587.677693207,8034839.97167
28,Louisiana State University and Agricultural and Mechanical College,39063.3309524,854.026482582,14709077.6333
29,University of California-Riverside,203069.721345,18702.1535308,807339663.915
30,Penn State University,1339.5,0.0,0.0
31,University of Minnesota-Twin Cities,8403.58333333,33.3004523141,361776.11394
32,Brown University,156675.363409,22191.591907,1736867546.83
33,Rice University,96179.0789916,9190.31897667,279869362.157
34,University of California-Irvine,375362.475277,33168.8025475,4254958332.12
35,Ohio State University Main Campus,16600.45,260.67568851,1273400.73837
36,Yale University,97027.2890495,5053.37535788,376563722.043
37,Arizona State University,252347.591242,18740.8829474,891134392.692
38,University of Nebraska - Lincoln,3255.41666667,0.0,0.0
39,Columbia University In The City of New York,6107.33333333,9.3873767561,38914.8083787
40,University of Connecticut,39796.0,75.6901790927,487808.637136
41,University of California-Davis,81729.2658603,2122.33990559,27503898.4553
42,State University of New York at Buffalo,8499.2,108.531688845,476543.391522
43,Texas A & M University,5542.78333333,0.0,0.0
44,University of Oklahoma Norman Campus,40055.9901961,937.174768823,24281884.7056
45,University of Pittsburgh Pittsburgh Campus,7358.5,0.0,0.0
46,University of Utah,40418.4,1203.40056215,11749328.1428
47,University of California-Santa Cruz,235837.159524,32054.0727745,1752012231.86
48,Indiana University at Bloomington,21445.0277778,90.2725047669,373580.505678
49,University of Virginia,77655.9964286,748.227618708,9083362.59897
50,University of South Florida,35533.4547619,2014.65497555,38685514.0375
51,University of Arizona,162167.901504,13708.9859006,1132220625.19
52,Virginia Polytechnic Institute and State University,9665.4,38.1590643828,104212.404829
53,University of Chicago,124393.189563,21289.3737525,3208705451.74
54,Washington University In St. Louis,6638.12878788,24.5697689095,58009.2243953
55,Georgia State University,23244.7666667,110.049885306,789359.488571
56,North Carolina State University,109641.045455,3649.63978331,69104021.4033
57,University of Tennessee,38595.052381,84.4980781476,322458.841788
58,Johns Hopkins University,40501.2234432,2367.43663189,39337901.531
59,Vanderbilt University,29972.7379121,197.397343011,1713051.17591
60,Florida Institute of Technology,11562.15,31.2745728228,172932.352605
61,University of Colorado at Boulder,49741.25,1644.16350777,43361805.7801
62,Lehigh University,19635.0833333,28.8649914833,302014.40589
63,University of Central Florida,67927.6916667,939.862588187,20295070.2793
64,University of Kentucky,44765.9083333,237.666603026,3313732.75365
65,Florida State University,68799.1333333,12073.0120104,799405613.941
66,Oklahoma State University Main Campus,4934.75,0.0,0.0
67,Washington State University,52582.6692308,3866.62669366,95712643.4497
68,Iowa State University,51563.3095238,765.976150297,10043914.7184
69,Northwestern University,120513.1,2373.77046244,59118229.3533
70,Dartmouth College,26515.9333333,12.0057273769,44973.4547537
71,Boston University,74233.3269841,5181.85123585,222343756.785
72,University of Georgia,23051.7833333,264.536976766,1991967.20168
73,Rutgers The State University of New Jersey New Brunswick Campus,2418.9,0.0,0.0
74,University of Maryland Baltimore County,25727.4807692,30.9261787233,136748.802736
75,California Institute of Technology,28169.0912281,74.8451249624,325608.118526
76,University of Delaware,21547.7277778,13.4725296935,39434.4687522
77,University of Texas at Dallas,135745.928022,1361.5174375,36668978.8114
78,University of Cincinnati Main Campus,12977.0,15.5186194635,25885.057265
79,Kent State University Main Campus,44044.4583333,4096.77427483,174735616.37
