,Name,Information retrieval pscore,Information retrieval year,Information retrieval year combined
0,Stanford University,209640.362726,1501.61274542,37160629.9059
1,University of California-Berkeley,200264.854071,891.969302565,20359299.5361
2,Massachusetts Institute of Technology,167131.358938,211.61520759,2718939.70706
3,Carnegie Mellon University,600163.757923,26216.1333265,1679465325.64
4,University of Illinois at Urbana-Champaign,404227.688565,27375.1852635,3094448260.24
5,Princeton University,38668.4113095,54.9202914428,389048.801288
6,Cornell University,200665.52199,3130.17864834,61668698.0333
7,University of California-Santa Barbara,112133.123483,120.232605104,1889375.32148
8,University of North Carolina at Chapel Hill,19956.6833333,540.883689435,4300841.96202
9,University of California-Los Angeles,148776.238492,1144.41632901,17866471.8571
10,University of Texas at Austin,114857.465476,83.6133271471,645000.889508
11,Georgia Institute of Technology,260538.930561,1877.86187951,84139195.7489
12,Michigan State University,96164.5083333,1194.51304964,45374782.9553
13,University of Maryland College Park,35514.7190476,128.623804348,1035900.93405
14,University of California-San Diego,87039.1609649,393.839309395,3328690.15615
15,University of Michigan-Ann Arbor,24796.3820513,679.890858481,6754498.90925
16,University of Southern California,272524.900977,762.798461706,11613428.4577
17,University of Pennsylvania,104053.748026,204.078621218,1996152.38999
18,University of Massachusetts Amherst,485058.492568,56682.2816858,11158378097.4
19,University of Wisconsin-Madison,75535.3326539,126.230248129,1090914.48
20,Harvard University,41588.6833333,148.823554953,385038.17648
21,University of Rochester,72044.3241758,146.413541003,2761682.84766
22,University of Washington,158509.799655,139.835109267,1497206.0901
23,Purdue University Main Campus,187276.654611,12903.6890707,1118023097.24
24,Duke University,60702.8380737,134.179946282,475278.858257
25,New York University,100258.46131,1264.91469629,36260586.3153
26,Tufts University,20426.8833333,23.7887625041,132723.779833
27,State University of New York at Stony Brook,17374.3166667,4.21932687511,1818.52988317
28,Louisiana State University and Agricultural and Mechanical College,42688.7666667,701.937641247,16411738.1418
29,University of California-Riverside,82365.1988304,183.686163852,2936564.25689
30,Penn State University,250.5,0.0,0.0
31,University of Minnesota-Twin Cities,8558.73333333,77.3389803039,989552.252988
32,Brown University,68114.4996241,644.719633845,5707884.61409
33,Rice University,28453.452451,42.982240749,141270.203064
34,University of California-Irvine,144285.41382,109.032504331,1217328.92149
35,Ohio State University Main Campus,11103.6,3.80245172926,8490.87471144
36,Yale University,54106.4415655,686.743604167,19110014.2732
37,Arizona State University,163624.234457,710.79921917,15722494.7782
38,University of Nebraska - Lincoln,2339.58333333,0.0,0.0
39,Columbia University In The City of New York,10163.8333333,108.178588962,948401.689432
40,University of Connecticut,28116.65,18.5064544449,162782.773297
41,University of California-Davis,60605.3516213,57.3254252575,976244.21157
42,State University of New York at Buffalo,2887.08333333,0.0,0.0
43,Texas A & M University,4246.2,0.0,0.0
44,University of Oklahoma Norman Campus,18620.2421569,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,6169.0,0.0,0.0
46,University of Utah,34316.1666667,249.858123984,1779315.45239
47,University of California-Santa Cruz,71754.1416667,351.47606804,3273100.04376
48,Indiana University at Bloomington,29220.4277778,301.868623888,3768218.03346
