,Name,Information retrieval pscore,Information retrieval score,Information retrieval combined,ndcg pos,pscore&ndcg,score&ndcg,combined&ndcg,pure authors,pure authors score,pure authors combined
0,Stanford University,209640.362726,3944.96018582,99375067.1545,1.72679821035,362006.603172,6812.15018877,171600688.116,292771.0,0.351786099243,5485.24890468
1,University of California-Berkeley,200264.854071,3136.82117604,71524762.4625,0.752980929619,150795.615988,2361.96652518,53856782.1298,269179.0,0.182768101131,3384.19637795
2,Massachusetts Institute of Technology,167131.358938,753.873474081,10436279.9181,1.13137158748,189087.67088,852.911029133,11807310.5783,228350.0,0.148252246679,985.555736465
3,Carnegie Mellon University,600163.757923,83738.8250194,5360254559.32,2.90778265428,1745145.76501,243494.302881,15586455230.1,781466.0,1.89000755512,103804.62014
4,University of Illinois at Urbana-Champaign,404227.688565,72893.9322622,8761671001.65,2.07604692995,839195.651845,151331.224285,18189640184.2,514151.0,1.45332556493,84990.9624945
5,Princeton University,38668.4113095,221.454856255,1600853.76424,0.454754556471,17584.6362345,100.707604935,727995.543531,56282.0,0.0697273740752,342.426725448
6,Cornell University,200665.52199,8797.523459,172436267.831,1.59009552806,319077.349151,13988.9027101,274190138.352,272208.0,0.648288502236,10353.4771313
7,University of California-Santa Barbara,112133.123483,293.525086937,4809820.00816,0.571834953658,64121.6394703,167.847904486,2750423.20147,175281.0,0.0564480058034,447.88178022
8,University of North Carolina at Chapel Hill,19956.6833333,2676.42171717,21354785.5328,0.429082527826,8563.0641317,1148.40579593,9162965.35761,25672.0,0.479797979798,3528.36868687
9,University of California-Los Angeles,148776.238492,2304.80944532,35665749.8882,0.528178469402,78580.4059301,1217.35072509,18837881.186,186663.0,0.184903336158,2691.72743543
10,University of Texas at Austin,114857.465476,282.268049251,2020566.32633,0.341928050883,39272.9892996,96.5153639069,690888.30564,144138.0,0.0481220820204,304.931074372
11,Georgia Institute of Technology,260538.930561,5397.14382093,245363302.859,1.57661017975,410768.330144,8509.19188965,386842281.025,354931.0,0.307266971543,6750.06805659
12,Michigan State University,96164.5083333,4171.78439131,158559432.885,0.572503611198,55054.5282899,2388.36162916,90775847.9161,138147.0,0.307504796099,6801.86634877
13,University of Maryland College Park,35514.7190476,530.092518919,4216989.3216,0.372089631483,13214.6587226,197.241930016,1569098.00264,42510.0,0.0865186226186,602.810842556
14,University of California-San Diego,87039.1609649,1447.70481203,13907763.2976,0.60678178535,52813.7774856,878.440910503,8438977.44394,114461.0,0.279098531042,1565.31639297
15,University of Michigan-Ann Arbor,24796.3820513,1328.13637196,13597668.9956,0.390591290417,9685.25086308,518.758499373,5311131.07964,32041.0,0.21809390279,1642.01276244
16,University of Southern California,272524.900977,2564.55219109,36960113.827,1.34227729005,365803.985555,3442.34016526,49610721.4277,344216.0,0.282106246181,3098.69282473
17,University of Pennsylvania,104053.748026,793.246771892,8008546.02507,0.496659174057,51679.2485523,393.973286552,3977517.85421,147531.0,0.13211487471,1119.8762416
18,University of Massachusetts Amherst,485058.492568,178995.252344,35694949612.8,3.42493555924,1661294.07951,613047.204687,1.22252902214e+11,602800.0,1.66421798479,207390.280582
19,University of Wisconsin-Madison,75535.3326539,339.936914203,2561771.60238,0.2500828027,18890.087693,85.0123762453,640655.022201,104592.0,0.0663302090844,449.715212689
20,Harvard University,41588.6833333,261.164093514,793497.736481,0.345291414716,14360.2153044,90.1777193227,273987.956004,56038.0,0.109864253394,303.106184012
21,University of Rochester,72044.3241758,311.399078127,5612134.91335,0.357269848013,25739.2647485,111.253501314,2005046.58752,98470.0,0.0345617428484,450.7813465
22,University of Washington,158509.799655,428.158052603,4579628.69423,0.896767414732,142146.423247,383.958189929,4106861.78456,218796.0,0.0880002994157,586.532193067
23,Purdue University Main Campus,187276.654611,33144.3985571,2875489944.37,1.38634698806,259630.426054,45949.6371107,3986426823.57,255999.0,0.676651071209,43177.0733024
24,Duke University,60702.8380737,322.107355994,1147529.73767,0.459247044835,27877.5989984,147.92685136,526999.640886,84094.0,0.147108081332,394.08755956
25,New York University,100258.46131,3165.01542957,89880070.7411,0.496146628176,49742.8975248,1570.31173351,44593694.0384,118513.0,0.170438460973,3269.10680277
26,Tufts University,20426.8833333,108.569132277,603475.714459,0.224709912987,4590.12317644,24.3965602671,135606.975286,26658.0,0.0278187177598,141.388540899
27,State University of New York at Stony Brook,17374.3166667,22.6052631579,9742.86842105,0.106567723026,1851.5413663,2.40899142314,1038.27530338,22108.0,0.0526315789474,22.6842105263
28,Louisiana State University and Agricultural and Mechanical College,42688.7666667,2940.78824976,76296210.8823,0.311470241547,13296.280465,915.968026491,23763999.2326,53890.0,0.216837162502,3821.54452457
