,Akey,APsize,Information retrieval,Information retrievalyear score,Information retrievalyear combined
629,W. Bruce Croft,283,239450.0,0.159557544454,38206.0540194
227,Maarten de Rijke,383,189782.0,0.144697761063,27461.0304901
3082,James Allan,155,141198.0,0.181053533258,25564.3967889
1283,ChengXiang Zhai,216,151313.0,0.145024472068,21944.087942
3593,Charles L. A. Clarke,145,100680.0,0.211653161521,21309.2403019
5894,Luo Si,113,88386.0,0.185822765562,16424.1309569
14008,Ben Carterette,74,65178.0,0.251367261935,16383.6153984
7867,Jamie Callan,99,72531.0,0.198181847223,14374.327561
27508,Emine Yilmaz,48,49294.0,0.244430452486,12048.9547249
8212,Eugene Agichtein,99,68400.0,0.168453491314,11522.2188059
8956,Javed A. Aslam,93,67090.0,0.16344715722,10965.6697779
14682,James P. Callan,72,68598.0,0.144332856035,9900.9452583
1416,Justin Zobel,210,93247.0,0.102465584606,9554.6083678
10368,Gordon V. Cormack,86,54842.0,0.154388167225,8466.95586697
3303,Jian-Yun Nie,149,84015.0,0.10010379681,8410.22048897
1650,Alistair Moffat,197,69707.0,0.11589896292,8078.96900826
39296,Miles Efron,37,28527.0,0.265871109835,7584.50515027
10475,Jimmy J. Lin,87,52699.0,0.130301791943,6866.77413363
9647,Brian D. Davison 0001,91,49375.0,0.111619006404,5511.1884412
5941,Aixin Sun,116,58324.0,0.0859175827212,5011.05709463
726,Ophir Frieder,269,84926.0,0.0559103965363,4748.24633624
17906,Claudia Hauff,62,32405.0,0.14529124185,4708.16269215
9874,Andrew Trotman,88,28233.0,0.154261673358,4355.26982392
11075,Andrew Turpin,84,34805.0,0.119369570415,4154.6578983
398,Tat-Seng Chua,329,86739.0,0.042792650876,3711.79174433
16233,David A. Grossman,68,40097.0,0.0901086792834,3613.08771323
7054,Nivio Ziviani,103,31438.0,0.114405052096,3596.66602778
38266,Christina Lioma,36,16797.0,0.209916379499,3525.96542645
9897,Edleno Silva de Moura,90,31321.0,0.111131203644,3480.74042935
7300,Yiming Yang,105,50016.0,0.0672250200205,3362.32660135
42440,Mark James Carman,35,19865.0,0.164123905901,3260.32139072
18120,Nazli Goharian,63,28031.0,0.105462417351,2956.21702076
11251,Padmini Srinivasan,84,30628.0,0.0952137072643,2916.20542609
1107,Clement T. Yu,231,78723.0,0.0349333886449,2750.0611543
10899,Berthier A. Ribeiro-Neto,82,36680.0,0.0654950041287,2402.35675144
144,Gerhard Weikum,446,87086.0,0.0236059335194,2055.74632647
1317,Marcos André Gonçalves,213,55639.0,0.0366577218933,2039.59898842
6405,Vasudeva Varma,109,28968.0,0.0668308400866,1935.95577563
2395,Hongyuan Zha,162,51926.0,0.0360498775449,1871.9259414
65479,Hongning Wang,24,12418.0,0.14210715923,1764.68670332
36536,Marco Cristo,39,17984.0,0.0965855752674,1736.99498561
4824,Martha Larson,124,33452.0,0.0515816972695,1725.51093706
1241,Jaime G. Carbonell,210,51223.0,0.0332922499869,1705.32892108
8847,James Caverlee,94,32326.0,0.0497961397344,1609.71001306
5033,Thorsten Joachims,109,27080.0,0.0573458855005,1552.92657935
15290,Qiaozhu Mei,67,23787.0,0.0648459993287,1542.49178603
6279,Altigran Soares da Silva,113,26296.0,0.0577084553831,1517.50154275
19814,R. Manmatha,60,22541.0,0.0629886776296,1419.82778245
9405,Torsten Suel,92,29037.0,0.0439650586046,1276.6134067
306,C. Lee Giles,345,81859.0,0.0155076612107,1269.44163905
679,Rong Jin,239,52169.0,0.0239694291399,1250.4611488
14861,Shmuel T. Klein,71,24970.0,0.0495548653943,1237.3849889
17,Tao Li,698,86085.0,0.0137762088029,1185.9249348
6506,Gao Cong,108,31044.0,0.0379132545526,1176.97907433
6458,Min-Yen Kan,100,28814.0,0.0395136144144,1138.54528574
12695,Lillian Lee,41,16286.0,0.0697014484915,1135.15779013
56781,Doug Downey,27,12601.0,0.089786763665,1131.40300894
4893,Ingemar J. Cox,121,21869.0,0.0512829579917,1121.50700832
3482,Jure Leskovec,111,21714.0,0.0476015409459,1033.6198601
28552,Shlomo Argamon,46,17996.0,0.0569100349274,1024.15298855
114227,Niranjan Balasubramanian,15,8955.0,0.113532326021,1016.68197952
2799,Vijay V. Raghavan,163,36988.0,0.0270379129868,1000.07832556
18875,Junghoo Cho,60,16578.0,0.0594158998555,984.996787804
16,Jiawei Han,702,98518.0,0.00946959032835,932.925099969
10117,Sanda M. Harabagiu,89,18529.0,0.049633001429,919.649883477
33033,Charles K. Nicholas,42,15587.0,0.0580183273598,904.331668558
11638,Tomek Strzalkowski,82,19478.0,0.0418089822276,814.35535583
21790,Eric Nyberg,56,16852.0,0.0479960255923,808.829023282
6127,Dragomir R. Radev,101,27827.0,0.0282607584478,786.412125328
6018,Marti A. Hearst,112,25451.0,0.0305627568681,777.852725049
10853,Rohini K. Srihari,86,19466.0,0.038632732629,752.024773357
1684,William W. Cohen,186,30650.0,0.0244203700844,748.484343087
63284,Yisong Yue,23,8764.0,0.0809399719702,709.357914347
