,Akey,APsize,Information retrieval score,Information retrieval,Information retrieval combined
629,W. Bruce Croft,283,0.526501766784,239450.0,126070.848057
3082,James Allan,155,0.529032258065,141198.0,74698.2967742
227,Maarten de Rijke,383,0.33681462141,189782.0,63921.3524804
1283,ChengXiang Zhai,216,0.421296296296,151313.0,63747.6064815
3593,Charles L. A. Clarke,145,0.572413793103,100680.0,57630.6206897
5894,Luo Si,113,0.477876106195,88386.0,42237.5575221
14008,Ben Carterette,74,0.635135135135,65178.0,41396.8378378
14682,James P. Callan,72,0.583333333333,68598.0,40015.5
7867,Jamie Callan,99,0.535353535354,72531.0,38829.7272727
27508,Emine Yilmaz,48,0.645833333333,49294.0,31835.7083333
1416,Justin Zobel,210,0.328571428571,93247.0,30638.3
8956,Javed A. Aslam,93,0.440860215054,67090.0,29577.311828
10368,Gordon V. Cormack,86,0.511627906977,54842.0,28058.6976744
8212,Eugene Agichtein,99,0.40404040404,68400.0,27636.3636364
1650,Alistair Moffat,197,0.340101522843,69707.0,23707.4568528
3303,Jian-Yun Nie,149,0.281879194631,84015.0,23682.0805369
10475,Jimmy J. Lin,87,0.413793103448,52699.0,21806.4827586
726,Ophir Frieder,269,0.182156133829,84926.0,15469.7918216
39296,Miles Efron,37,0.540540540541,28527.0,15420.0
9647,Brian D. Davison 0001,91,0.307692307692,49375.0,15192.3076923
16233,David A. Grossman,68,0.352941176471,40097.0,14151.8823529
17906,Claudia Hauff,62,0.370967741935,32405.0,12021.2096774
11075,Andrew Turpin,84,0.333333333333,34805.0,11601.6666667
7300,Yiming Yang,105,0.228571428571,50016.0,11432.2285714
9874,Andrew Trotman,88,0.397727272727,28233.0,11229.0340909
1107,Clement T. Yu,231,0.138528138528,78723.0,10905.3506494
5941,Aixin Sun,116,0.181034482759,58324.0,10558.6551724
7054,Nivio Ziviani,103,0.31067961165,31438.0,9767.14563107
398,Tat-Seng Chua,329,0.112462006079,86739.0,9754.84194529
11251,Padmini Srinivasan,84,0.309523809524,30628.0,9480.0952381
38266,Christina Lioma,36,0.555555555556,16797.0,9331.66666667
42440,Mark James Carman,35,0.457142857143,19865.0,9081.14285714
9897,Edleno Silva de Moura,90,0.288888888889,31321.0,9048.28888889
10899,Berthier A. Ribeiro-Neto,82,0.243902439024,36680.0,8946.34146341
18120,Nazli Goharian,63,0.238095238095,28031.0,6674.04761905
14861,Shmuel T. Klein,71,0.225352112676,24970.0,5627.04225352
1317,Marcos André Gonçalves,213,0.0985915492958,55639.0,5485.53521127
144,Gerhard Weikum,446,0.0627802690583,87086.0,5467.28251121
2395,Hongyuan Zha,162,0.104938271605,51926.0,5449.02469136
1241,Jaime G. Carbonell,210,0.0952380952381,51223.0,4878.38095238
2799,Vijay V. Raghavan,163,0.128834355828,36988.0,4765.32515337
4824,Martha Larson,124,0.137096774194,33452.0,4586.16129032
19814,R. Manmatha,60,0.2,22541.0,4508.2
679,Rong Jin,239,0.0836820083682,52169.0,4365.60669456
5033,Thorsten Joachims,109,0.155963302752,27080.0,4223.48623853
36536,Marco Cristo,39,0.230769230769,17984.0,4150.15384615
306,C. Lee Giles,345,0.0463768115942,81859.0,3796.35942029
6405,Vasudeva Varma,109,0.128440366972,28968.0,3720.66055046
12695,Lillian Lee,41,0.219512195122,16286.0,3574.97560976
15290,Qiaozhu Mei,67,0.149253731343,23787.0,3550.29850746
28552,Shlomo Argamon,46,0.195652173913,17996.0,3520.95652174
6279,Altigran Soares da Silva,113,0.132743362832,26296.0,3490.61946903
33033,Charles K. Nicholas,42,0.214285714286,15587.0,3340.07142857
11638,Tomek Strzalkowski,82,0.170731707317,19478.0,3325.51219512
17,Tao Li,698,0.0372492836676,86085.0,3206.60458453
6458,Min-Yen Kan,100,0.11,28814.0,3169.54
9405,Torsten Suel,92,0.108695652174,29037.0,3156.19565217
65479,Hongning Wang,24,0.25,12418.0,3104.5
4893,Ingemar J. Cox,121,0.140495867769,21869.0,3072.50413223
16310,Donald H. Kraft,67,0.10447761194,29170.0,3047.6119403
6127,Dragomir R. Radev,101,0.108910891089,27827.0,3030.66336634
114227,Niranjan Balasubramanian,15,0.333333333333,8955.0,2985.0
10117,Sanda M. Harabagiu,89,0.157303370787,18529.0,2914.6741573
146348,Stephen F. Weiss,12,0.333333333333,8496.0,2832.0
8847,James Caverlee,94,0.0851063829787,32326.0,2751.14893617
6018,Marti A. Hearst,112,0.107142857143,25451.0,2726.89285714
10853,Rohini K. Srihari,86,0.139534883721,19466.0,2716.18604651
21790,Eric Nyberg,56,0.142857142857,16852.0,2407.42857143
26985,Caroline M. Eastman,49,0.163265306122,14669.0,2394.93877551
56781,Doug Downey,27,0.185185185185,12601.0,2333.51851852
6506,Gao Cong,108,0.0740740740741,31044.0,2299.55555556
7913,John D. Lafferty,89,0.112359550562,20163.0,2265.50561798
42247,Joyce Y. Chai,34,0.176470588235,12780.0,2255.29411765
1464,Chris H. Q. Ding,207,0.0531400966184,40543.0,2154.4589372
1684,William W. Cohen,186,0.0698924731183,30650.0,2142.20430108
16,Jiawei Han,702,0.019943019943,98518.0,1964.74643875
3482,Jure Leskovec,111,0.0900900900901,21714.0,1956.21621622
