,Name,Information retrieval,Information retrieval coef,ndcg pos
18,University of Massachusetts Amherst,534031.0,207491.961266,3.58791009256
4,University of Illinois at Urbana-Champaign,414636.0,66958.6433692,2.34144078083
23,Purdue University Main Campus,233743.0,43533.0461285,0.0
84,Northeastern University,102558.0,30070.659654,1.3660496979
135,Universidade Federal de Minas Gerais,134151.0,28096.4720731,1.71001328453
85,Illinois Institute of Technology,76987.0,18029.295015,0.472525046324
134,Universidade Federal do Amazonas,56257.0,17106.5622041,0.798322429083
62,Lehigh University,69265.0,15499.0631977,0.54433641908
52,Virginia Polytechnic Institute and State University,148648.0,14003.7852623,0.533789384572
90,University of Illinois at Chicago,254081.0,13365.3502779,0.589521129517
21,University of Rochester,135837.0,10673.9852681,0.633719409556
3,Carnegie Mellon University,327949.0,10496.863918,3.25010143845
81,University of Iowa,42914.0,9583.56582633,0.37590471183
6,Cornell University,185788.0,8612.56249524,1.76022361346
15,University of Michigan-Ann Arbor,201535.0,8520.12585257,0.424640682452
12,Michigan State University,110868.0,6801.86634877,0.642634236287
11,Georgia Institute of Technology,290029.0,6321.96980705,1.73091827113
120,University of Louisiana at Lafayette,51906.0,5432.22345846,0.37398959776
0,Stanford University,237545.0,4981.02462817,1.87911673409
77,University of Texas at Dallas,103198.0,4256.65971519,0.593803958521
103,Florida International University,150479.0,3937.35143729,0.567859778656
28,Louisiana State University and Agricultural and Mechanical College,52240.0,3821.54452457,0.347167282777
74,University of Maryland Baltimore County,88784.0,3657.79684484,0.2
8,University of North Carolina at Chapel Hill,71703.0,3589.45808899,0.476345717341
1,University of California-Berkeley,211203.0,3384.19637795,0.236765854629
114,State University of New York at Albany,31857.0,3325.51219512,0.198239863171
43,Texas A & M University,101728.0,3274.93360202,0.0
39,Columbia University In The City of New York,132058.0,3160.09607455,0.150844200623
69,Northwestern University,132416.0,3120.19294616,0.814817700876
16,University of Southern California,257722.0,3038.51796505,1.45604557634
42,State University of New York at Buffalo,104165.0,2990.37299084,0.0
101,University of South Carolina Columbia,42507.0,2855.54783726,0.444575584928
