,Name,Information retrieval pscore,Information retrieval year,Information retrieval year combined,year ndcg pos,year score&ndcg,year combined&ndcg
0,Stanford University,209640.362726,1501.61274542,37160629.9059,1.71828754449,2580.20247709,63852647.5126
1,University of California-Berkeley,200264.854071,891.969302565,20359299.5361,0.741548623366,661.438608402,15097410.5437
2,Massachusetts Institute of Technology,167131.358938,211.61520759,2718939.70706,1.12194620421,237.420878909,3050504.08381
3,Carnegie Mellon University,600163.757923,26216.1333265,1679465325.64,2.86041251889,74988.9559641,4803963642.52
4,University of Illinois at Urbana-Champaign,404227.688565,27375.1852635,3094448260.24,2.0758149017,56825.8175069,6423501811.16
5,Princeton University,38668.4113095,54.9202914428,389048.801288,0.446856009888,24.541462296,173848.794995
6,Cornell University,200665.52199,3130.17864834,61668698.0333,1.58813079626,4971.13310923,97937958.5119
7,University of California-Santa Barbara,112133.123483,120.232605104,1889375.32148,0.573775377238,68.98650835,1084077.03783
8,University of North Carolina at Chapel Hill,19956.6833333,540.883689435,4300841.96202,0.406276563245,219.748366459,1747331.29139
9,University of California-Los Angeles,148776.238492,1144.41632901,17866471.8571,0.539072248959,616.923084226,9631319.16497
10,University of Texas at Austin,114857.465476,83.6133271471,645000.889508,0.341917340893,28.5888464814,220536.989014
11,Georgia Institute of Technology,260538.930561,1877.86187951,84139195.7489,1.58493910911,2976.29673433,133355501.951
12,Michigan State University,96164.5083333,1194.51304964,45374782.9553,0.562578284667,672.007102478,25526867.5622
13,University of Maryland College Park,35514.7190476,128.623804348,1035900.93405,0.357711529612,46.0102177979,370553.707645
14,University of California-San Diego,87039.1609649,393.839309395,3328690.15615,0.607588054742,239.292059876,2022472.37682
15,University of Michigan-Ann Arbor,24796.3820513,679.890858481,6754498.90925,0.408538148659,277.761352614,2759470.4795
16,University of Southern California,272524.900977,762.798461706,11613428.4577,1.3274262653,1012.5587132,15415969.965
17,University of Pennsylvania,104053.748026,204.078621218,1996152.38999,0.485642587517,99.1092696653,969416.611753
18,University of Massachusetts Amherst,485058.492568,56682.2816858,11158378097.4,3.28085613817,185966.411795,36609033272.9
19,University of Wisconsin-Madison,75535.3326539,126.230248129,1090914.48,0.254294913995,32.0997100915,277414.003867
20,Harvard University,41588.6833333,148.823554953,385038.17648,0.353946151216,52.675524486,136282.780636
21,University of Rochester,72044.3241758,146.413541003,2761682.84766,0.365805703917,53.5589084294,1010239.33808
22,University of Washington,158509.799655,139.835109267,1497206.0901,0.896427042599,125.351973451,1342136.02751
23,Purdue University Main Campus,187276.654611,12903.6890707,1118023097.24,1.39429313163,17991.5250441,1558851925.49
24,Duke University,60702.8380737,134.179946282,475278.858257,0.466916368268,62.6508132126,221915.478412
25,New York University,100258.46131,1264.91469629,36260586.3153,0.499661703687,632.029432166,18118026.335
26,Tufts University,20426.8833333,23.7887625041,132723.779833,0.219511237861,5.22190070446,29134.3612049
27,State University of New York at Stony Brook,17374.3166667,4.21932687511,1818.52988317,0.10589918286,0.446823268292,192.580828634
28,Louisiana State University and Agricultural and Mechanical College,42688.7666667,701.937641247,16411738.1418,0.304450469444,213.705244398,4996561.38165
29,University of California-Riverside,82365.1988304,183.686163852,2936564.25689,0.685937759485,125.997275681,2014300.30695
30,Penn State University,250.5,0.0,0.0,0.0,0.0,0.0
31,University of Minnesota-Twin Cities,8558.73333333,77.3389803039,989552.252988,0.132504834315,10.2477887713,131120.457328
32,Brown University,68114.4996241,644.719633845,5707884.61409,0.738020373526,475.81622499,4212535.13493
33,Rice University,28453.452451,42.982240749,141270.203064,0.44547609743,19.1475608677,62932.4987441
34,University of California-Irvine,144285.41382,109.032504331,1217328.92149,0.88070801492,96.0258004511,1072111.33795
35,Ohio State University Main Campus,11103.6,3.80245172926,8490.87471144,0.105969118112,0.402942456414,899.770505173
36,Yale University,54106.4415655,686.743604167,19110014.2732,0.163151219684,112.04305663,3117822.13683
37,Arizona State University,163624.234457,710.79921917,15722494.7782,1.01921236044,724.455349966,16024561.0148
38,University of Nebraska - Lincoln,2339.58333333,0.0,0.0,0.0,0.0,0.0
39,Columbia University In The City of New York,10163.8333333,108.178588962,948401.689432,0.130098215236,14.0738413508,123385.367122
40,University of Connecticut,28116.65,18.5064544449,162782.773297,0.111679481367,2.06679123434,18179.4956973
41,University of California-Davis,60605.3516213,57.3254252575,976244.21157,0.230438651147,13.2099936728,224964.399304
42,State University of New York at Buffalo,2887.08333333,0.0,0.0,0.0,0.0,0.0
43,Texas A & M University,4246.2,0.0,0.0,0.0,0.0,0.0
44,University of Oklahoma Norman Campus,18620.2421569,0.0,0.0,0.0,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,6169.0,0.0,0.0,0.0,0.0,0.0
46,University of Utah,34316.1666667,249.858123984,1779315.45239,0.259967194653,64.9549155532,462563.646559
47,University of California-Santa Cruz,71754.1416667,351.47606804,3273100.04376,0.944165181617,331.851465615,3090347.09727
48,Indiana University at Bloomington,29220.4277778,301.868623888,3768218.03346,0.383917952149,115.892783901,1446686.55066
49,University of Virginia,42628.7583333,1581.42332746,17832442.4453,0.463832777415,733.515974245,8271271.3075
50,University of South Florida,25826.2357143,0.0,0.0,0.0,0.0,0.0
51,University of Arizona,41725.4781955,176.927817232,1371612.34254,0.365798718854,64.7199688733,501734.037665
52,Virginia Polytechnic Institute and State University,19835.1,443.256028642,3453338.72363,0.477940498023,211.850007081,1650490.42941
53,University of Chicago,32243.1547541,392.12848291,7906486.60092,0.156861774859,61.5099698023,1240225.52112
54,Washington University In St. Louis,2579.82575758,0.0,0.0,0.0,0.0,0.0
55,Georgia State University,14737.2583333,0.0,0.0,0.0,0.0,0.0
56,North Carolina State University,59462.6229798,33.084935978,145173.430198,0.220961532305,7.3104981499,32077.7435865
57,University of Tennessee,49777.3464286,574.745313972,12414446.2294,0.374559462653,215.276295963,4649948.3088
58,Johns Hopkins University,37027.8772894,70.559526203,393512.325243,0.343152803123,24.2126992036,135034.85747
59,Vanderbilt University,25019.2320513,0.0,0.0,0.0,0.0,0.0
60,Florida Institute of Technology,11433.75,4.07493028624,2261.58630886,0.105922450809,0.431626602794,239.552764551
61,University of Colorado at Boulder,18279.7333333,70.2234415293,223335.851994,0.548966989892,38.5503513162,122604.010404
62,Lehigh University,66614.1666667,5465.8408843,266404411.555,0.463116505359,2531.32112919,123376280.091
63,University of Central Florida,62304.5138889,114.244560867,641154.76787,0.35174461089,40.1849086085,225522.734345
64,University of Kentucky,38546.9833333,31.8558973045,520111.235291,0.116381146355,3.70742584645,60531.141795
65,Florida State University,24132.9,197.616267046,1435484.56382,0.139085452199,27.4855478639,199655.019683
66,Oklahoma State University Main Campus,5256.91666667,0.0,0.0,0.0,0.0,0.0
67,Washington State University,30997.1871795,0.0,0.0,0.0,0.0,0.0
68,Iowa State University,30510.702381,27.2550920711,59685.3532768,0.323820926689,8.82576917146,19327.3664078
69,Northwestern University,134047.908333,1175.11451246,16313671.2868,0.762172104888,895.639501447,12433825.1831
70,Dartmouth College,23639.6333333,42.919047619,141976.209524,0.119095756685,5.11147645239,16908.7641045
71,Boston University,24577.5690476,96.0066296042,447321.246507,0.349926048384,33.595220516,156529.356148
72,University of Georgia,21175.4416667,0.0,0.0,0.0,0.0,0.0
73,Rutgers The State University of New Jersey New Brunswick Campus,1251.75,0.0,0.0,0.0,0.0,0.0
74,University of Maryland Baltimore County,27049.0320513,818.749800841,12761853.1457,0.164850856722,134.97160611,2103802.42443
75,California Institute of Technology,29273.0109649,554.676110484,4431490.56921,0.284371772289,157.734228585,1260190.82705
76,University of Delaware,81859.9111111,13895.9895093,900132950.807,0.683516161234,9498.13340595,615255419.136
77,University of Texas at Dallas,112454.453297,985.371971963,18124585.9595,0.535641230751,527.805855809,9708275.53018
78,University of Cincinnati Main Campus,11803.1666667,0.0,0.0,0.0,0.0,0.0
79,Kent State University Main Campus,14079.2083333,0.0,0.0,0.0,0.0,0.0
80,Oregon State University,54078.5668998,61.8435975871,153693.448968,0.23530022091,14.5518121741,36164.1024945
81,University of Iowa,41340.3694444,2802.49673016,85476382.4533,0.310228201134,869.413519283,26517184.368
82,Rensselaer Polytechnic Institute,77404.1535104,98.2825223336,1103131.55218,0.353259797245,34.7192639123,389692.028459
83,University of Florida,58495.0833333,194.132834287,1325898.14479,0.480440749774,93.2693244607,637015.498808
84,Northeastern University,124917.796162,9257.86005843,591626899.567,1.24560067386,11531.5967273,736930864.776
85,Illinois Institute of Technology,33640.1972222,804.590229624,13250930.7526,0.41411162591,333.19016818,5487364.47878
86,Auburn University,7550.33333333,0.0,0.0,0.0,0.0,0.0
87,Wayne State University,32847.2083333,72.7796610169,345485.050847,0.126280751421,9.19067028136,43628.1118256
88,University of Oregon,29197.1428571,0.0,0.0,0.0,0.0,0.0
89,Wright State University Main Campus,40035.8583333,135.905445511,1082113.80683,0.246220209351,33.4626672457,266438.28806
90,University of Illinois at Chicago,204594.780519,2702.26584183,208302067.103,0.49599370574,1340.30684879,103316514.176
91,Brandeis University,19978.4642857,13.8292705183,68648.498853,0.109913879274,1.5200287702,7545.42281529
92,North Dakota State University Main Campus,20717.3333333,65.2785190589,571513.434361,0.124824819983,8.14837939027,71339.0615618
93,City University of New York Grad. Center,1131.5,0.0,0.0,0.0,0.0,0.0
94,State University of New York at Binghamton,4835.75,22.6758530184,83628.5459318,0.11422191316,2.5900793143,9552.21251114
95,University of North Carolina at Charlotte,41896.7844322,170.109893958,2266104.01637,0.471310527504,80.1745838551,1068038.67933
96,Case Western Reserve University,42843.4297619,30.9543372633,185665.987699,0.220251738306,6.81774659033,40893.256535
97,University of New Mexico Main Campus,5492.91666667,0.0,0.0,0.0,0.0,0.0
98,Syracuse University Main Campus,28211.6833333,0.0,0.0,0.0,0.0,0.0
99,New Mexico State University Main Campus,416.5,0.0,0.0,0.0,0.0,0.0
100,New Jersey Institute of Technology,173.5,0.0,0.0,0.0,0.0,0.0
101,University of South Carolina Columbia,34512.1555556,527.388208996,7370327.2997,0.387095996338,204.149864218,2853024.18941
102,College of William and Mary,11029.4285714,0.0,0.0,0.0,0.0,0.0
103,Florida International University,97293.15,935.850071471,77571863.3886,0.509896305333,477.186493788,39553606.5396
104,George Washington University,23884.7666667,36.1293201413,241381.579544,0.229145656307,8.27887677573,55311.540465
105,Old Dominion University,48598.7,602.337726275,12772270.7397,0.289095262328,174.132982988,3692402.96003
106,Texas Tech University,10413.0083333,0.0,0.0,0.0,0.0,0.0
107,University of Kansas,59528.2638889,572.77678002,8100448.50895,0.283748888951,162.524774947,2298493.26442
108,University of Arkansas Main Campus,17694.7666667,309.496229016,4720468.9253,0.251505917004,77.840132888,1187225.86575
109,University of Alabama,9257.95,6.64866002634,3071.68093217,0.106740599914,0.709681959836,327.873065444
110,Mississippi State University,10511.9666667,0.0,0.0,0.0,0.0,0.0
111,University of Houston,42854.4166667,13.0287653413,34395.940501,0.109171839127,1.42237427386,3755.06808299
112,University of North Texas,18937.8666667,0.0,0.0,0.0,0.0,0.0
113,Clemson University,11977.7277778,0.0,0.0,0.0,0.0,0.0
114,State University of New York at Albany,30274.722619,808.09655119,15740104.6241,0.164272049962,132.747677031,2585659.25322
115,Brigham Young University,27917.9583333,100.671832693,1107692.17512,0.133766139367,13.4664824023,148171.705873
116,Kansas State University,8405.5,0.0,0.0,0.0,0.0,0.0
117,University of Alabama In Huntsville,3745.65,0.0,0.0,0.0,0.0,0.0
118,University of Memphis,9176.35,21.6809656557,92767.3288504,0.222710770133,4.82858455841,20660.2832515
119,Temple University,28167.2333333,0.0,0.0,0.0,0.0,0.0
120,University of Louisiana at Lafayette,42388.2,903.981986879,30506419.1854,0.300495084628,271.642143649,9167029.01482
121,University of Alabama at Birmingham,13517.3333333,0.0,0.0,0.0,0.0,0.0
122,Oregon Health and Science University,16873.8333333,81.0739613865,618531.00186,0.238838567895,19.3635888311,147729.058683
123,Western Michigan University,2530.0,0.0,0.0,0.0,0.0,0.0
124,Southern Methodist University,7780.0,0.0,0.0,0.0,0.0,0.0
125,University of Southern Mississippi,7000.41666667,0.0,0.0,0.0,0.0,0.0
126,Universidade de Brasília,3516.66666667,5.98527330639,3081.35078921,0.212393671462,1.27123417225,654.459407183
127,Universidade Federal de Uberlândia,4453.25,0.0,0.0,0.0,0.0,0.0
128,USP - São Carlos,35353.3940476,7.69118335058,14423.2016117,0.317477896119,2.44178070881,4579.04770298
129,Universidade de São Paulo,8492.96666667,0.0,0.0,0.0,0.0,0.0
