,0
0,University of Massachusetts Amherst 
1,University of Massachusetts Amherst 
2,VU Amsterdam 
3,University of Illinois at Urbana-Champaign 
4,University of Waterloo 
5,Purdue University Main Campus 
6,University of Delaware 
7,Carnegie Mellon University 
8,Carnegie Mellon University 
9,University College London 
10,University of Melbourne 
11,Northeastern University 
12,University of Waterloo 
13,Emory University 
14,University of Melbourne 
15,University of Montreal 
16,University of Waterloo 
17,Georgetown University 
18,University of Illinois at Urbana-Champaign 
19,Lehigh University 
20,Georgetown University 
21,TU Delft 
22,University of Melbourne 
23,Carnegie Mellon University 
24,University of Otago 
25,University of Illinois at Chicago 
26,Nanyang Technological University 
27,Universidade Federal de Minas Gerais 
28,National University of Singapore 
29,University of Iowa 
30,DIKU 
31,Monash University 
32,Universidade Federal do Amazonas 
33,Universidade Federal de Minas Gerais 
34,Georgetown University 
35,Bar-Ilan University 
36,Universidade Federal de Minas Gerais 
37,Max Planck Institute 
38,Georgia Institute of Technology 
39,Carnegie Mellon University 
40,University of Louisiana at Lafayette 
41,TU Delft 
42,University of Massachusetts Amherst 
43,Michigan State University 
44,Cornell University 
45,Universidade Federal do Amazonas 
46,Pennsylvania State University 
47,IIIT Hyderabad 
48,Cornell University 
49,University of Michigan 
50,Illinois Institute of Technology 
51,Universidade Federal do Amazonas 
52,University of Maryland Baltimore County 
53,State University of New York at Albany 
54,Florida International University 
55,National University of Singapore 
56,New York University 
57,University of Virginia 
58,University College London 
59,Louisiana State University and Agricultural and Mechanical College 
60,Yale University 
61,Stony Brook University 
62,University of Texas at Dallas 
63,University of North Carolina at Chapel Hill 
64,Texas A&M University 
65,University of California-Berkeley 
66,University at Buffalo 
67,Carnegie Mellon University 
68,University of South Carolina Columbia 
69,Northwestern University 
70,Nanyang Technological University 
71,University of Chicago 
72,Michigan State University 
73,University of Texas at Arlington 
74,Carnegie Mellon University 
75,University of Illinois at Urbana-Champaign 
76,Stanford University 
77,University of California-Los Angeles 
78,California Institute of Technology 
79,Virginia Polytechnic Institute and State University 
80,Carnegie Mellon University 
81,National University of Singapore 
82,Northeastern University 
83,Stanford University 
84,University of Illinois at Urbana-Champaign 
85,University of Kansas 
86,ETH Zurich 
87,University of Arkansas Main Campus 
88,Pennsylvania State University 
89,Columbia University 
90,University of Illinois at Chicago 
91,Universidade Federal de Minas Gerais 
92,Old Dominion University 
93,University of Michigan-Ann Arbor 
94,Brown University 
95,University of Tennessee 
96,Simon Fraser University 
97,IIT Bombay 
98,National University of Singapore 
