,0
0,University of Massachusetts Amherst 
1,VU Amsterdam 
2,University of Massachusetts Amherst 
3,University of Illinois at Urbana-Champaign 
4,University of Waterloo 
5,Purdue University Main Campus 
6,University of Delaware 
7,Carnegie Mellon University 
8,University College London 
9,Emory University 
10,Northeastern University 
11,Carnegie Mellon University 
12,University of Melbourne 
13,University of Waterloo 
14,University of Montreal 
15,University of Melbourne 
16,University of Illinois at Urbana-Champaign 
17,University of Waterloo 
18,Lehigh University 
19,Nanyang Technological University 
20,Georgetown University 
21,TU Delft 
22,University of Otago 
23,University of Melbourne 
24,National University of Singapore 
25,Georgetown University 
26,Universidade Federal de Minas Gerais 
27,DIKU 
28,Universidade Federal do Amazonas 
29,Carnegie Mellon University 
30,Monash University 
31,Georgetown University 
32,University of Iowa 
33,University of Illinois at Chicago 
34,Universidade Federal de Minas Gerais 
35,Max Planck Institute 
36,Universidade Federal de Minas Gerais 
37,IIIT Hyderabad 
38,Georgia Institute of Technology 
39,University of Virginia 
40,Universidade Federal do Amazonas 
41,TU Delft 
42,Carnegie Mellon University 
43,Texas A&M University 
44,Cornell University 
45,University of Michigan 
46,Universidade Federal do Amazonas 
47,University of Massachusetts Amherst 
48,New York University 
49,Pennsylvania State University 
50,Michigan State University 
51,Bar-Ilan University 
52,Florida International University 
53,Nanyang Technological University 
54,National University of Singapore 
55,Cornell University 
56,Northwestern University 
57,University College London 
58,Stanford University 
59,Illinois Institute of Technology 
60,Stony Brook University 
61,University of Louisiana at Lafayette 
62,University of California-Los Angeles 
63,University of Illinois at Urbana-Champaign 
64,University of Texas at Dallas 
65,University of Maryland Baltimore County 
66,State University of New York at Albany 
67,Carnegie Mellon University 
68,Yale University 
69,University of California-Berkeley 
70,University at Buffalo 
71,Carnegie Mellon University 
72,California Institute of Technology 
73,University of Texas at Arlington 
74,Northeastern University 
75,University of Michigan-Ann Arbor 
76,Michigan State University 
77,Louisiana State University and Agricultural and Mechanical College 
78,University of Tennessee 
79,Texas A&M University 
80,Pennsylvania State University 
81,University of Chicago 
82,University of North Carolina at Chapel Hill 
83,University of Illinois at Urbana-Champaign 
84,Brown University 
85,IIT Bombay 
86,National University of Singapore 
87,Stanford University 
88,Simon Fraser University 
89,Old Dominion University 
90,University of South Carolina Columbia 
91,University of Kansas 
92,IIT Madras 
93,Carnegie Mellon University 
94,TU Delft 
95,Universidade Federal de Minas Gerais 
96,Universidade Federal de Minas Gerais 
97,University of Illinois at Chicago 
98,University of Virginia 
99,University of Illinois at Chicago 
100,Carnegie Mellon University 
101,Arizona State University 
102,University of Oxford 
103,Cornell University 
104,Universidade Federal de Minas Gerais 
105,Virginia Polytechnic Institute and State University 
106,ETH Zurich 
107,IIT Delhi 
108,Columbia University 
109,ETH Zurich 
110,National University of Singapore 
111,Simon Fraser University 
112,University of Arkansas Main Campus 
113,University of Massachusetts Amherst 
114,Louisiana State University and Agricultural and Mechanical College 
115,University of Texas at Dallas 
116,Rutgers University 
117,Indiana University at Bloomington 
118,Athens University of Economics and Business 
119,University of California-Los Angeles 
120,Athens University of Economics and Business 
121,University of Melbourne 
122,University College London 
123,University of Southern California 
124,University of Melbourne 
125,University of California-San Diego 
126,National University of Singapore 
127,Binghamton University 
128,National University of Singapore 
129,Northwestern University 
130,TU Delft 
131,University of Miami 
132,University of Southern California 
133,Columbia University 
134,IISc Bangalore 
135,University of Edinburgh 
136,Worcester Polytechnic Institute 
137,National University of Singapore 
138,University of Sydney 
139,University of Queensland 
140,Australian National University 
141,University of Queensland 
142,Monash University 
143,University of Queensland 
144,Florida State University 
145,EPFL 
146,IIT Bombay 
147,University of Illinois at Urbana-Champaign 
148,Carnegie Mellon University 
149,University of Notre Dame 
150,Binghamton University 
151,University of Utah 
152,Bar-Ilan University 
153,University of Arizona 
154,University of California-Santa Cruz 
155,Max Planck Institute 
156,Nanyang Technological University 
157,Concordia University 
158,IIT Kharagpur 
159,University of Minnesota 
160,Wright State University Main Campus 
161,Arizona State University 
162,University of Michigan-Ann Arbor 
163,Simon Fraser University 
164,Bar-Ilan University 
165,Old Dominion University 
166,Bar-Ilan University 
167,University of Pennsylvania 
168,Universidade Federal do Amazonas 
169,University of California-Riverside 
170,IISc Bangalore 
171,Purdue University Main Campus 
172,Imperial College London 
173,Stanford University 
174,University of Illinois at Urbana-Champaign 
175,University College London 
176,Brigham Young University 
177,University of Minnesota 
178,Rochester Institute of Technology 
179,University of Toronto 
180,University of Louisiana at Lafayette 
181,University of Alberta 
182,University of Queensland 
183,University College London 
184,VU Amsterdam 
185,University of Minnesota-Twin Cities 
186,Cornell University 
187,University of Adelaide 
188,National University of Singapore 
189,IIT Delhi 
190,Massachusetts Institute of Technology 
191,Cornell University 
192,University of Cambridge 
193,University of North Carolina at Charlotte 
194,University of Athens 
195,Harvard University 
196,Stanford University 
197,Athens University of Economics and Business 
198,University of Kansas 
199,Nanyang Technological University 
200,IIT Kharagpur 
201,Nanyang Technological University 
202,University of California-San Diego 
203,TU Munich 
204,Columbia University In The City of New York 
205,Cornell University 
206,Carnegie Mellon University 
207,University of Southern California 
208,University of Pittsburgh 
209,Emory University 
210,Cornell University 
211,University of Rochester 
212,University of Alberta 
213,Hebrew University of Jerusalem 
214,University of Texas at Arlington 
215,Georgia Institute of Technology 
216,University of Central Florida 
217,Bar-Ilan University 
218,University of Minnesota 
219,Max Planck Institute 
220,University of Wisconsin-Madison 
221,University of Rochester 
222,Arizona State University 
223,Simon Fraser University 
224,University of Michigan 
225,Technion-Israel Institute of Technology 
226,IIT Bombay 
227,TU Darmstadt 
228,University of Alberta 
229,TU Delft 
230,University of Edinburgh 
231,Boise State University 
232,University of North Carolina at Chapel Hill 
233,University of California-Santa Barbara 
234,Purdue University Main Campus 
235,University of South Carolina Columbia 
236,University of Virginia 
237,University of Notre Dame 
238,Concordia University 
239,Hebrew University of Jerusalem 
240,Wayne State University 
241,University of Florida 
242,University of Notre Dame 
243,University of Wisconsin-Madison 
244,University of Southern California 
245,University of California-Santa Cruz 
246,Illinois Institute of Technology 
247,Lehigh University 
248,Texas A&M University 
249,University of British Columbia 
250,Georgetown University 
251,University of Waikato 
252,Pontifícia Universidade Católica do Rio de Janeiro 
253,University of Maryland-College Park 
254,University of Oxford 
255,University of Delaware 
256,North Dakota State University Main Campus 
257,University of Melbourne 
258,University of California-Berkeley 
259,Stanford University 
260,Nanyang Technological University 
261,University of Texas at Arlington 
262,Universidade Federal do Rio Grande do Sul 
263,Georgia Institute of Technology 
264,University of Texas at Arlington 
265,University of California-Santa Cruz 
266,Australian National University 
267,University of Pennsylvania 
268,University of Maryland College Park 
269,Duke University 
270,University of North Carolina at Charlotte 
271,Universidade Federal de Minas Gerais 
272,Arizona State University 
273,University of Florida 
274,California Institute of Technology 
275,Politecnico di Milano 
276,National University of Singapore 
277,University of Waikato 
278,Rensselaer Polytechnic Institute 
279,University of Waterloo 
280,Oregon Health and Science University 
281,University of North Carolina at Chapel Hill 
282,Georgia Institute of Technology 
283,George Washington University 
284,University of Warsaw 
285,University of Washington 
286,University College London 
287,University of Otago 
288,Arizona State University 
289,University of Utah 
290,University of Massachusetts Amherst 
291,University of Melbourne 
292,Northeastern University 
293,University of California-Davis 
294,University of Texas at Austin 
295,University of Melbourne 
296,Brown University 
297,Boston University 
298,University of Illinois at Urbana-Champaign 
299,Columbia University 
300,Duke University 
301,University of Washington 
302,University of Southern California 
303,Universidade Federal de Minas Gerais 
304,University of Illinois at Urbana-Champaign 
305,University of Queensland 
306,University of Florida 
307,Indiana University at Bloomington 
308,Politecnico di Milano 
309,University of California-Irvine 
310,National University of Singapore 
311,Northeastern University 
312,University of Warsaw 
313,University of Michigan 
314,Arizona State University 
315,University of Illinois at Urbana-Champaign 
316,Arizona State University 
317,University of Illinois at Urbana-Champaign 
318,Columbia University 
319,University of Edinburgh 
320,University of Alberta 
321,Cornell University 
322,University of California-Los Angeles 
323,Athens University of Economics and Business 
324,Illinois Institute of Technology 
325,University of Colorado at Boulder 
326,Indiana University 
327,Northeastern University 
328,University of Athens 
329,Georgia Institute of Technology 
330,Carnegie Mellon University 
331,IIT Madras 
332,ETH Zurich 
333,Purdue University Main Campus 
334,National University of Singapore 
335,Dartmouth College 
336,Arizona State University 
337,University of Massachusetts Amherst 
338,Georgia Institute of Technology 
339,Boston University 
340,Massachusetts Institute of Technology 
341,Hebrew University of Jerusalem 
342,University of Waterloo 
343,Hebrew University of Jerusalem 
344,TU Delft 
345,Technion-Israel Institute of Technology 
346,Bar-Ilan University 
347,University of California-Riverside 
348,University of Southern California 
349,University of Maryland-College Park 
350,University of Maryland College Park 
351,Columbia University 
352,Brown University 
353,Brown University 
354,Indiana University at Bloomington 
355,Texas A&M University 
356,IIT Delhi 
357,Oregon State University 
358,Northwestern University 
359,Technion-Israel Institute of Technology 
360,University of Auckland 
361,Pontifícia Universidade Católica do Rio de Janeiro 
362,Georgia Institute of Technology 
363,Oregon State University 
364,University of Texas at Arlington 
365,Universidade Federal do Ceará 
366,Florida International University 
367,University of Memphis 
368,University of Minnesota 
369,University of Bristol 
370,University of California-Berkeley 
371,Stony Brook University 
372,VU Amsterdam 
373,University of California-Berkeley 
374,University of Texas at Dallas 
375,University of Massachusetts Amherst 
