,Name,Algorithm pscore norm,Algorithm year norm,Algorithm year combined norm
0,Stanford University,273.079716868,8.53594377621,747791.367867
1,University of California-Berkeley,334.073113324,8.15288265067,493448.028174
2,Massachusetts Institute of Technology,425.75868962,19.5978524268,1893311.1522
3,Carnegie Mellon University,333.231277995,13.6499395428,1091653.76511
4,University of Illinois at Urbana-Champaign,311.772979359,27.801554522,2492446.50413
5,Princeton University,273.456542485,11.1565079811,1116826.97451
6,Cornell University,288.52741552,7.4528216799,352890.285897
7,University of California-Santa Barbara,159.19233719,6.23181124052,583502.021544
8,University of North Carolina at Chapel Hill,5.61420209489,0.00305626460894,3.32521589453
9,University of California-Los Angeles,159.369370116,1.44429457261,63372.2916573
10,University of Texas at Austin,173.052229606,4.32510459948,145949.111223
11,Georgia Institute of Technology,337.141614135,11.1079084539,537209.517495
12,Michigan State University,41.3367888684,0.910534214269,18363.1112683
13,University of Maryland College Park,21.587245841,0.0441652370412,425.648919735
14,University of California-San Diego,223.297468834,2.98384601928,102197.02693
15,University of Michigan-Ann Arbor,8.42411804667,0.0433376349848,248.628011908
16,University of Southern California,150.015414426,3.22896015102,113668.68771
17,University of Pennsylvania,148.526688043,5.64962187728,437510.337729
18,University of Massachusetts Amherst,118.463596727,3.21966028237,87937.9432391
19,University of Wisconsin-Madison,107.471865558,1.69648084246,51085.1725095
20,Harvard University,156.975889006,3.59993552937,238412.033292
21,University of Rochester,56.4933103728,1.08227029075,29474.8365834
22,University of Washington,179.125830603,6.65059627058,195316.756435
23,Purdue University Main Campus,146.030403186,3.44108788649,147216.04129
24,Duke University,178.020233757,10.4939796784,1502620.68011
25,New York University,266.630919007,14.5163484882,850799.393331
26,Tufts University,56.6323475046,4.87718379993,248676.493004
27,State University of New York at Stony Brook,30.1904600534,0.0167330411434,39.5027943185
28,Louisiana State University and Agricultural and Mechanical College,18.4479769973,0.272748853542,4630.45728658
29,University of California-Riverside,110.055121643,3.99412875952,233407.774337
30,Penn State University,3.95748613678,0.0,0.0
31,University of Minnesota-Twin Cities,1.97187307455,0.0,0.0
32,Brown University,175.57503064,6.05518755421,357031.092715
33,Rice University,46.30048079,0.0614544507891,1084.35513614
34,University of California-Irvine,189.073431118,12.1213306188,1377528.3451
35,Ohio State University Main Campus,12.7448141302,0.0,0.0
36,Yale University,77.6321596921,0.694408892174,24124.9068117
37,Arizona State University,56.151465976,0.206845985557,3173.32395455
38,University of Nebraska - Lincoln,3.38329225714,0.0,0.0
39,Columbia University In The City of New York,8.20466214829,0.0,0.0
40,University of Connecticut,45.5588108441,1.42696326202,22939.8561403
41,University of California-Davis,86.5881623543,2.19468522239,47462.3139171
42,State University of New York at Buffalo,22.7302115424,0.0742466868852,821.391097011
43,Texas A & M University,2.43901211748,0.0347166680298,97.901003844
44,University of Oklahoma Norman Campus,25.4776865645,0.139035594538,2849.67354566
45,University of Pittsburgh Pittsburgh Campus,5.85828712261,0.0,0.0
46,University of Utah,37.1608133087,2.1844429802,35988.7431001
47,University of California-Santa Cruz,78.8430808614,1.13120498388,29778.7568982
48,Indiana University at Bloomington,10.8982747998,0.0,0.0
49,University of Virginia,18.1855536484,0.0248794576646,136.737499325
50,University of South Florida,9.34029134759,0.00309363578119,2.16245141105
51,University of Arizona,61.1335446596,2.75875820364,112207.666733
