,Name,Algorithm pscore 5 years,Algorithm year 5 years,Algorithm year combined 5 years
0,Stanford University,113864.980159,3754.4034763,322991368.564
1,University of California-Berkeley,130682.238492,3233.4637436,200400874.696
2,Massachusetts Institute of Technology,187318.42619,9856.89493153,1026937013.37
3,Carnegie Mellon University,154731.016667,6655.58195896,546077914.565
4,University of Illinois at Urbana-Champaign,129220.529762,11399.661706,1021873764.18
5,Princeton University,105418.107143,4397.40299927,432399702.227
6,Cornell University,120967.952381,3312.67131475,150254240.525
7,University of California-Santa Barbara,65825.8777778,2486.62036795,231109258.901
8,University of North Carolina at Chapel Hill,2314.0,2.05952380952,2240.76190476
9,University of California-Los Angeles,67766.2833333,668.531369758,31615903.7181
10,University of Texas at Austin,78055.0761905,1968.41640475,68497283.3925
11,Georgia Institute of Technology,142620.675,5044.61353391,240819350.369
12,Michigan State University,23623.5357143,570.528591075,10295696.4677
13,University of Maryland College Park,7493.75,15.6701395631,137290.831736
14,University of California-San Diego,91160.3583333,1261.15397164,44422644.8868
15,University of Michigan-Ann Arbor,4430.39285714,20.0904661864,115259.004512
16,University of Southern California,68086.0333333,1776.24142804,63142033.5928
17,University of Pennsylvania,74288.7833333,2899.37885536,224879982.823
18,University of Massachusetts Amherst,53382.4309524,1474.69088382,37877173.7721
19,University of Wisconsin-Madison,47823.8095238,874.490948926,25215870.125
20,Harvard University,67871.9166667,1627.16129815,109130816.203
21,University of Rochester,27630.8547619,512.964549829,14036323.3248
22,University of Washington,73765.9126984,2842.72442169,82543016.5445
23,Purdue University Main Campus,59041.5944444,1462.71964404,60964717.6408
24,Duke University,77684.0277778,5073.11540003,730182495.529
25,New York University,116242.808333,6580.60713912,380938785.057
26,Tufts University,23655.1666667,2038.6856006,104023104.964
27,State University of New York at Stony Brook,12086.8333333,14.9025797401,29723.3813373
28,Louisiana State University and Agricultural and Mechanical College,8127.08333333,148.003806445,2512660.62202
29,University of California-Riverside,52173.3333333,1932.7197988,113411382.13
30,Penn State University,1665.0,0.0,0.0
31,University of Minnesota-Twin Cities,1227.16666667,0.0,0.0
32,Brown University,73817.6333333,2595.59182115,152670914.118
33,Rice University,18260.7444444,25.4361536877,444351.353836
34,University of California-Irvine,81535.8309524,5317.35594936,601802394.966
35,Ohio State University Main Campus,4908.83333333,0.0,0.0
36,Yale University,29920.3166667,308.62513897,10676308.4463
37,Arizona State University,27873.5666667,98.1453678113,1535562.03418
38,University of Nebraska - Lincoln,1270.0,0.0,0.0
39,Columbia University In The City of New York,3201.0,0.0,0.0
40,University of Connecticut,19860.9166667,513.444384836,9284811.06858
41,University of California-Davis,33055.2777778,872.119494301,18119986.3631
42,State University of New York at Buffalo,10634.0333333,47.3965152041,524347.647703
43,Texas A & M University,1051.16666667,18.3816487558,51836.2494913
44,University of Oklahoma Norman Campus,11671.5333333,59.354622295,1216532.33856
45,University of Pittsburgh Pittsburgh Campus,2134.66666667,0.0,0.0
