,Name,Algorithm pscore,Algorithm year,Algorithm year combined
0,Stanford University,443208.380476,13853.8367488,1213665390.05
1,University of California-Berkeley,542200.662924,13232.128542,800866149.727
2,Massachusetts Institute of Technology,691006.353253,31807.3144887,3072844000.03
3,Carnegie Mellon University,540834.364186,22153.851878,1771754060.78
4,University of Illinois at Urbana-Champaign,506007.545499,45121.9229893,4045240676.21
5,Princeton University,443819.968452,18107.0124533,1812610179.63
6,Cornell University,468279.995388,12095.9295865,572740934.01
7,University of California-Santa Barbara,258369.163259,10114.2296434,947023780.966
8,University of North Carolina at Chapel Hill,9111.85,4.96031746032,5396.82539683
9,University of California-Los Angeles,258656.487698,2344.09009135,102853229.36
10,University of Texas at Austin,280863.768651,7019.64476495,236875407.515
11,Georgia Institute of Technology,547180.839741,18028.1354207,871891046.894
12,Michigan State University,67089.6083333,1477.79702976,29803329.5885
13,University of Maryland College Park,35036.1,71.6801797178,690828.196729
14,University of California-San Diego,362411.791917,4842.7820893,165865774.708
15,University of Michigan-Ann Arbor,13672.3435897,70.3369815803,403523.263326
16,University of Southern California,243475.017613,5240.6023251,184484280.153
17,University of Pennsylvania,241058.814693,9169.33630683,710079278.134
18,University of Massachusetts Amherst,192266.417488,5225.50863828,142723281.877
19,University of Wisconsin-Madison,174426.8378,2753.38840732,82911234.9829
20,Harvard University,254771.867857,5842.69536416,386942730.033
21,University of Rochester,91688.642735,1756.52468188,47837659.7749
22,University of Washington,290721.223068,10793.9177472,316999095.694
23,Purdue University Main Campus,237007.344371,5584.88563977,238931635.013
24,Duke University,288926.839388,17031.7290181,2438753363.82
25,New York University,432741.981548,23560.0335963,1380847415.38
26,Tufts University,91914.3,7915.66930728,403601948.145
27,State University of New York at Stony Brook,48999.1166667,27.1577257757,64113.0351789
28,Louisiana State University and Agricultural and Mechanical College,29941.0666667,442.671389298,7515232.17611
29,University of California-Riverside,178619.462427,6482.47097671,378820817.749
30,Penn State University,6423.0,0.0,0.0
31,University of Minnesota-Twin Cities,3200.35,0.0,0.0
32,Brown University,284958.274728,9827.56940048,579461463.477
33,Rice University,75145.6803221,99.7405736307,1759908.38596
34,University of California-Irvine,306866.178704,19672.9195944,2235728504.1
35,Ohio State University Main Campus,20684.8333333,0.0,0.0
36,Yale University,125996.99518,1127.025632,39154723.7554
37,Arizona State University,91133.8292791,335.711034559,5150304.77824
38,University of Nebraska - Lincoln,5491.08333333,0.0,0.0
39,Columbia University In The City of New York,13316.1666667,0.0,0.0
40,University of Connecticut,73941.95,2315.96137425,37231386.5157
41,University of California-Davis,140532.587501,3561.97411593,77031335.4875
42,State University of New York at Buffalo,36891.1333333,120.502372815,1333117.75045
43,Texas A & M University,3958.51666667,56.3451522124,158893.329239
44,University of Oklahoma Norman Campus,41350.2852941,225.654769936,4625020.16461
45,University of Pittsburgh Pittsburgh Campus,9508.0,0.0,0.0
46,University of Utah,60312.0,3545.35095687,58409730.0515
47,University of California-Santa Cruz,127962.320238,1835.94568884,48330922.4459
48,Indiana University at Bloomington,17687.9,0.0,0.0
49,University of Virginia,29515.1535714,40.3793597897,221924.961404
50,University of South Florida,15159.2928571,5.02097087287,3509.65864014
51,University of Arizona,99219.7429825,4477.4645645,182113043.108
