,Name,Artificial intelligence pscore norm,Artificial intelligence year norm,Artificial intelligence year combined norm
0,Stanford University,281.77552985,13.1944464939,1049599.42082
1,University of California-Berkeley,205.026693634,4.93261658581,348495.76295
2,Massachusetts Institute of Technology,214.203318192,8.87458896743,387014.766911
3,Carnegie Mellon University,625.105993737,29.7858857119,3936977.16995
4,University of Illinois at Urbana-Champaign,194.47654275,9.01220984725,556387.083473
5,Princeton University,24.8177271653,0.0430784133785,585.185289786
6,Cornell University,223.621097428,12.356607854,1158042.45145
7,University of California-Santa Barbara,32.6191136736,0.0738159303895,945.004874042
8,University of North Carolina at Chapel Hill,8.86899090157,0.0,0.0
9,University of California-Los Angeles,252.132371893,31.5155876848,3382585.92046
10,University of Texas at Austin,236.629173264,15.9341888531,1651276.31057
11,Georgia Institute of Technology,222.183054594,5.00803652423,107494.640472
12,Michigan State University,64.0728894403,1.28251297517,52876.1201083
13,University of Maryland College Park,41.0040984285,0.989815541239,17839.7447831
14,University of California-San Diego,79.1612596006,0.578949193563,8218.93028945
15,University of Michigan-Ann Arbor,22.387492524,0.464580413349,5842.74333425
16,University of Southern California,459.115106406,23.8738957408,2933517.88742
17,University of Pennsylvania,143.657600733,3.36280765404,106044.41484
18,University of Massachusetts Amherst,288.452984481,20.1987103096,1779843.69883
19,University of Wisconsin-Madison,68.1901106894,1.96410633042,66464.3036574
20,Harvard University,101.749997637,6.1477720079,345633.809677
21,University of Rochester,132.11958183,9.25731793217,681348.653906
22,University of Washington,221.070302296,12.1640898327,1137914.072
23,Purdue University Main Campus,67.1991087461,2.652744529,41805.4654246
24,Duke University,86.8338634592,7.83298879481,949944.203598
25,New York University,56.6744399149,1.79139441649,44869.0181724
26,Tufts University,33.1405364528,2.2692243798,81178.3284658
27,State University of New York at Stony Brook,16.9270057899,0.513213560945,5060.45287958
28,Louisiana State University and Agricultural and Mechanical College,11.0179924377,0.0395385782755,218.330046777
29,University of California-Riverside,54.6208712435,1.11131855367,24915.7078036
30,Penn State University,0.322580645161,0.0,0.0
31,University of Minnesota-Twin Cities,3.30224152192,0.00961125705001,87.0203213308
32,Brown University,133.647628107,8.00753630893,568261.596466
