,Name,Artificial intelligence pscore,Artificial intelligence year,Artificial intelligence year combined
0,Stanford University,567777.692647,26586.8096853,2114942832.95
1,University of California-Berkeley,413128.787673,9939.22242042,702218962.345
2,Massachusetts Institute of Technology,431619.686158,17882.2967694,779834755.325
3,Carnegie Mellon University,1259588.57738,60018.5597096,7933008997.45
4,University of Illinois at Urbana-Champaign,391870.23364,18159.6028422,1121119973.2
5,Princeton University,50007.7202381,86.8030029577,1179148.35892
6,Cornell University,450596.511318,24898.5648257,2333455539.68
7,University of California-Santa Barbara,65727.5140523,148.739099735,1904184.82119
8,University of North Carolina at Chapel Hill,17871.0166667,0.0,0.0
9,University of California-Los Angeles,508046.729365,63503.9091849,6815910629.73
10,University of Texas at Austin,476807.784127,32107.3905391,3327321765.81
11,Georgia Institute of Technology,447698.855006,10091.1935963,216601700.551
12,Michigan State University,129106.872222,2584.26364498,106545382.018
13,University of Maryland College Park,82623.2583333,1994.4783156,35947085.7379
14,University of California-San Diego,159509.938095,1166.58262503,16561144.5332
15,University of Michigan-Ann Arbor,45110.7974359,936.129532899,11773127.8185
16,University of Southern California,925116.939408,48105.8999176,5911038543.14
17,University of Pennsylvania,289470.065476,6776.05742289,213679495.902
18,University of Massachusetts Amherst,581232.763729,40700.4012739,3586385053.14
19,University of Wisconsin-Madison,137403.073039,3957.67425579,133925571.87
20,Harvard University,205026.245238,12387.7605959,696452126.5
21,University of Rochester,266220.957387,18653.4956333,1372917537.62
22,University of Washington,445456.659127,24510.6410128,2292896855.09
23,Purdue University Main Campus,135406.204123,5345.28022594,84238012.8306
24,Duke University,174970.23487,15783.4724215,1914137570.25
25,New York University,114198.996429,3609.65974922,90411071.6173
26,Tufts University,66778.1809524,4572.48712529,163574331.859
27,State University of New York at Stony Brook,34107.9166667,1034.1253253,10196812.5523
28,Louisiana State University and Agricultural and Mechanical College,22201.2547619,79.6702352252,439935.044256
29,University of California-Riverside,110061.055556,2239.30688564,50205151.2243
30,Penn State University,650.0,0.0,0.0
31,University of Minnesota-Twin Cities,6654.01666667,19.3666829558,175345.947482
32,Brown University,269299.970635,16135.1856625,1145047116.88
33,Rice University,78583.4767507,1399.90142971,38476695.389
34,University of California-Irvine,282115.731128,18748.050965,2258744587.19
35,Ohio State University Main Campus,41738.0166667,1078.79579748,40776948.5457
36,Yale University,107984.729304,5305.00963315,203289170.676
37,Arizona State University,368425.849451,38461.7536413,3481894090.64
38,University of Nebraska - Lincoln,4990.91666667,52.5026041667,246079.705729
39,Columbia University In The City of New York,23837.8333333,842.869194408,19160102.5273
40,University of Connecticut,48682.0833333,454.382430613,4536765.54009
41,University of California-Davis,67597.271628,941.052008832,17927299.8902
42,State University of New York at Buffalo,3708.58333333,0.0,0.0
43,Texas A & M University,14382.05,646.173256246,4673001.62405
44,University of Oklahoma Norman Campus,25451.7242297,331.051160089,1975045.78477
45,University of Pittsburgh Pittsburgh Campus,35625.8333333,1675.13997209,72094674.1188
46,University of Utah,108499.666667,2949.71932234,44887269.4244
47,University of California-Santa Cruz,142113.17381,2613.04163469,59247499.7641
48,Indiana University at Bloomington,24071.5833333,50.5489875988,233434.905462
49,University of Virginia,34701.947619,414.180516625,3039818.05353
50,University of South Florida,43434.5690476,60.7997176854,624139.990955
51,University of Arizona,28057.3404762,114.286231565,404144.199434
52,Virginia Polytechnic Institute and State University,6566.7,0.0,0.0
53,University of Chicago,27309.5321051,4.07050770234,19237.2194013
54,Washington University In St. Louis,2615.83333333,0.0,0.0
55,Georgia State University,13248.6,30.555099734,122382.34338
56,North Carolina State University,217533.436111,5594.41708142,285318395.515
57,University of Tennessee,57875.9,202.008683127,2010423.46432
58,Johns Hopkins University,98747.6168498,1047.33703097,15546755.9895
59,Vanderbilt University,102822.276557,3723.11272744,109422440.709
60,Florida Institute of Technology,35345.6666667,540.362659356,9476314.9048
61,University of Colorado at Boulder,32269.8,240.062365307,1916368.66567
62,Lehigh University,47567.6666667,1399.75657228,19872318.0641
63,University of Central Florida,108749.375,1146.77288961,21281114.7715
64,University of Kentucky,102023.808333,6281.78035576,326055847.74
65,Florida State University,17401.9833333,126.879528134,553448.501722
66,Oklahoma State University Main Campus,5115.33333333,0.0,0.0
67,Washington State University,89823.0837607,3668.90669634,129339890.412
68,Iowa State University,72046.6904762,2427.99274224,70815230.3105
69,Northwestern University,293031.730556,20535.2772932,1687100805.2
70,Dartmouth College,36335.8666667,764.663733641,8478333.7806
71,Boston University,25671.4329365,57.1141025449,238697.826827
72,University of Georgia,55336.2,2932.04227161,132328931.802
73,Rutgers The State University of New Jersey New Brunswick Campus,1611.38333333,0.0,0.0
74,University of Maryland Baltimore County,15682.1474359,94.7022775932,1185293.70636
75,California Institute of Technology,78865.2869048,563.505980491,4152098.36931
76,University of Delaware,82359.5388889,1899.45784454,29845918.356
77,University of Texas at Dallas,163746.710562,6271.70875493,170196062.567
78,University of Cincinnati Main Campus,22883.1666667,402.366834894,4566114.15871
79,Kent State University Main Campus,12937.0416667,66.22387032,488533.49135
80,Oregon State University,173778.49359,14767.6095524,872052446.976
81,University of Iowa,39476.1,664.542055852,6844655.30581
82,Rensselaer Polytechnic Institute,173867.553663,6785.86852648,298188164.867
83,University of Florida,46424.6333333,66.8429263704,259028.678659
84,Northeastern University,131167.774686,4266.38837835,93950656.5026
85,Illinois Institute of Technology,24561.8388889,502.888539772,3831861.03112
86,Auburn University,8393.41666667,37.9272222829,184098.736961
87,Wayne State University,18318.4166667,11.7316834244,30200.2993495
88,University of Oregon,124357.37619,12133.8037289,553951903.575
89,Wright State University Main Campus,56512.6666667,428.785413588,9460016.26143
90,University of Illinois at Chicago,157510.585714,4090.27965886,147481724.132
91,Brandeis University,38651.9380952,786.454268897,10093976.5244
92,North Dakota State University Main Campus,10826.65,0.0,0.0
93,City University of New York Grad. Center,1296.66666667,0.0,0.0
94,State University of New York at Binghamton,6440.33333333,50.8345308652,326001.846438
95,University of North Carolina at Charlotte,67945.2382784,1076.24422614,16717067.4676
96,Case Western Reserve University,40906.2380952,1021.56264951,11912416.5097
97,University of New Mexico Main Campus,28381.3166667,728.73887124,8912659.99437
98,Syracuse University Main Campus,40803.0666667,634.815425471,3432078.06826
