,Name,Bioinformatics pscore norm,Bioinformatics year norm,Bioinformatics year combined norm
0,Stanford University,46.5362522106,2.11572551005,45923.9309598
1,University of California-Berkeley,86.1551450595,3.22049019556,76601.747847
2,Massachusetts Institute of Technology,77.1902367485,2.82950927125,72141.3284824
3,Carnegie Mellon University,108.872315047,3.05222576077,78673.3519231
4,University of Illinois at Urbana-Champaign,64.4508653484,0.534961774492,5056.40262664
5,Princeton University,46.2745185294,3.17172017942,134405.237995
6,Cornell University,38.0836551037,0.428946306114,4213.23970042
7,University of California-Santa Barbara,37.9513863433,0.245462186736,2306.59382312
8,University of North Carolina at Chapel Hill,17.408725804,0.264832902374,3449.90423845
9,University of California-Los Angeles,57.7289415812,3.68155147766,116453.786064
10,University of Texas at Austin,37.7339722095,0.796704130695,15685.7873141
11,Georgia Institute of Technology,80.1367070008,1.46509380023,25558.3786517
12,Michigan State University,44.6755029721,1.41012944802,18575.6648658
13,University of Maryland College Park,23.4273989157,1.50095177377,32348.4497841
14,University of California-San Diego,70.1436095382,5.61404955168,229326.534842
15,University of Michigan-Ann Arbor,14.3720868067,0.369213038203,4819.21202709
16,University of Southern California,83.885449875,1.75725612606,41823.2991106
17,University of Pennsylvania,37.2644900288,0.345368611753,2956.53331706
18,University of Massachusetts Amherst,25.7668950453,0.0202025075495,79.7569829069
19,University of Wisconsin-Madison,34.8898229951,0.414767250563,4148.05400658
20,Harvard University,9.26146547782,0.00131931918555,3.91310070433
21,University of Rochester,22.0903600642,0.562146893213,9346.31381369
22,University of Washington,89.5178900087,4.31339295789,242823.330713
23,Purdue University Main Campus,49.2539449548,2.18300757962,50823.8151211
24,Duke University,45.207343065,3.3187609827,63067.1808377
25,New York University,40.2823755634,0.312017697776,3274.48703205
26,Tufts University,14.7003690639,0.697504143135,5213.2367552
27,State University of New York at Stony Brook,9.21441091297,0.439753370734,3640.48956366
28,Louisiana State University and Agricultural and Mechanical College,6.00767740109,0.0180666232189,23.5098074501
29,University of California-Riverside,52.6325403701,0.962662726055,46154.8217776
30,Penn State University,0.351851851852,0.0,0.0
31,University of Minnesota-Twin Cities,5.40419143423,0.377270438985,7069.67075613
32,Brown University,29.8175985422,3.17987437262,85615.2248052
33,Rice University,33.6534831491,1.06576548463,23930.5152206
34,University of California-Irvine,76.1094065678,2.88742465495,149446.040133
35,Ohio State University Main Campus,5.70820759031,0.00841965321559,82.3105298356
36,Yale University,14.7767848317,0.247129955168,2496.5068071
37,Arizona State University,27.1334898564,0.0232856001517,129.071227825
38,University of Nebraska - Lincoln,0.998513946045,0.0,0.0
39,Columbia University In The City of New York,2.03322664228,0.0156372431552,37.8108539492
40,University of Connecticut,35.6767108672,0.979537271153,11992.9833506
41,University of California-Davis,42.5154012721,0.616395081645,8094.12377242
42,State University of New York at Buffalo,6.73155006859,0.057296096182,694.58802199
43,Texas A & M University,0.829385764365,0.0,0.0
44,University of Oklahoma Norman Campus,6.90091001192,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,1.73761621704,0.0,0.0
46,University of Utah,10.0161865569,0.0536091387411,142.438750337
47,University of California-Santa Cruz,12.6465940514,0.00572517748454,37.3625082641
48,Indiana University at Bloomington,8.06920438957,0.0300103885962,206.801587816
49,University of Virginia,10.0340284582,0.0313986569326,90.7034367384
50,University of South Florida,16.0489385329,0.559082309785,7956.95426581
51,University of Arizona,8.83436173882,0.185859862183,996.582591431
52,Virginia Polytechnic Institute and State University,2.92117055327,0.0,0.0
53,University of Chicago,13.9899240334,0.0638796421716,454.204606859
54,Washington University In St. Louis,1.09962796691,0.0,0.0
55,Georgia State University,22.9944792823,0.548257510531,8070.80207519
56,North Carolina State University,17.3241694494,0.210997083795,1366.51131573
57,University of Tennessee,30.1411506303,0.119935777708,1764.00377619
58,Johns Hopkins University,9.20482521594,0.0048063531106,5.3542773652
59,Vanderbilt University,8.17533619406,0.0335436319914,81.6787438991
60,Florida Institute of Technology,2.33024691358,0.0,0.0
61,University of Colorado at Boulder,7.74408626734,0.0129738361164,91.7898905233
62,Lehigh University,5.66567596403,0.263624177304,1676.1225193
63,University of Central Florida,19.3344091348,0.269415649822,2244.35917341
64,University of Kentucky,17.8514250876,0.157927656311,1347.95427785
65,Florida State University,10.8868236549,0.0832621722657,487.016723667
66,Oklahoma State University Main Campus,5.06533738324,0.0,0.0
67,Washington State University,17.4198748236,0.21402195665,3069.57714904
68,Iowa State University,33.5315337383,1.01798182802,18615.0010628
69,Northwestern University,34.2152047452,0.0356567305624,323.021520332
70,Dartmouth College,16.5262993446,0.869467954126,14868.5434382
71,Boston University,8.62934421292,0.0305012741254,89.2467280908
72,University of Georgia,21.4562909617,0.457378348752,5396.54674062
73,Rutgers The State University of New Jersey New Brunswick Campus,0.705730833714,0.0,0.0
74,University of Maryland Baltimore County,4.53280163671,0.00590915851656,25.6339296448
75,California Institute of Technology,11.3634551628,0.021893166276,58.1403601018
76,University of Delaware,49.3993141289,3.33540214862,154496.525225
77,University of Texas at Dallas,37.8364155938,0.0498441405608,599.327854196
78,University of Cincinnati Main Campus,5.73273891175,0.00291748127122,1.16990998976
79,Kent State University Main Campus,7.19558121221,0.0257832580651,58.0105728549
