,Name,Bioinformatics pscore 5 years,Bioinformatics year 5 years,Bioinformatics year combined 5 years
0,Stanford University,61024.1861111,1712.63117638,36538166.7358
1,University of California-Berkeley,110041.826984,2600.27138753,61705831.5014
2,Massachusetts Institute of Technology,94061.3761905,2321.38655289,60302730.0014
3,Carnegie Mellon University,156005.909921,2844.3984647,71037072.7613
4,University of Illinois at Urbana-Champaign,89997.8611111,783.36824201,7356202.99037
5,Princeton University,40180.9,2621.96053332,110436515.011
6,Cornell University,54824.1035714,253.153250414,2426930.03442
7,University of California-Santa Barbara,48380.5634921,237.177216421,2198763.19088
8,University of North Carolina at Chapel Hill,20806.5,252.124903572,3300643.66617
9,University of California-Los Angeles,76947.2992063,3337.91325926,101867605.863
10,University of Texas at Austin,46672.7285714,657.105360698,12651383.5603
11,Georgia Institute of Technology,99383.5845238,1252.22374548,21441561.4972
12,Michigan State University,54719.2571429,1330.28197918,17595488.1598
13,University of Maryland College Park,20274.8880952,1178.07644419,25406195.9819
14,University of California-San Diego,75841.1071429,4473.51111693,184390560.181
15,University of Michigan-Ann Arbor,18024.4666667,462.54995642,6195038.01737
16,University of Southern California,114634.480952,1419.43967256,33579540.4206
17,University of Pennsylvania,50468.9333333,309.413114293,2794139.94708
18,University of Massachusetts Amherst,46032.1690476,20.4991438171,79665.2667075
19,University of Wisconsin-Madison,38145.7452381,357.029234099,3535198.8298
20,Harvard University,12755.0333333,1.2393690752,3675.96867705
21,University of Rochester,26568.7738095,324.034952854,5367976.64203
22,University of Washington,100321.949206,3675.22895075,207465376.578
23,Purdue University Main Campus,54541.9904762,1744.08295187,40285075.4089
24,Duke University,46218.275,2510.97962138,48790353.5459
25,New York University,46148.9714286,285.408026486,3016870.60785
26,Tufts University,16030.4166667,569.775445486,4306754.0796
27,State University of New York at Stony Brook,11115.25,388.672205547,3214674.64872
28,Louisiana State University and Agricultural and Mechanical College,9080.41666667,40.4115442878,48045.9735168
29,University of California-Riverside,61851.8722222,896.630235356,43763538.4936
30,Penn State University,228.5,0.0,0.0
31,University of Minnesota-Twin Cities,5451.75,305.943279249,5733071.10984
32,Brown University,28815.1166667,2641.01765764,72429469.9011
33,Rice University,32306.5357143,947.470381024,20453811.2558
34,University of California-Irvine,82750.7329365,2453.21638866,120541975.227
35,Ohio State University Main Campus,4027.83333333,4.60862982065,45053.9651266
36,Yale University,18717.65,200.01532216,2020554.78446
37,Arizona State University,47370.525,31.2399406911,168909.877395
38,University of Nebraska - Lincoln,1842.66666667,0.0,0.0
39,Columbia University In The City of New York,1814.5,11.8218636959,28585.2664168
40,University of Connecticut,43210.5833333,1012.51546586,11303794.8835
41,University of California-Davis,56809.9611111,535.378032747,7289916.88292
42,State University of New York at Buffalo,6602.0,60.0594698506,686800.138907
43,Texas A & M University,1431.33333333,0.0,0.0
44,University of Oklahoma Norman Campus,10876.1333333,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,1663.0,0.0,0.0
46,University of Utah,16472.55,45.3623501629,120760.195119
47,University of California-Santa Cruz,14829.6333333,6.97290671564,45505.1892263
48,Indiana University at Bloomington,10136.1619048,28.8701306527,198944.070328
49,University of Virginia,13655.6309524,43.0983298495,95332.3318671
50,University of South Florida,23685.65,565.684400731,8008972.51166
51,University of Arizona,9287.95,127.657409293,663378.076355
52,Virginia Polytechnic Institute and State University,3610.73333333,0.0,0.0
53,University of Chicago,13258.1166667,48.8440273555,354470.550174
54,Washington University In St. Louis,2421.86666667,0.0,0.0
55,Georgia State University,33695.625,655.659645348,10321613.7277
56,North Carolina State University,26774.1,237.680088736,1549854.81946
57,University of Tennessee,39527.7547619,117.587342159,1719973.34643
58,Johns Hopkins University,14184.6583333,8.28735632184,9232.11494253
59,Vanderbilt University,13470.802381,29.6536984179,72206.7556475
60,Florida Institute of Technology,3949.5,0.0,0.0
61,University of Colorado at Boulder,7294.83333333,8.47113764811,59933.2988604
62,Lehigh University,10502.4166667,372.797717926,2370247.89057
63,University of Central Florida,29058.702381,250.9722512,2075035.09178
64,University of Kentucky,28277.602381,205.518457901,1744576.18608
65,Florida State University,17990.95,143.98407419,827680.920428
66,Oklahoma State University Main Campus,5752.66666667,0.0,0.0
67,Washington State University,24152.675,263.46134958,3924234.12867
68,Iowa State University,35854.1666667,989.542565404,18058162.2746
69,Northwestern University,60627.3011905,53.6088704584,532078.049641
70,Dartmouth College,20525.3333333,715.410642496,12074818.8883
71,Boston University,13019.0595238,27.0777561511,79229.5144983
72,University of Georgia,24349.8333333,415.509113376,4703112.51552
73,Rutgers The State University of New Jersey New Brunswick Campus,1024.41666667,0.0,0.0
74,University of Maryland Baltimore County,7122.1,8.61656409498,37378.655044
75,California Institute of Technology,19168.8666667,21.1295051959,57565.7468532
76,University of Delaware,49803.9444444,2961.48103683,128273029.988
77,University of Texas at Dallas,58720.6595238,83.9893945812,1080452.80478
78,University of Cincinnati Main Campus,9143.5,2.04543355593,820.218855929
79,Kent State University Main Campus,7191.58809524,29.2098801253,55552.2604344
80,Oregon State University,33261.9690476,12.3879624675,46578.7388778
81,University of Iowa,8248.62142857,33.0418118479,257990.466908
82,Rensselaer Polytechnic Institute,21989.425,138.259828267,489212.187884
83,University of Florida,44851.3642857,1098.8469245,29117116.4529
84,Northeastern University,28777.0666667,1108.00067043,18271888.8866
85,Illinois Institute of Technology,13470.2166667,7.40206403988,7076.37322212
86,Auburn University,4239.75,0.0,0.0
87,Wayne State University,37050.7190476,2427.17845055,52252633.4605
88,University of Oregon,16893.0452381,31.1661950194,70731.2093877
89,Wright State University Main Campus,12517.6,46.43920954,180035.060402
90,University of Illinois at Chicago,32843.7857143,158.669959486,1423243.20505
91,Brandeis University,6266.78333333,134.23089439,757464.937045
92,North Dakota State University Main Campus,12218.8833333,84.0726201409,319929.219605
93,City University of New York Grad. Center,1112.0,0.0,0.0
94,State University of New York at Binghamton,5401.75,5.47424232272,17336.9254361
95,University of North Carolina at Charlotte,21310.9083333,357.920876323,2335140.52408
96,Case Western Reserve University,51739.4,790.821314745,23000270.7296
97,University of New Mexico Main Campus,3005.31666667,21.4022679152,135583.367243
98,Syracuse University Main Campus,25835.8,27.1481495355,63243.1085783
99,New Mexico State University Main Campus,175.0,0.0,0.0
100,New Jersey Institute of Technology,51.0,0.0,0.0
101,University of South Carolina Columbia,27936.3190476,1293.50468661,11465388.0057
102,College of William and Mary,8644.63333333,7.57126208445,9138.51333593
103,Florida International University,27127.325,75.0063774059,879996.50682
104,George Washington University,10840.2666667,0.0,0.0
105,Old Dominion University,14854.6666667,103.143164009,592703.554369
106,Texas Tech University,7779.0,16.695890949,152132.958327
107,University of Kansas,40035.7777778,1315.20695912,22228365.2728
108,University of Arkansas Main Campus,2082.66666667,0.0,0.0
109,University of Alabama,12010.4833333,0.0,0.0
110,Mississippi State University,12369.047619,40.1657353157,358840.679311
111,University of Houston,16096.3166667,175.688376681,1236893.14665
112,University of North Texas,12372.5,47.1377365271,190108.056079
113,Clemson University,19821.9166667,793.678740079,12525479.115
114,State University of New York at Albany,4037.35238095,0.0,0.0
115,Brigham Young University,15968.625,169.590961319,1819547.79579
116,Kansas State University,5196.33333333,84.6700667762,392107.079241
117,University of Alabama In Huntsville,2397.11666667,0.0,0.0
118,University of Memphis,12152.1857143,215.040718906,2144266.54288
119,Temple University,26976.6666667,559.822241316,11622196.7484
120,University of Louisiana at Lafayette,12297.6666667,44.0556070549,137642.232631
121,University of Alabama at Birmingham,4723.66666667,0.0,0.0
122,Oregon Health and Science University,4592.43333333,0.0,0.0
123,Western Michigan University,2926.25,0.0,0.0
124,Southern Methodist University,6433.33333333,52.9472496113,216393.771457
125,University of Southern Mississippi,10589.5,226.296625818,2399916.16232
126,Universidade de Brasília,5155.58333333,177.639235141,396535.727124
127,Universidade Federal de Uberlândia,2535.58333333,0.0,0.0
128,USP - São Carlos,17838.8857143,18.7068640163,42670.3568211
129,Universidade de São Paulo,12816.75,227.238615305,1136147.24715
130,Universidade do Vale do Rio dos Sinos,1264.33333333,0.0,0.0
131,Universidade de Fortaleza,1500.79166667,0.0,0.0
132,Universidade Federal de Campina Grande,2108.68333333,0.0,0.0
133,Universidade Federal da Bahia,366.301190476,0.0,0.0
134,Universidade Federal do Amazonas,1935.3,0.0,0.0
135,Universidade Federal de Minas Gerais,11378.9833333,38.5868613662,139609.541155
136,Universidade Federal do Espírito Santo,2807.16666667,0.0,0.0
