,Name,Bioinformatics pscore,Bioinformatics year,Bioinformatics year combined
0,Stanford University,101774.783585,4627.09169047,100435637.009
1,University of California-Berkeley,188421.302245,7043.2120577,167528022.541
2,Massachusetts Institute of Technology,168815.047769,6188.13677623,157773085.391
3,Carnegie Mellon University,238103.753008,6675.2177388,172058620.656
4,University of Illinois at Urbana-Champaign,140954.042517,1169.96140081,11058352.5445
5,Princeton University,101202.372024,6936.5520324,293944255.494
6,Cornell University,83288.9537117,938.105571471,9214355.22482
7,University of California-Santa Barbara,82999.6819328,536.825802391,5044520.69116
8,University of North Carolina at Chapel Hill,38072.8833333,579.189557493,7544940.56948
9,University of California-Los Angeles,126253.195238,8051.55308165,254684430.122
10,University of Texas at Austin,82524.1972222,1742.39193383,34304816.8559
11,Georgia Institute of Technology,175258.978211,3204.16014111,55896174.1113
12,Michigan State University,97705.325,3083.95310283,40624979.0615
13,University of Maryland College Park,51235.7214286,3282.58152924,70746059.6779
14,University of California-San Diego,153404.07406,12277.9263695,501537131.699
15,University of Michigan-Ann Arbor,31431.7538462,807.468914549,10539616.7032
16,University of Southern California,183457.478877,3843.11914769,91467555.1548
17,University of Pennsylvania,81497.439693,755.321153904,6465938.36441
18,University of Massachusetts Amherst,56352.199464,44.1828840107,174428.521617
19,University of Wisconsin-Madison,76304.0428903,907.095976981,9071794.11239
20,Harvard University,20254.825,2.88535105879,8557.95124038
21,University of Rochester,48311.6174603,1229.41525546,20440388.3105
22,University of Washington,195775.625449,9433.39039891,531054624.269
23,Purdue University Main Campus,107718.377616,4774.23757662,111151683.67
24,Duke University,98868.4592832,7258.13026917,137927924.492
25,New York University,88097.5553571,682.382705036,7161303.13909
26,Tufts University,32149.7071429,1525.44156104,11401348.7836
27,State University of New York at Stony Brook,20151.9166667,961.740621796,7961750.67574
28,Louisiana State University and Agricultural and Mechanical College,13138.7904762,39.5117049798,51415.9488934
29,University of California-Riverside,115107.365789,2105.34338188,100940595.228
30,Penn State University,769.5,0.0,0.0
31,University of Minnesota-Twin Cities,11818.9666667,825.090450059,15461369.9437
32,Brown University,65211.0880117,6954.38525292,187240496.649
33,Rice University,73600.1676471,2330.82911488,52336036.7874
34,University of California-Irvine,166451.272164,6314.79772038,326838489.772
35,Ohio State University Main Campus,12483.85,18.4137815825,180013.12875
36,Yale University,32316.8284268,540.473211952,5459860.38713
