,Name,Computer graphics (images) pscore 5 years,Computer graphics (images) year 5 years,Computer graphics (images) year combined 5 years
0,Stanford University,130306.625397,14737.1063169,836279080.563
1,University of California-Berkeley,78425.9964286,3297.5465577,112030350.1
2,Massachusetts Institute of Technology,72323.4119048,7311.86509815,540800154.485
3,Carnegie Mellon University,170205.871429,4825.55963291,156296394.023
4,University of Illinois at Urbana-Champaign,78786.2936508,3792.78009409,123999133.224
5,Princeton University,33286.1761905,4857.29002341,204204006.599
6,Cornell University,70756.5071429,6304.92857582,240093319.286
7,University of California-Santa Barbara,31858.6055556,2258.27398873,44790025.1798
8,University of North Carolina at Chapel Hill,20138.5,583.924791961,5885908.32235
9,University of California-Los Angeles,34458.45,1399.9099099,39946522.2231
10,University of Texas at Austin,22971.127381,1551.05849262,20077005.7141
11,Georgia Institute of Technology,165371.052381,8485.52788601,314000623.033
12,Michigan State University,23061.2142857,1651.46461259,45402860.9312
13,University of Maryland College Park,12980.5952381,453.99771551,12492655.1377
14,University of California-San Diego,52019.425,5539.76628391,332213099.737
15,University of Michigan-Ann Arbor,7215.02380952,61.0142831105,324533.980897
16,University of Southern California,76947.9805556,5925.04564455,343604432.975
17,University of Pennsylvania,30336.5333333,521.781863155,9718892.75498
18,University of Massachusetts Amherst,16772.2857143,863.036585427,8164500.47082
19,University of Wisconsin-Madison,31109.35,3217.32057338,108955223.194
20,Harvard University,32989.8666667,3794.03818794,276874465.057
21,University of Rochester,11988.9214286,47.1499507415,223604.187075
22,University of Washington,85355.0619048,3719.19270433,116169827.074
23,Purdue University Main Campus,68203.9063492,8634.3137351,440256535.897
24,Duke University,9156.67777778,11.3861696994,26382.9509879
25,New York University,71254.3035714,8669.04894247,332771273.237
26,Tufts University,15325.4166667,1302.4254149,26190385.8721
27,State University of New York at Stony Brook,3470.66666667,22.2492362151,53040.0078935
28,Louisiana State University and Agricultural and Mechanical College,5057.91666667,89.3947633943,433444.747399
29,University of California-Riverside,12963.8444444,105.395395113,744328.5269
30,Penn State University,19.0,0.0,0.0
31,University of Minnesota-Twin Cities,2511.75,0.0,0.0
32,Brown University,40738.9666667,4464.35023323,201077676.088
33,Rice University,14319.3611111,359.999856453,6522463.44671
34,University of California-Irvine,60953.3357143,2461.08727006,55673363.7175
35,Ohio State University Main Campus,4890.83333333,234.67833072,2369312.42695
36,Yale University,24715.9333333,3381.68102955,153689704.361
37,Arizona State University,45564.1833333,5345.6460795,272557927.499
38,University of Nebraska - Lincoln,348.833333333,0.0,0.0
39,Columbia University In The City of New York,3084.16666667,75.4597518215,436383.744784
40,University of Connecticut,6294.08333333,49.5699567335,159065.296555
41,University of California-Davis,120424.430556,11967.5153965,926030566.818
42,State University of New York at Buffalo,388.75,0.0,0.0
43,Texas A & M University,619.5,0.0,0.0
44,University of Oklahoma Norman Campus,7443.83333333,1030.82863617,9521764.11233
