,Name,Computer graphics (images) pscore,Computer graphics (images) year,Computer graphics (images) year combined
0,Stanford University,330031.985107,40016.3451509,2228187410.17
1,University of California-Berkeley,201534.997252,10159.0403934,352611272.951
2,Massachusetts Institute of Technology,216480.887725,24766.1676598,1879288386.9
3,Carnegie Mellon University,348034.935664,14751.793528,470050375.42
4,University of Illinois at Urbana-Champaign,205382.477745,11475.4543543,376400711.771
5,Princeton University,99808.0386905,14950.6651502,631465124.426
6,Cornell University,176035.702881,18417.8776313,703874094.394
7,University of California-Santa Barbara,77490.4563025,4247.31810992,84226405.8949
8,University of North Carolina at Chapel Hill,52101.0666667,1177.63901482,11327742.3036
9,University of California-Los Angeles,103377.191667,3832.3893019,108428832.744
10,University of Texas at Austin,70772.5626984,4064.98660014,54187586.9661
11,Georgia Institute of Technology,351350.411827,22118.4221035,813043666.111
12,Michigan State University,59113.1444444,4058.35518563,111667993.381
13,University of Maryland College Park,34789.4416667,1206.83191118,33208393.6999
14,University of California-San Diego,140229.580013,17069.5511373,1021240490.31
15,University of Michigan-Ann Arbor,13381.8102564,93.7973386901,495797.503429
16,University of Southern California,201686.29478,16711.6320359,962220464.183
17,University of Pennsylvania,83674.8635025,1537.37718382,27847556.2167
18,University of Massachusetts Amherst,47076.2040104,2166.16147601,20270163.981
19,University of Wisconsin-Madison,78685.3659701,8002.42589568,249456828.145
20,Harvard University,76643.7678571,8990.63178546,662988956.715
21,University of Rochester,34175.6877289,120.234201955,642223.840189
22,University of Washington,185352.541322,9905.95908227,319050345.34
23,Purdue University Main Campus,164074.979767,20142.3471359,1005817270.33
24,Duke University,28420.4816383,30.608117562,70945.2265879
25,New York University,181621.8375,21278.040363,812265395.986
26,Tufts University,27514.8547619,2133.40437143,42938606.9432
27,State University of New York at Stony Brook,10839.6,52.4540373555,140535.760746
28,Louisiana State University and Agricultural and Mechanical College,11321.0547619,174.54289499,841410.343482
29,University of California-Riverside,35530.9684211,257.917293884,1808598.03559
30,Penn State University,34.0,0.0,0.0
31,University of Minnesota-Twin Cities,3618.71666667,0.0,0.0
32,Brown University,96817.2954052,10657.9909584,473044353.217
33,Rice University,42406.0813025,999.347659716,17161432.0822
34,University of California-Irvine,118426.690482,5607.22369235,125080741.129
35,Ohio State University Main Campus,12978.1666667,633.44097917,6395220.1257
36,Yale University,68899.1350877,9385.29481079,425873338.827
37,Arizona State University,111937.572686,14247.9470292,759888611.353
