,Name,Computer network pscore norm,Computer network year norm,Computer network year combined norm
0,Stanford University,89.9660457983,5.35874463592,332162.807566
1,University of California-Berkeley,172.231118056,6.64804577603,361532.626777
2,Massachusetts Institute of Technology,162.970798929,7.12513619541,466927.48519
3,Carnegie Mellon University,95.6780667674,2.93872137407,96792.3059605
4,University of Illinois at Urbana-Champaign,170.826127572,8.56982537361,486889.55774
5,Princeton University,50.3287765997,5.36477189858,407646.458556
6,Cornell University,87.9170923088,3.21803869327,146397.124237
7,University of California-Santa Barbara,88.2255167192,3.1314382322,92688.7493629
8,University of North Carolina at Chapel Hill,3.15149479167,0.125305271415,1470.20674951
9,University of California-Los Angeles,179.132735367,9.99947288135,1161730.26848
10,University of Texas at Austin,66.7132718254,5.63307882454,321278.424425
11,Georgia Institute of Technology,147.50299222,9.60388188107,776985.588466
12,Michigan State University,79.5855190972,6.72497012005,467450.86577
13,University of Maryland College Park,12.368203497,0.283098125203,4624.41211421
14,University of California-San Diego,78.2311506109,3.02184705261,71528.2923334
15,University of Michigan-Ann Arbor,5.10161738782,0.0083933423913,20.9246025815
16,University of Southern California,155.11400953,6.85279994694,457071.60298
17,University of Pennsylvania,58.1896223469,3.64955487357,295120.195948
18,University of Massachusetts Amherst,174.744062059,18.9997471086,4112570.87573
19,University of Wisconsin-Madison,71.245663272,8.50570280818,538168.506631
20,Harvard University,38.303344122,1.01855469718,37945.9952359
21,University of Rochester,21.8511814904,0.434991301056,4835.48526872
22,University of Washington,45.5376799388,1.63508261329,29408.4509771
23,Purdue University Main Campus,99.7145075292,5.93237045017,268293.96838
24,Duke University,71.1092158569,1.50930114717,44736.3271045
25,New York University,65.5498376116,2.47128122378,190854.610747
26,Tufts University,4.49871130952,0.0,0.0
27,State University of New York at Stony Brook,21.050265625,0.371585012041,15379.6317717
28,Louisiana State University and Agricultural and Mechanical College,16.4071755952,0.164499315646,2945.52659555
29,University of California-Riverside,149.792142818,11.1759928247,1056611.82941
30,Penn State University,0.08921875,0.0,0.0
31,University of Minnesota-Twin Cities,3.24391666667,0.0344521191608,542.827589497
32,Brown University,16.9476013993,0.400110148335,3389.50900011
33,Rice University,24.5404296656,1.74005271544,51080.6141111
34,University of California-Irvine,95.8167423318,1.88699870407,87710.0920257
35,Ohio State University Main Campus,12.2305,0.34644755794,12584.3610946
36,Yale University,80.3976777882,8.38175813234,1152285.95153
37,Arizona State University,93.655812206,3.01733156452,281480.954666
38,University of Nebraska - Lincoln,3.722265625,0.176133176627,3006.94559138
39,Columbia University In The City of New York,0.478177083333,0.0,0.0
40,University of Connecticut,34.9336614583,1.2790444191,64949.8092361
41,University of California-Davis,148.428000553,7.1871636938,1069015.9019
42,State University of New York at Buffalo,13.7592083333,0.614051877949,19122.9724525
43,Texas A & M University,1.99216145833,0.00263454861111,0.840421006944
44,University of Oklahoma Norman Campus,37.9249120711,0.359491109226,13775.5313779
45,University of Pittsburgh Pittsburgh Campus,0.800520833333,0.0,0.0
46,University of Utah,16.8050833333,1.46321969504,44241.6111372
