,Name,Computer network pscore 5 years,Computer network year 5 years,Computer network year combined 5 years
0,Stanford University,120078.415873,6614.39879266,423418113.062
1,University of California-Berkeley,226228.296032,8031.77666105,435856363.956
2,Massachusetts Institute of Technology,212539.090476,8532.34623464,587416680.153
3,Carnegie Mellon University,147770.953175,3589.15644237,119498499.126
4,University of Illinois at Urbana-Champaign,240819.319444,11559.652828,669926424.584
5,Princeton University,55698.0738095,6059.89476346,483272763.058
6,Cornell University,120787.509524,4140.16832177,189736514.067
7,University of California-Santa Barbara,122566.663492,4147.49771914,121106699.997
8,University of North Carolina at Chapel Hill,10155.1666667,210.694844009,2472082.60475
9,University of California-Los Angeles,235530.057937,12966.9339519,1504952861.21
10,University of Texas at Austin,84208.7678571,7151.26961898,407186216.086
11,Georgia Institute of Technology,200806.575,12158.7692692,994259693.306
12,Michigan State University,118049.97619,9424.36118546,633143550.903
13,University of Maryland College Park,15293.1261905,337.136256766,5420520.16125
14,University of California-San Diego,104241.409524,3761.46228377,89408782.7318
15,University of Michigan-Ann Arbor,10183.2428571,11.4619565217,28574.6576087
16,University of Southern California,221977.132937,9208.39790961,618999344.863
17,University of Pennsylvania,83640.1166667,4713.4629322,384557683.086
18,University of Massachusetts Amherst,246285.95,26156.8947047,5653772905.79
19,University of Wisconsin-Madison,94196.002381,11013.8990001,734448157.673
20,Harvard University,47133.6166667,1273.51562042,47778100.3683
21,University of Rochester,31526.5380952,629.793716573,6683510.83851
22,University of Washington,66509.6253968,1944.3028353,36077854.7059
23,Purdue University Main Campus,148297.500794,9007.46290415,415741602.537
24,Duke University,90823.7888889,1912.80938652,56203415.9757
25,New York University,88196.3261905,3106.85177536,240691297.255
26,Tufts University,6702.5,0.0,0.0
27,State University of New York at Stony Brook,28092.5,506.691373295,21525523.9185
28,Louisiana State University and Agricultural and Mechanical College,21884.9166667,205.738628278,3674472.43642
29,University of California-Riverside,208354.083333,15253.8025239,1441406653.14
30,Penn State University,158.5,0.0,0.0
31,University of Minnesota-Twin Cities,7907.0,93.1943963405,1468370.90874
32,Brown University,20789.2833333,432.370369202,4042204.97558
33,Rice University,34386.7650794,2203.19724142,63411208.4819
34,University of California-Irvine,128890.361111,2484.56606097,112946787.934
35,Ohio State University Main Campus,15934.3333333,492.386460763,17885445.8008
36,Yale University,109555.016667,11417.6889835,1614018572.31
37,Arizona State University,134557.75,4158.19800479,398285452.979
38,University of Nebraska - Lincoln,8869.83333333,494.627392997,8444278.85324
39,Columbia University In The City of New York,513.666666667,0.0,0.0
40,University of Connecticut,49447.8333333,1783.59645191,89377010.1826
41,University of California-Davis,210523.544444,10399.8470032,1533240179.02
42,State University of New York at Buffalo,23594.2833333,1068.21694159,33249655.7256
43,Texas A & M University,2494.83333333,2.84722222222,908.263888889
44,University of Oklahoma Norman Campus,49345.25,455.478843472,17420550.4194
45,University of Pittsburgh Pittsburgh Campus,1088.16666667,0.0,0.0
46,University of Utah,25900.5833333,2154.162929,66677155.5728
47,University of California-Santa Cruz,15237.95,41.2101756432,243890.838122
48,Indiana University at Bloomington,6915.35079365,1.43161059244,5972.67939166
49,University of Virginia,63079.5047619,3512.96966906,240638025.152
50,University of South Florida,40093.45,733.507771106,19383906.4846
51,University of Arizona,26532.6333333,1400.52118258,41035928.7495
52,Virginia Polytechnic Institute and State University,4623.26666667,36.9437003471,284281.774171
53,University of Chicago,14985.097619,26.8219858959,185873.542738
54,Washington University In St. Louis,39285.4166667,2917.06546684,251286466.567
55,Georgia State University,59743.4722222,1814.75587965,68879758.1157
56,North Carolina State University,122543.455556,8476.89071126,633469347.207
57,University of Tennessee,95680.452381,3011.08031911,104397747.52
58,Johns Hopkins University,32775.1833333,472.97612398,9790876.55062
59,Vanderbilt University,31205.3666667,469.563752828,12102616.5248
60,Florida Institute of Technology,27924.8333333,1289.78611834,86308617.6812
61,University of Colorado at Boulder,5255.0,1.23156342183,4948.42182891
62,Lehigh University,20501.3333333,303.92192825,6533820.2656
63,University of Central Florida,63560.2428571,841.843962516,37037660.8361
64,University of Kentucky,62295.8595238,1885.89073017,55939712.3819
65,Florida State University,69549.1833333,5456.64073396,217207649.133
66,Oklahoma State University Main Campus,17762.3333333,470.358384741,7687356.83936
67,Washington State University,33173.8916667,341.027942529,4994968.07339
68,Iowa State University,46976.6666667,3222.20827606,160409883.801
69,Northwestern University,159812.047619,5177.30283857,251188092.681
70,Dartmouth College,48925.1666667,1806.9395558,68220113.8053
71,Boston University,93457.6904762,9722.27803483,590299079.231
72,University of Georgia,13386.5833333,42.0115673607,454936.272963
73,Rutgers The State University of New Jersey New Brunswick Campus,2312.75,24.8578124248,154938.744844
74,University of Maryland Baltimore County,13336.4,120.384319163,1179283.51736
75,California Institute of Technology,94132.1833333,9067.75918117,1094913467.58
76,University of Delaware,27204.8333333,561.59638171,13562640.2928
77,University of Texas at Dallas,214375.383333,4868.48765556,243170335.56
78,University of Cincinnati Main Campus,47751.3333333,338.965220638,35038495.8921
79,Kent State University Main Campus,9221.0952381,20.4457581354,85825.0892707
80,Oregon State University,72420.9761905,971.695196,35838030.0911
81,University of Iowa,10124.852381,128.313138667,682195.308085
