,Name,Computer network pscore,Computer network year,Computer network year combined
0,Stanford University,287891.346554,17147.9828349,1062920984.21
1,University of California-Berkeley,551139.57778,21273.7464833,1156904405.69
2,Massachusetts Institute of Technology,521506.556574,22800.4358253,1494167952.61
3,Carnegie Mellon University,306169.813656,9403.90839701,309735379.074
4,University of Illinois at Urbana-Champaign,546643.60823,27423.4411956,1558046584.77
5,Princeton University,161052.085119,17167.2700755,1304468667.38
6,Cornell University,281334.695388,10297.7238185,468470797.559
7,University of California-Santa Barbara,282321.653501,10020.602343,296603997.961
8,University of North Carolina at Chapel Hill,10084.7833333,400.976868528,4704661.59844
9,University of California-Los Angeles,573224.753175,31998.3132203,3717536859.12
10,University of Texas at Austin,213482.469841,18025.8522385,1028090958.16
11,Georgia Institute of Technology,472009.575105,30732.4220194,2486353883.09
12,Michigan State University,254673.661111,21519.9043842,1495842770.46
13,University of Maryland College Park,39578.2511905,905.914000649,14798118.7655
14,University of California-San Diego,250339.681955,9669.91056836,228890535.467
15,University of Michigan-Ann Arbor,16325.175641,26.8586956522,66958.7282609
16,University of Southern California,496364.830495,21928.9598302,1462629129.54
17,University of Pennsylvania,186206.79151,11678.5755954,944384627.034
18,University of Massachusetts Amherst,559180.998588,60799.1907476,13160226802.3
19,University of Wisconsin-Madison,227986.12247,27218.2489862,1722139221.22
20,Harvard University,122570.70119,3259.37503097,121427184.755
21,University of Rochester,69923.7807692,1391.97216338,15473552.8599
22,University of Washington,145720.575804,5232.26436254,94107043.1267
23,Purdue University Main Campus,319086.424093,18983.5854405,858540698.816
24,Duke University,227549.490742,4829.76367095,143156246.734
25,New York University,209759.480357,7908.0999161,610734754.391
26,Tufts University,14395.8761905,0.0,0.0
27,State University of New York at Stony Brook,67360.85,1189.07203853,49214821.6695
28,Louisiana State University and Agricultural and Mechanical College,52502.9619048,526.397810066,9425685.10575
29,University of California-Riverside,479334.857018,35763.1770391,3381157854.13
30,Penn State University,285.5,0.0,0.0
31,University of Minnesota-Twin Cities,10380.5333333,110.246781314,1737048.28639
32,Brown University,54232.3244779,1280.35247467,10846428.8003
33,Rice University,78529.37493,5568.1686894,163457965.155
34,University of California-Irvine,306613.575462,6038.39585304,280672294.482
35,Ohio State University Main Campus,39137.6,1108.63218541,40269955.5028
36,Yale University,257272.568922,26821.6260235,3687315044.9
37,Arizona State University,299698.599059,9655.46100647,900739054.93
38,University of Nebraska - Lincoln,11911.25,563.626165207,9622225.89242
39,Columbia University In The City of New York,1530.16666667,0.0,0.0
40,University of Connecticut,111787.716667,4092.94214112,207839389.556
41,University of California-Davis,474969.60177,22998.9238202,3420850886.06
42,State University of New York at Buffalo,44029.4666667,1964.96600944,61193511.848
43,Texas A & M University,6374.91666667,8.43055555556,2689.34722222
44,University of Oklahoma Norman Campus,121359.718627,1150.37154952,44081700.4094
45,University of Pittsburgh Pittsburgh Campus,2561.66666667,0.0,0.0
46,University of Utah,53776.2666667,4682.30302413,141573155.639
47,University of California-Santa Cruz,40193.1369048,120.15144183,719531.948425
48,Indiana University at Bloomington,14190.4277778,4.66164294239,19448.3743557
49,University of Virginia,142872.958333,7742.10202214,528617530.815
50,University of South Florida,80305.9095238,1365.37181681,35007419.262
51,University of Arizona,70312.9213033,3644.66818179,104885158.153
52,Virginia Polytechnic Institute and State University,13044.0666667,108.625364474,835872.179624
53,University of Chicago,39295.8407244,63.2279241955,439484.865942
54,Washington University In St. Louis,98002.4242424,7345.33263729,633056582.306
55,Georgia State University,123368.417857,3673.89684615,141334433.006
56,North Carolina State University,291008.618687,20072.3644179,1502287529.16
57,University of Tennessee,196785.960714,5899.45596121,210259917.96
58,Johns Hopkins University,73863.0435897,1149.09634896,24780679.6091
59,Vanderbilt University,72552.9300366,1186.1504967,29750708.1602
60,Florida Institute of Technology,71555.65,3408.00330029,228053356.845
61,University of Colorado at Boulder,14319.5,7.66261061947,30788.369469
62,Lehigh University,44356.0833333,718.900567982,15455002.799
63,University of Central Florida,144682.033333,1879.59843745,81729010.6528
64,University of Kentucky,141020.641667,4652.20405619,141491246.605
65,Florida State University,154806.716667,11853.8584621,477572177.569
66,Oklahoma State University Main Campus,39638.7261905,1067.46282581,17407296.8481
67,Washington State University,68748.1188034,768.193554501,12812865.0755
68,Iowa State University,102946.666667,6301.93218221,307434444.104
69,Northwestern University,358891.844444,13106.1718851,611960691.666
70,Dartmouth College,114994.8,4407.10631908,170628755.831
71,Boston University,222408.342857,23986.7314923,1452572287.83
72,University of Georgia,23456.725,73.0253983109,775786.360915
73,Rutgers The State University of New Jersey New Brunswick Campus,4735.41666667,50.0273709136,311820.602905
74,University of Maryland Baltimore County,33328.6089744,378.157930784,3700885.47688
75,California Institute of Technology,228544.342669,22786.48148,2745701175.86
76,University of Delaware,62373.2388889,1393.19298441,33240089.2315
77,University of Texas at Dallas,492415.413431,11540.3505313,583082165.654
78,University of Cincinnati Main Campus,107159.666667,775.203714122,80132032.7251
79,Kent State University Main Campus,23781.9861111,47.5811198497,207703.035451
80,Oregon State University,157783.121096,2137.53442622,78072972.134
81,University of Iowa,27181.0055556,341.135640233,1922932.63455
82,Rensselaer Polytechnic Institute,94608.6547924,2782.85759377,125841630.63
83,University of Florida,321231.866667,26861.502727,2538167886.36
84,Northeastern University,93318.2696609,3784.19577347,63773411.8105
85,Illinois Institute of Technology,320573.691667,32532.3588435,6018447572.72
86,Auburn University,28614.25,169.664399838,961613.555361
87,Wayne State University,75857.3611111,1258.10598983,26649069.0913
88,University of Oregon,110650.17619,6876.73360906,277588120.261
89,Wright State University Main Campus,26549.0916667,891.537587802,10399808.6608
90,University of Illinois at Chicago,89277.34329,409.808537942,8509608.25927
91,Brandeis University,5794.98095238,4.69757060349,8169.07527948
92,North Dakota State University Main Campus,42535.2166667,2209.82361731,140459311.442
