,Name,Computer security pscore 5 years,Computer security year 5 years,Computer security year combined 5 years
0,Stanford University,78895.0103175,2997.14718437,246526522.426
1,University of California-Berkeley,109613.968254,7928.72957744,256682072.487
2,Massachusetts Institute of Technology,87503.7583333,793.682633352,22363301.7718
3,Carnegie Mellon University,92419.434127,2226.89553152,35746375.9633
4,University of Illinois at Urbana-Champaign,102523.175794,5115.99459771,123084988.158
5,Princeton University,32663.5071429,1140.70437468,15307690.132
6,Cornell University,107634.846429,9359.24352283,510820827.809
7,University of California-Santa Barbara,51166.3952381,4068.50936058,126622034.011
8,University of North Carolina at Chapel Hill,4175.5,245.21973112,1671417.68731
9,University of California-Los Angeles,80708.5769841,767.114628206,87716847.5415
10,University of Texas at Austin,54913.7559524,1717.24306621,229713471.697
11,Georgia Institute of Technology,80337.377381,4235.63585964,136947202.462
12,Michigan State University,20357.1309524,54.5761360183,378419.913117
13,University of Maryland College Park,7076.3047619,29.4802857435,107160.838678
14,University of California-San Diego,86291.9214286,3138.63750195,178113357.78
15,University of Michigan-Ann Arbor,4947.17619048,55.2611779268,170907.116858
16,University of Southern California,43625.5154762,1344.77604223,8640632.85106
17,University of Pennsylvania,33343.15,1229.31403027,17345161.7533
18,University of Massachusetts Amherst,36908.7309524,1028.60456646,7382675.9188
19,University of Wisconsin-Madison,28915.975,946.206247968,22150522.7342
20,Harvard University,28330.4083333,240.201247225,2841333.3159
21,University of Rochester,8471.6452381,29.8489861987,234433.937605
22,University of Washington,40759.2222222,1883.41342862,68681530.9156
23,Purdue University Main Campus,104365.547619,6909.92885711,255982997.119
24,Duke University,19822.7666667,95.7538531454,297168.769721
25,New York University,67777.7654762,1844.36763942,66265786.0527
26,Tufts University,3515.41666667,0.0,0.0
27,State University of New York at Stony Brook,11854.3333333,894.38371279,6514447.275
28,Louisiana State University and Agricultural and Mechanical College,9106.58333333,0.0,0.0
29,University of California-Riverside,32305.0333333,2665.41046531,19670073.5718
30,Penn State University,132.0,0.0,0.0
31,University of Minnesota-Twin Cities,14513.9166667,1937.718503,65508449.4308
32,Brown University,44300.1666667,3271.95857433,98401201.2846
33,Rice University,13397.8833333,837.826511769,10813550.0856
34,University of California-Irvine,68919.3920635,3461.8786514,237445107.082
35,Ohio State University Main Campus,2710.25,0.0,0.0
36,Yale University,18185.95,432.178918501,5478731.73738
37,Arizona State University,38229.0,1122.28233884,28945916.5289
38,University of Nebraska - Lincoln,865.166666667,0.0,0.0
39,Columbia University In The City of New York,790.666666667,0.0,0.0
40,University of Connecticut,15517.5,145.49782289,1317099.29725
41,University of California-Davis,57738.5083333,1362.21021046,33266808.5457
42,State University of New York at Buffalo,2483.56666667,13.5148429295,49941.3915227
43,Texas A & M University,1402.0,0.0,0.0
44,University of Oklahoma Norman Campus,7768.93333333,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,520.5,0.0,0.0
46,University of Utah,8006.38333333,130.188422432,363038.642941
47,University of California-Santa Cruz,16064.6666667,277.129049613,6124434.09628
48,Indiana University at Bloomington,4925.62619048,5.57670927762,3033.72984702
49,University of Virginia,18615.302381,277.831167274,2750569.80104
50,University of South Florida,12595.3166667,527.6596821,3749797.36982
51,University of Arizona,9299.96666667,69.0787795313,269051.30739
52,Virginia Polytechnic Institute and State University,2235.06666667,0.0,0.0
53,University of Chicago,7033.6797619,157.431404261,462734.853003
54,Washington University In St. Louis,2617.15,0.0,0.0
55,Georgia State University,6553.76666667,0.0,0.0
56,North Carolina State University,76633.5,7026.69940715,185961423.199
57,University of Tennessee,14016.5702381,0.0,0.0
58,Johns Hopkins University,33573.45,2881.97940054,92784698.7027
59,Vanderbilt University,8028.96428571,110.317382044,499493.847255
60,Florida Institute of Technology,6641.16666667,8.01122848651,18208.1517504
61,University of Colorado at Boulder,3667.23333333,0.0,0.0
62,Lehigh University,3372.16666667,2.47550958759,3522.65014313
63,University of Central Florida,12319.9880952,109.296542182,673922.479096
64,University of Kentucky,11024.1714286,15.3964801725,120100.181588
65,Florida State University,20628.9333333,405.873012822,8192800.31057
66,Oklahoma State University Main Campus,6069.41666667,447.615699134,2642168.05211
67,Washington State University,8661.70833333,62.9314671104,148717.391222
68,Iowa State University,11061.1666667,77.3904138733,408614.781015
69,Northwestern University,31482.8488095,224.119535263,5680115.61558
70,Dartmouth College,14357.0,458.243233986,4717491.02666
71,Boston University,50344.9488095,1428.62607294,97867060.9533
72,University of Georgia,7364.33333333,484.044498473,4819292.46959
73,Rutgers The State University of New Jersey New Brunswick Campus,653.25,0.0,0.0
74,University of Maryland Baltimore County,5676.5,43.9339788907,227522.985822
75,California Institute of Technology,8773.55,9.79193826492,114572.740746
76,University of Delaware,4094.66666667,0.0,0.0
77,University of Texas at Dallas,53316.952381,1485.79487996,25560645.6805
78,University of Cincinnati Main Campus,12013.0,78.8724089879,1472047.23286
79,Kent State University Main Campus,2127.10714286,0.0,0.0
80,Oregon State University,19062.4547619,84.5539155073,284714.465706
81,University of Iowa,4659.81071429,42.6620990516,84513.6182213
82,Rensselaer Polytechnic Institute,9666.19166667,23.7863800321,133037.22352
83,University of Florida,33702.2964286,2251.9791533,39129119.4014
84,Northeastern University,59420.4666667,3300.01748476,69181977.6768
85,Illinois Institute of Technology,11725.9666667,0.0,0.0
86,Auburn University,4134.83333333,21.2413859529,38470.3814522
87,Wayne State University,7555.45238095,17.4760805537,28777.1791253
88,University of Oregon,8341.00952381,44.4842545369,95673.0353275
89,Wright State University Main Campus,5800.38333333,26.1700233495,95651.4353423
90,University of Illinois at Chicago,52163.802381,3179.8465611,55380158.2393
91,Brandeis University,1412.85,0.0,0.0
92,North Dakota State University Main Campus,3546.1,0.0,0.0
93,City University of New York Grad. Center,833.0,0.0,0.0
94,State University of New York at Binghamton,2956.58333333,22.5222174004,96147.3460823
95,University of North Carolina at Charlotte,20363.0666667,530.005406263,3514193.10291
96,Case Western Reserve University,8409.75,5.11976911977,20489.3160173
97,University of New Mexico Main Campus,1943.61666667,21.2233348506,60839.9140257
98,Syracuse University Main Campus,14060.1833333,266.458121235,2979063.10836
99,New Mexico State University Main Campus,41.5,0.0,0.0
100,New Jersey Institute of Technology,35.0,0.0,0.0
101,University of South Carolina Columbia,9000.9547619,550.496425242,4707102.93861
102,College of William and Mary,20632.9,1415.56589337,22022642.3276
103,Florida International University,13536.7666667,221.151665548,1421911.04808
104,George Washington University,12037.2666667,359.11589727,2339395.05628
105,Old Dominion University,6555.33333333,14.0225260253,71346.6124167
106,Texas Tech University,1788.33333333,0.0,0.0
107,University of Kansas,9523.45,79.0880084803,207420.024413
108,University of Arkansas Main Campus,2035.3,0.0,0.0
109,University of Alabama,8499.56666667,28.6219926994,40219.3200219
110,Mississippi State University,4386.32142857,0.0,0.0
111,University of Houston,4611.25833333,38.9409258333,24146.7076239
112,University of North Texas,7404.83333333,55.8492516501,987191.372167
113,Clemson University,8074.66666667,477.616633401,5559945.18432
114,State University of New York at Albany,2839.23333333,8.5220758625,32886.6907534
115,Brigham Young University,7147.25,262.035369689,2810571.12415
116,Kansas State University,6057.13333333,413.372902205,2726827.22662
117,University of Alabama In Huntsville,683.65,1.53013432996,1499.53164336
118,University of Memphis,2776.56904762,8.31306306306,6076.8490991
119,Temple University,4781.66666667,0.0,0.0
120,University of Louisiana at Lafayette,7549.0,47.8450797046,153099.758866
121,University of Alabama at Birmingham,11508.75,1239.18541613,19850270.033
122,Oregon Health and Science University,506.733333333,0.0,0.0
123,Western Michigan University,1559.5,0.0,0.0
124,Southern Methodist University,7054.66666667,509.333451725,3546500.0154
125,University of Southern Mississippi,1821.66666667,2.10782011726,5547.78254862
126,Universidade de Brasília,733.333333333,0.0,0.0
127,Universidade Federal de Uberlândia,817.083333333,0.0,0.0
128,USP - São Carlos,6239.7,0.0,0.0
129,Universidade de São Paulo,2484.58333333,0.0,0.0
130,Universidade do Vale do Rio dos Sinos,408.666666667,0.0,0.0
131,Universidade de Fortaleza,958.166666667,0.0,0.0
132,Universidade Federal de Campina Grande,1934.41666667,0.0,0.0
133,Universidade Federal da Bahia,825.283333333,0.0,0.0
134,Universidade Federal do Amazonas,1193.56666667,0.0,0.0
135,Universidade Federal de Minas Gerais,5355.75,1.69666651767,2713.47406591
136,Universidade Federal do Espírito Santo,1326.58333333,0.0,0.0
137,Universidade Federal de Pernambuco,6813.51666667,6.52234240567,8518.1791818
138,Universidade Federal de Mato Grosso do Sul,201.166666667,0.0,0.0
139,Universidade Federal de São Carlos,2375.06666667,0.0,0.0
140,Universidade Federal de Santa Catarina,2553.41666667,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,1849.51666667,0.0,0.0
142,Universidade Federal do Rio de Janeiro,3900.58333333,0.0,0.0
143,Pontifícia Universidade Católica do Rio Grande do Sul,1864.41666667,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,4790.21666667,0.0,0.0
145,Pontifícia Universidade Católica do Paraná,1635.66666667,0.0,0.0
146,Universidade Estadual de Campinas,12007.5,9.34521024591,6246.64415132
147,Universidade Federal do Ceará,1062.95,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,5500.83333333,0.0,0.0
149,Universidade Federal do Paraná,1923.83333333,0.0,0.0
150,Universidade Federal Fluminense,1855.18333333,0.0,0.0
151,Imperial College London,28266.1452381,694.791685715,3487406.10372
152,University of Oxford,30865.4833333,1950.17382358,18751302.2261
153,University of Cambridge,23444.5904762,454.95681498,4857976.62349
154,ETH Zurich,73450.475,5595.01010549,226357733.112
155,École Polytechnique ParisTech,13843.3666667,353.870807259,3153696.63429
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
192,Technion-Israel Institute of Technology,,,
193,TU Delft,,,
194,University of Minnesota,,,
195,New Mexico State University,,,
196,Pennsylvania State University,,,
197,TU Dresden,,,
198,University of Salerno,,,
199,Washington University in St. Louis,,,
200,McGill University,,,
201,Naval Postgraduate School,,,
202,University of Edinburgh,,,
203,RWTH Aachen,,,
204,University of Bath,,,
205,IIT Kharagpur,,,
206,University of Melbourne,,,
207,IMDEA Software Institute,,,
208,University of Sydney,,,
209,University of North Carolina,,,
210,IIIT Delhi,,,
211,University of Nevada,,,
212,Concordia University,,,
213,IISc Bangalore,,,
214,Rochester Institute of Technology,,,
215,DIKU,,,
216,Chulalongkorn Uniersity,,,
217,Worcester Polytechnic Institute,,,
218,IST Austria,,,
219,University College London,,,
220,Columbia University,,,
221,Massey University,,,
222,University of Miami,,,
223,IIT Roorkee,,,
224,University of Tartu,,,
225,University of Victoria,,,
226,Carleton University,,,
227,Athens University of Economics and Business,,,
228,Texas A&M University,,,
229,EPFL,,,
230,Bar-Ilan University,,,
231,University of Maryland-College Park,,,
232,IIT Kanpur,,,
233,University of Adelaide,,,
234,University of Warsaw,,,
235,Stony Brook University,,,
236,University of Notre Dame,,,
237,University of Western Australia,,,
238,IIT Hyderabad,,,
239,IIT Bombay,,,
240,IIIT Hyderabad,,,
241,University of Maryland-Baltimore County,,,
242,University of New South Wales,,,
243,University of Alberta,,,
244,Aarhus University,,,
245,University of Zurich,,,
246,Max Planck Institute,,,
247,TU Darmstadt,,,
248,University of Athens,,,
249,Stevens Institute of Technology,,,
250,University of Calgary,,,
251,University of Massachusetts Lowell,,,
252,Rutgers University,,,
253,Ecole Normale Superieure de Lyon,,,
254,Colorado State University,,,
255,IIT Delhi,,,
256,BITS Pilani,,,
257,University of Auckland,,,
258,National University of Singapore,,,
259,University of Canterbury,,,
260,Chennai Mathematical Institute,,,
261,University of Montreal,,,
262,George Mason University,,,
263,University of Luxembourg,,,
264,Hebrew University of Jerusalem,,,
265,Simon Fraser University,,,
266,Indiana University,,,
267,University of Toronto,,,
268,University at Buffalo,,,
269,TU Munich,,,
270,University of Waikato,,,
