,Name,Computer security pscore,Computer security year,Computer security year combined
0,Stanford University,223221.469678,7349.30335818,614950529.32
1,University of California-Berkeley,284807.505932,14778.6330502,495442285.855
2,Massachusetts Institute of Technology,278907.658683,2178.367901,64965691.3125
3,Carnegie Mellon University,234494.528724,4647.06208754,81889152.4176
4,University of Illinois at Urbana-Champaign,281724.491491,8929.2322409,213350069.116
5,Princeton University,102982.607143,2437.98909329,31973174.7863
6,Cornell University,276597.063866,19744.6639159,1076486234.26
7,University of California-Santa Barbara,137361.629622,7499.34741516,227037237.336
8,University of North Carolina at Chapel Hill,9429.98333333,529.06585695,3606112.88097
9,University of California-Los Angeles,247886.776587,2175.31824665,252074404.022
10,University of Texas at Austin,157303.695635,4240.50039841,565934736.664
11,Georgia Institute of Technology,207475.328663,7395.29929006,233299494.605
12,Michigan State University,52048.9916667,164.826105537,1170796.77592
13,University of Maryland College Park,19420.4178571,71.4371735732,259674.125939
14,University of California-San Diego,254840.249561,7198.7922901,459747372.479
15,University of Michigan-Ann Arbor,9770.63717949,111.931373565,347210.034336
16,University of Southern California,123474.104365,2080.97202648,13240834.5453
17,University of Pennsylvania,94967.2387218,2630.64426489,36634823.6789
18,University of Massachusetts Amherst,100883.689323,1884.7163325,13826300.7547
19,University of Wisconsin-Madison,77872.6007703,1584.66785157,35238741.4427
20,Harvard University,92831.1833333,555.696824459,7321799.50246
21,University of Rochester,27260.1782662,88.4202983219,694453.023021
22,University of Washington,102914.265831,4258.30796762,159724005.298
23,Purdue University Main Campus,242570.763455,14134.562268,533175044.948
24,Duke University,64000.6823996,196.662214001,609198.126198
25,New York University,203477.313095,4462.96970603,185400506.847
26,Tufts University,10594.2595238,0.0,0.0
27,State University of New York at Stony Brook,28514.5,1348.46002608,10167950.3757
28,Louisiana State University and Agricultural and Mechanical College,29234.3428571,0.0,0.0
29,University of California-Riverside,84047.3166667,3670.82655897,27525684.0378
30,Penn State University,664.0,0.0,0.0
31,University of Minnesota-Twin Cities,20618.6833333,2612.04813207,88305511.2009
32,Brown University,120094.02381,6596.62475432,236860599.021
33,Rice University,36860.9367647,1586.13079976,20372390.1006
34,University of California-Irvine,171086.655013,8025.11968856,550358676.442
35,Ohio State University Main Campus,9108.98333333,0.0,0.0
36,Yale University,53504.9,815.677604312,10681951.8714
37,Arizona State University,93431.0774725,2325.65282049,59726954.5081
38,University of Nebraska - Lincoln,2609.91666667,0.0,0.0
39,Columbia University In The City of New York,2228.5,0.0,0.0
40,University of Connecticut,42634.2333333,357.132607223,3028250.68909
41,University of California-Davis,154219.864362,3519.41627054,95676624.1094
42,State University of New York at Buffalo,7379.91666667,29.9192813713,111704.007958
43,Texas A & M University,3738.55,0.0,0.0
44,University of Oklahoma Norman Campus,24689.9352941,0.0,0.0
45,University of Pittsburgh Pittsburgh Campus,2360.16666667,0.0,0.0
46,University of Utah,21671.3,233.979103506,655779.399746
47,University of California-Santa Cruz,45371.9714286,577.626858064,12786487.407
48,Indiana University at Bloomington,10810.3333333,4.49173564093,2443.50418867
49,University of Virginia,52580.3309524,584.329240783,5742338.26276
50,University of South Florida,26854.297619,960.224047465,6701985.15075
51,University of Arizona,34246.2166667,162.542956515,621786.50324
52,Virginia Polytechnic Institute and State University,5233.36666667,0.0,0.0
53,University of Chicago,28462.5460084,308.187731903,936632.792627
54,Washington University In St. Louis,8479.25,0.0,0.0
