,Name,Computer vision pscore norm,Computer vision year norm,Computer vision year combined norm
0,Stanford University,152.250852611,16.9613550851,1992374.42668
1,University of California-Berkeley,244.55059341,23.4616604235,4921856.87283
2,Massachusetts Institute of Technology,209.292958242,16.9519437566,2178482.13235
3,Carnegie Mellon University,378.571559178,39.3516288177,7189673.16902
4,University of Illinois at Urbana-Champaign,156.483506661,19.9477676227,2515192.14064
5,Princeton University,20.5775440266,0.230644703343,6385.96143626
6,Cornell University,161.513485806,16.1051687681,1978727.1749
7,University of California-Santa Barbara,89.1321397272,4.13652208857,367441.374972
8,University of North Carolina at Chapel Hill,47.7683463655,0.804655138587,111337.877585
9,University of California-Los Angeles,212.795476443,41.691053942,7684446.91669
10,University of Texas at Austin,72.1334164219,12.8554924437,2280183.12336
11,Georgia Institute of Technology,229.337759269,27.8251579289,3361487.28605
12,Michigan State University,153.851645107,9.77114329121,2554499.85009
13,University of Maryland College Park,8.49503813109,0.0677977970351,709.931133579
14,University of California-San Diego,125.758684033,16.920121451,2863208.47
15,University of Michigan-Ann Arbor,15.4937752011,0.126084334126,2969.75402488
16,University of Southern California,248.436666564,26.8103159661,4406401.93569
17,University of Pennsylvania,144.742876051,14.7504884218,1176002.17741
18,University of Massachusetts Amherst,81.3655647283,7.97089827223,399528.247342
19,University of Wisconsin-Madison,68.7649858813,6.30903661914,293093.347288
20,Harvard University,22.5226914484,0.789337091684,28401.0811919
21,University of Rochester,98.1714533946,7.05719988316,613448.432744
22,University of Washington,145.721553909,12.0082491191,1104876.4339
23,Purdue University Main Campus,35.2822195955,0.81868641936,18393.8929747
24,Duke University,46.8120854452,4.98293336535,485536.819031
25,New York University,92.3181133038,5.6531215422,320193.789083
26,Tufts University,13.8245238785,0.2050155482,5412.9150057
27,State University of New York at Stony Brook,13.2804759147,0.661374582088,16124.6158647
28,Louisiana State University and Agricultural and Mechanical College,6.90401376305,0.0167884638201,241.518840516
29,University of California-Riverside,65.268325492,4.09947043459,419316.983251
30,Penn State University,0.214596003475,0.0,0.0
31,University of Minnesota-Twin Cities,1.06366444638,0.0,0.0
32,Brown University,23.1848015032,2.41703258127,147428.310546
33,Rice University,14.2451583124,0.0283658170845,577.615026742
34,University of California-Irvine,74.2213872975,3.99700278687,137168.456942
35,Ohio State University Main Campus,5.81249155324,0.28339112119,5483.04365933
36,Yale University,33.5423477186,3.12608365028,350207.961943
37,Arizona State University,61.7069076015,1.98877443815,97951.0796252
38,University of Nebraska - Lincoln,2.09269717154,0.0192991835072,105.534876615
39,Columbia University In The City of New York,1.13085239888,0.00563130614202,17.2993724683
40,University of Connecticut,17.9707597258,0.500916336816,14548.8617322
41,University of California-Davis,30.3771510919,1.22084734923,30123.069078
42,State University of New York at Buffalo,1.25961000097,0.0110279829108,31.396667347
43,Texas A & M University,1.3045178106,0.00528917300439,21.627428415
44,University of Oklahoma Norman Campus,4.43212426007,0.00117889420734,3.47773791165
45,University of Pittsburgh Pittsburgh Campus,0.685201274254,0.0,0.0
46,University of Utah,43.0876146346,0.875010194037,24811.3387987
47,University of California-Santa Cruz,25.569199316,0.803292332661,34503.0898419
48,Indiana University at Bloomington,3.6842793706,0.00330784647048,8.55340671692
49,University of Virginia,13.4374167391,0.4150527428,3738.62024417
50,University of South Florida,66.1758429523,4.90893360622,528151.556202
51,University of Arizona,16.8655192136,1.77779604746,114472.287496
52,Virginia Polytechnic Institute and State University,5.94397142581,0.0970583501228,1322.77272039
53,University of Chicago,11.1188764303,0.269595428398,3119.89875706
54,Washington University In St. Louis,1.0948187347,0.00468323891061,15.1128119645
55,Georgia State University,12.1947581813,0.218883403266,7612.72866908
56,North Carolina State University,17.3519365389,0.375172200064,19647.7280015
57,University of Tennessee,48.476458704,1.23476453514,68790.9432205
58,Johns Hopkins University,42.5165232971,1.39974588466,140316.835811
59,Vanderbilt University,13.5976261551,0.036679161544,203.77438107
60,Florida Institute of Technology,10.7798532677,0.403440803222,12270.2485892
61,University of Colorado at Boulder,5.50033304373,0.14721760015,2097.55636694
62,Lehigh University,21.0351867941,1.53411161037,86502.4383315
63,University of Central Florida,150.83166007,21.1518526308,5370670.35688
64,University of Kentucky,44.1321652669,5.21982341616,402584.17912
65,Florida State University,17.9914929047,0.846079984967,41460.4538667
66,Oklahoma State University Main Campus,7.51590404479,0.465507327037,10567.9825582
67,Washington State University,14.3381833213,0.0620275755139,549.809357033
68,Iowa State University,5.70098120337,0.00220549754817,10.2930570573
69,Northwestern University,153.812678186,7.6769273447,1762097.87208
70,Dartmouth College,23.8033449175,1.79658417116,62404.6027866
71,Boston University,52.2787534649,9.44109194728,1216727.98436
72,University of Georgia,20.0435852882,0.139191898076,2601.29913414
73,Rutgers The State University of New Jersey New Brunswick Campus,7.06429192007,0.311866739465,7626.07738015
74,University of Maryland Baltimore County,2.34339147675,0.0,0.0
75,California Institute of Technology,79.2614335397,12.3258195671,3169660.65076
76,University of Delaware,52.3486839141,8.46650425713,878837.191286
77,University of Texas at Dallas,33.8001393561,0.99366969768,24692.0961716
78,University of Cincinnati Main Campus,8.90790616855,0.0452577177868,726.999158824
79,Kent State University Main Campus,2.22546014738,0.0,0.0
80,Oregon State University,51.7821003256,5.89870457042,387940.027933
81,University of Iowa,3.16864964443,0.00158544066837,3.10270738801
82,Rensselaer Polytechnic Institute,27.9187214706,2.21465212978,138529.760851
83,University of Florida,80.4341973163,7.90032360529,759277.17986
84,Northeastern University,42.1343929376,2.71023377707,148433.456962
85,Illinois Institute of Technology,6.92167197606,0.172012234408,3200.85402968
86,Auburn University,1.20752485761,0.0036638709305,5.67167220041
87,Wayne State University,11.8948539113,0.0725591575018,1391.79787334
88,University of Oregon,8.52604981176,0.0182901146346,347.146375765
89,Wright State University Main Campus,7.14556907037,0.0727198803497,516.674749885
90,University of Illinois at Chicago,15.695152468,0.0376844399547,421.387317238
91,Brandeis University,6.06415677189,0.0405925112544,477.692672441
92,North Dakota State University Main Campus,3.30887151269,0.00820155232661,41.2466920812
93,City University of New York Grad. Center,5.55198378222,1.05387413544,41233.8794233
94,State University of New York at Binghamton,2.14313640313,0.0,0.0
95,University of North Carolina at Charlotte,39.5844352578,2.62812680414,96351.807621
96,Case Western Reserve University,10.6281790851,0.0466972365181,756.835150497
97,University of New Mexico Main Campus,1.54149049136,0.0,0.0
98,Syracuse University Main Campus,36.8691813882,4.11080431192,308221.812333
99,New Mexico State University Main Campus,0.618640795444,0.0,0.0
100,New Jersey Institute of Technology,0.114538082827,0.0,0.0
