,Name,Computer vision pscore 5 years,Computer vision year 5 years,Computer vision year combined 5 years
0,Stanford University,232308.933333,26078.9665105,3069214130.39
1,University of California-Berkeley,353096.03254,35166.8299896,7401209387.5
2,Massachusetts Institute of Technology,290281.097619,23757.2342717,3071922586.72
3,Carnegie Mellon University,535827.690476,57647.5106747,10208910369.2
4,University of Illinois at Urbana-Champaign,223007.392063,29711.962978,3664290311.22
5,Princeton University,33182.5357143,374.080028231,10466287.7892
6,Cornell University,232363.607143,23267.4904101,2750904247.92
7,University of California-Santa Barbara,111461.838889,5146.45720355,449398552.272
8,University of North Carolina at Chapel Hill,86811.5833333,1450.1884666,197995809.211
9,University of California-Los Angeles,293237.3,56163.6012213,10518327301.1
10,University of Texas at Austin,107347.257143,17789.6336289,3156518659.18
11,Georgia Institute of Technology,331173.557143,40561.6883838,4868052622.97
12,Michigan State University,183402.759524,11316.7387983,2871565504.03
13,University of Maryland College Park,10668.302381,80.9258288711,835678.862754
14,University of California-San Diego,195192.45,26951.0084198,4660678619.97
15,University of Michigan-Ann Arbor,18484.497619,146.699936744,3524004.15643
16,University of Southern California,329882.230159,35306.288427,5740019496.06
17,University of Pennsylvania,205772.533333,21074.5611417,1669111575.59
18,University of Massachusetts Amherst,129460.25,12682.8418407,627183333.77
19,University of Wisconsin-Madison,104790.280952,10175.7938673,463454288.402
20,Harvard University,36326.6166667,1232.88084357,44130640.7547
21,University of Rochester,135480.114286,9586.32212909,849694233.344
22,University of Washington,198303.924603,17402.0461111,1592671413.01
23,Purdue University Main Campus,56071.3190476,1335.82668754,29703975.4395
24,Duke University,64468.2,6615.12384489,643599933.249
25,New York University,137964.269048,8181.61532197,464225816.559
26,Tufts University,19680.25,285.325047517,7167355.63303
27,State University of New York at Stony Brook,17905.1666667,853.363037069,18766362.7501
28,Louisiana State University and Agricultural and Mechanical College,8751.91666667,18.9732456849,272949.112423
29,University of California-Riverside,80245.8555556,4926.69618942,465567353.963
30,Penn State University,323.5,0.0,0.0
31,University of Minnesota-Twin Cities,1738.25,0.0,0.0
32,Brown University,37680.8666667,3927.10491022,240087571.305
33,Rice University,21721.1333333,37.7646947311,787063.323301
34,University of California-Irvine,107503.9,5659.8905497,193940446.553
35,Ohio State University Main Campus,7533.83333333,385.600396302,7492184.9929
36,Yale University,52680.7166667,4987.47620074,559156172.748
37,Arizona State University,99528.7666667,2988.19140442,136271240.865
38,University of Nebraska - Lincoln,2576.33333333,23.0226695131,120063.62969
39,Columbia University In The City of New York,1968.5,9.95683185451,30587.387457
40,University of Connecticut,28012.5,790.001450867,22974513.9127
41,University of California-Davis,43304.6305556,1817.58097041,45609819.7815
42,State University of New York at Buffalo,2031.08333333,14.7512657721,41996.8536533
43,Texas A & M University,1842.0,6.6368369046,27138.0261029
44,University of Oklahoma Norman Campus,5959.58333333,1.52462262305,4497.636738
45,University of Pittsburgh Pittsburgh Campus,1077.83333333,0.0,0.0
46,University of Utah,64086.3333333,1320.05542828,38601482.7584
47,University of California-Santa Cruz,40269.6,1115.88776367,47037775.6441
48,Indiana University at Bloomington,5461.65396825,4.9326136687,12912.6424397
49,University of Virginia,20103.1952381,886.906986849,7830159.47138
50,University of South Florida,85931.3833333,6207.37519499,667884499.566
51,University of Arizona,26404.7666667,2723.88196327,175390759.615
52,Virginia Polytechnic Institute and State University,7274.0,113.645241805,1572212.24878
53,University of Chicago,18046.4297619,333.136677087,3923504.75422
54,Washington University In St. Louis,1931.06666667,8.81119791667,28433.7356771
55,Georgia State University,19539.0777778,340.481210596,11791695.3834
56,North Carolina State University,25503.0611111,515.597305627,27025917.3218
57,University of Tennessee,58948.6416667,1437.68247167,79405382.1035
58,Johns Hopkins University,71314.3666667,2254.55891699,224472987.56
59,Vanderbilt University,22277.45,52.1815710734,333747.118617
60,Florida Institute of Technology,12978.3333333,460.369713873,14001684.4777
61,University of Colorado at Boulder,6761.58333333,183.483532607,2614273.37258
62,Lehigh University,34627.3333333,3010.92135976,175580243.414
63,University of Central Florida,201956.269048,28110.0801357,7085236007.78
64,University of Kentucky,61822.1690476,7146.38976358,556592321.013
65,Florida State University,23488.1833333,1029.98122911,50314199.8531
66,Oklahoma State University Main Campus,9747.83333333,577.048046177,13093628.1998
67,Washington State University,21216.7666667,114.250902411,1044216.59161
68,Iowa State University,8698.58333333,3.66047836674,17083.4525376
69,Northwestern University,198830.890476,10277.7708049,2364220991.26
70,Dartmouth College,36285.8333333,2865.61363868,100465992.848
71,Boston University,77615.7928571,13922.5331113,1797337844.98
72,University of Georgia,33364.8333333,189.35677428,3549131.01861
73,Rutgers The State University of New Jersey New Brunswick Campus,12774.0833333,663.981021851,16236327.9273
74,University of Maryland Baltimore County,3637.6,0.0,0.0
75,California Institute of Technology,107234.116667,17196.5282614,4423276864.58
76,University of Delaware,77201.5277778,12694.4440894,1322306000.26
77,University of Texas at Dallas,47953.6190476,1276.3796652,31409356.0546
78,University of Cincinnati Main Campus,9903.33333333,47.4459771458,743597.004513
79,Kent State University Main Campus,3455.15238095,0.0,0.0
80,Oregon State University,69630.802381,7648.66858103,495618285.844
81,University of Iowa,5272.99166667,1.91961786292,3756.69215773
82,Rensselaer Polytechnic Institute,39485.7416667,3023.83545751,188727700.17
83,University of Florida,112094.099206,11287.9820939,1075986893.15
84,Northeastern University,55217.6833333,3509.26646845,189944943.345
85,Illinois Institute of Technology,10546.4166667,238.005930217,4392170.36823
86,Auburn University,1983.16666667,3.85619732809,5969.39346389
87,Wayne State University,17459.5333333,99.7499529927,1901183.69752
88,University of Oregon,12944.3261905,25.8581649952,490787.971608
89,Wright State University Main Campus,10966.3,86.7635170318,616454.788511
90,University of Illinois at Chicago,27236.8833333,66.2994506025,750804.331305
91,Brandeis University,7954.0,44.4072099399,522584.046572
92,North Dakota State University Main Campus,5226.91666667,12.5898449607,62912.0568194
93,City University of New York Grad. Center,15154.5,2871.9699973,112368698.114
94,State University of New York at Binghamton,2932.33333333,0.0,0.0
95,University of North Carolina at Charlotte,54973.8333333,3780.1922604,132539347.122
96,Case Western Reserve University,17230.75,75.9486045418,1269789.73944
97,University of New Mexico Main Campus,2372.91666667,0.0,0.0
98,Syracuse University Main Campus,46832.4166667,5811.27140383,436544656.533
99,New Mexico State University Main Campus,1293.0,0.0,0.0
100,New Jersey Institute of Technology,129.0,0.0,0.0
101,University of South Carolina Columbia,48873.0857143,5202.86248773,300578653.385
102,College of William and Mary,11044.1166667,173.940957131,2191431.73626
103,Florida International University,18628.1833333,17.0894531445,293819.655923
104,George Washington University,34768.2166667,2293.28339977,123581999.654
105,Old Dominion University,4399.02777778,0.0,0.0
106,Texas Tech University,6963.0,30.5604569882,139569.607065
107,University of Kansas,20176.3111111,439.638148482,3955311.6593
108,University of Arkansas Main Campus,3388.33333333,148.157167983,1256882.06005
109,University of Alabama,4885.5,7.86923076923,12276.0
110,Mississippi State University,6928.48809524,0.0,0.0
111,University of Houston,73906.9416667,6534.74427185,485850348.498
112,University of North Texas,16923.6666667,112.284365072,3265981.18881
113,Clemson University,7600.66666667,40.3758619939,112742.960937
114,State University of New York at Albany,11869.5333333,1033.15166749,29368369.3001
115,Brigham Young University,34344.0833333,1719.87097228,56412034.6501
116,Kansas State University,1526.83333333,0.0,0.0
117,University of Alabama In Huntsville,4699.13333333,22.4852347538,118682.651833
118,University of Memphis,2547.2,0.0,0.0
119,Temple University,74426.0,9912.66098341,969543339.747
120,University of Louisiana at Lafayette,15992.0,25.5061816131,142291.391206
121,University of Alabama at Birmingham,7281.66666667,22.0995764813,152651.489659
122,Oregon Health and Science University,15878.8,878.953138555,19246364.5451
123,Western Michigan University,1521.5,48.4161966085,133144.540673
124,Southern Methodist University,3349.83333333,0.0,0.0
125,University of Southern Mississippi,5505.5,22.5468099362,153137.933086
126,Universidade de Brasília,641.583333333,0.0,0.0
127,Universidade Federal de Uberlândia,2103.41666667,9.76041666667,39910.34375
128,USP - São Carlos,18652.0083333,42.8793815405,390468.285592
129,Universidade de São Paulo,13757.0833333,100.085486798,481462.260666
130,Universidade do Vale do Rio dos Sinos,4077.16666667,0.0,0.0
131,Universidade de Fortaleza,593.895833333,0.0,0.0
132,Universidade Federal de Campina Grande,2342.58333333,2.01108858951,1536.47168238
133,Universidade Federal da Bahia,376.0625,0.0,0.0
134,Universidade Federal do Amazonas,1474.58333333,0.0,0.0
135,Universidade Federal de Minas Gerais,9745.28333333,21.7041859439,151947.670375
136,Universidade Federal do Espírito Santo,1107.91666667,0.0,0.0
137,Universidade Federal de Pernambuco,11716.1041667,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,339.416666667,0.0,0.0
139,Universidade Federal de São Carlos,6025.67916667,53.4332408758,725623.411093
140,Universidade Federal de Santa Catarina,1689.58333333,5.25281130846,12430.7003323
141,Universidade Federal do Rio Grande de Norte,2398.33333333,10.5625,36007.5625
142,Universidade Federal do Rio de Janeiro,6808.5,23.0417906126,114783.985134
143,Pontifícia Universidade Católica do Rio Grande do Sul,1821.25,0.0,0.0
144,Pontifícia Universidade Católica do Rio de Janeiro,4707.5875,14.5051504032,46419.2058742
145,Pontifícia Universidade Católica do Paraná,5066.66666667,17.8637155555,128504.134851
146,Universidade Estadual de Campinas,27763.4791667,604.450669333,10116511.6366
147,Universidade Federal do Ceará,371.333333333,0.0,0.0
148,Universidade Federal do Rio Grande do Sul,16126.8833333,52.7982013823,379830.260745
149,Universidade Federal do Paraná,15268.1666667,407.744515799,11642200.7561
150,Universidade Federal Fluminense,4257.51666667,76.1033596805,356766.264656
151,Imperial College London,188307.266667,12835.7173558,950774805.946
152,University of Oxford,24782.4833333,191.551109964,2986473.35545
153,University of Cambridge,21927.5785714,490.386143403,6321032.58609
154,ETH Zurich,185651.8,23303.0507299,5920501306.01
155,École Polytechnique ParisTech,30808.5,3862.26434921,291515058.882
156,University of Texas at Arlington,,,
157,Ecole Normale Superieure,,,
158,IIIT Bangalore,,,
159,Nanyang Technological University,,,
160,University of Waterloo,,,
161,Western University,,,
162,University of Nebraska,,,
163,Victoria University of Wellington,,,
164,University of Queensland,,,
165,Indiana University-Purdue University Indianapolis,,,
166,Chulalongkorn University,,,
167,University of Pittsburgh,,,
168,University of Michigan,,,
169,IIT Madras,,,
170,City University of New York,,,
171,University of British Columbia,,,
172,Queen’s University,,,
173,Virginia Commonwealth University,,,
174,Polytechnic University of Catalonia,,,
175,Emory University,,,
176,Ecole Normale Superieure de Cachan,,,
177,Georgetown University,,,
178,Binghamton University,,,
179,University of Otago,,,
180,VU Amsterdam,,,
181,McMaster University,,,
182,Monash University,,,
183,Tel Aviv University,,,
184,Boise State University,,,
185,Drexel University,,,
186,Boston College,,,
187,University of Bristol,,,
188,University of Kent,,,
189,Politecnico di Milano,,,
190,Australian National University,,,
191,Toyota Technological Institute at Chicago,,,
