,Name,Computer vision pscore,Computer vision year,Computer vision year combined
0,Stanford University,525722.194066,58567.5591087,6879668895.34
1,University of California-Berkeley,844433.199045,81013.1134425,16995171781.9
2,Massachusetts Institute of Technology,722688.58481,58535.0617914,7522298802.99
3,Carnegie Mellon University,1307207.59384,135881.174308,24825941452.6
4,University of Illinois at Urbana-Champaign,540337.548499,68879.6416012,8684958461.62
5,Princeton University,71054.2595238,796.416160643,22050724.8394
6,Cornell University,557706.066487,55611.1477561,6832544934.93
7,University of California-Santa Barbara,307773.278478,14283.4107718,1268775067.78
8,University of North Carolina at Chapel Hill,164944.1,2778.47419354,384449691.301
9,University of California-Los Angeles,734782.780159,143959.209262,26534395203.3
10,University of Texas at Austin,249076.686905,44390.015408,7873472324.97
11,Georgia Institute of Technology,791903.282756,96080.2703285,11607215598.7
12,Michigan State University,531249.730556,33739.7577846,8820687982.34
13,University of Maryland College Park,29333.3666667,234.105793162,2451392.20425
14,University of California-San Diego,434244.735965,58425.1793704,9886658846.92
15,University of Michigan-Ann Arbor,53500.0057692,435.369205738,10254560.6479
16,University of Southern California,857851.809646,92576.0210311,15215305883.9
17,University of Pennsylvania,499797.151003,50933.4365205,4060735518.59
18,University of Massachusetts Amherst,280955.295007,27523.511734,1379571038.07
19,University of Wisconsin-Madison,237445.496248,21785.1034459,1012051328.18
20,Harvard University,77770.8535714,2725.58097758,98068933.3555
21,University of Rochester,338986.028571,24368.5111965,2118237438.27
22,University of Washington,503176.525647,41464.4842084,3815138326.26
23,Purdue University Main Campus,121829.504263,2826.92420605,63514112.4416
24,Duke University,161642.131042,17206.0689105,1676558636.11
25,New York University,318774.445238,19520.2286852,1105629153.7
26,Tufts University,47736.0809524,707.918687934,18690795.5147
27,State University of New York at Stony Brook,45857.4833333,2283.72643195,55678298.5807
28,Louisiana State University and Agricultural and Mechanical College,23839.5595238,57.9705655708,833964.556301
29,University of California-Riverside,225371.527924,14155.4714107,1447901543.17
30,Penn State University,741.0,0.0,0.0
31,University of Minnesota-Twin Cities,3672.83333333,0.0,0.0
32,Brown University,80057.1195906,8346.01350313,509069956.314
33,Rice University,49188.5316527,97.9471663927,1994504.68734
34,University of California-Irvine,256286.450338,13801.6506231,473642681.822
35,Ohio State University Main Campus,20070.5333333,978.54954147,18932949.7557
36,Yale University,115821.726672,10794.3668444,1209268092.59
37,Arizona State University,213073.951948,6867.23813493,338225077.946
38,University of Nebraska - Lincoln,7226.08333333,66.6400806505,364411.92895
39,Columbia University In The City of New York,3904.83333333,19.4449001084,59734.733133
40,University of Connecticut,62053.0333333,1729.66411103,50237219.5613
41,University of California-Davis,104892.30272,4215.58589691,104014957.526
42,State University of New York at Buffalo,4349.43333333,38.079624991,108412.692349
43,Texas A & M University,4504.5,18.2635143842,74679.5103168
44,University of Oklahoma Norman Campus,15304.12507,4.07072169794,12008.6290089
45,University of Pittsburgh Pittsburgh Campus,2366.0,0.0,0.0
46,University of Utah,148781.533333,3021.41020001,85673552.8717
47,University of California-Santa Cruz,88290.4452381,2773.76842468,119139169.224
48,Indiana University at Bloomington,12721.8166667,11.4219938626,29534.9133935
49,University of Virginia,46399.4,1433.17712089,12909455.7031
50,University of South Florida,228505.185714,16950.5477423,1823707323.56
51,University of Arizona,58236.6378446,6138.72975188,395272808.724
52,Virginia Polytechnic Institute and State University,20524.5333333,335.142482974,4567534.20351
53,University of Chicago,38393.4803139,930.913014257,10773010.4081
54,Washington University In St. Louis,3780.40909091,16.1712239583,52184.5397135
55,Georgia State University,42108.5,755.804391477,26286752.0943
56,North Carolina State University,59916.2368687,1295.46960682,67843604.7892
57,University of Tennessee,167389.211905,4263.64193984,237535126.941
58,Johns Hopkins University,146809.554945,4833.32253974,484514034.055
59,Vanderbilt University,46952.6031136,126.653144812,703632.937833
60,Florida Institute of Technology,37222.8333333,1393.08109353,42369168.3785
61,University of Colorado at Boulder,18992.65,508.342373318,7242862.13503
62,Lehigh University,72634.5,5297.2873906,298692919.559
63,University of Central Florida,520821.722222,73037.3471341,18544924742.3
64,University of Kentucky,152388.366667,18024.050256,1390123170.5
65,Florida State University,62124.625,2921.51418809,143162947.202
66,Oklahoma State University Main Campus,25952.4166667,1607.39680026,36491243.7735
67,Washington State University,49509.7470085,214.18121825,1898491.70984
68,Iowa State University,19685.4880952,7.61558303383,35541.9260189
69,Northwestern University,531115.177778,26508.4301213,6084523952.3
70,Dartmouth College,82192.95,6203.60514301,215483093.422
71,Boston University,180518.535714,32600.090494,4201361730.0
72,University of Georgia,69210.5,480.629624058,8982285.91019
73,Rutgers The State University of New Jersey New Brunswick Campus,24393.0,1076.87585137,26332845.1936
74,University of Maryland Baltimore County,8091.73076923,0.0,0.0
75,California Institute of Technology,273689.730013,42561.0549652,10944838227.1
76,University of Delaware,180760.005556,29234.8391999,3034624821.51
77,University of Texas at Dallas,116711.881197,3431.14146609,85261808.0805
78,University of Cincinnati Main Campus,30759.0,156.274899518,2510328.09542
79,Kent State University Main Campus,7684.51388889,0.0,0.0
80,Oregon State University,178803.592424,20368.2268817,1339556916.45
81,University of Iowa,10941.3472222,5.47452662789,10713.6486108
82,Rensselaer Polytechnic Institute,96403.3452381,7647.19380413,478343264.219
83,University of Florida,277739.283333,27279.8174091,2621784102.06
84,Northeastern University,145490.058813,9358.43723223,512540726.891
85,Illinois Institute of Technology,23900.5333333,593.958245409,11052548.9645
86,Auburn University,4169.58333333,12.651346323,19584.284108
