,Name,Data mining pscore 5 years,Data mining year 5 years,Data mining year combined 5 years
0,Stanford University,153467.709524,3232.45849357,149745576.014
1,University of California-Berkeley,154762.95,520.847158536,20520833.4487
2,Massachusetts Institute of Technology,128657.928571,215.634302153,2497888.00018
3,Carnegie Mellon University,332709.801587,11420.6160774,1536754323.0
4,University of Illinois at Urbana-Champaign,223653.348413,12103.3419605,2759620051.34
5,Princeton University,26428.2547619,1.70048207476,2815.99831581
6,Cornell University,146727.757143,3248.44284738,104784001.742
7,University of California-Santa Barbara,82539.0095238,2233.90567664,111840005.427
8,University of North Carolina at Chapel Hill,13463.5833333,13.0967320832,19370.0667511
9,University of California-Los Angeles,129024.725397,3125.37721719,108164111.038
10,University of Texas at Austin,97155.6190476,2347.78043857,101694086.204
11,Georgia Institute of Technology,178669.952381,6333.6545236,221124175.504
12,Michigan State University,82772.0595238,4482.55312328,168975658.714
13,University of Maryland College Park,17095.3309524,126.38084443,972944.622829
14,University of California-San Diego,80908.6857143,1309.48731295,28062132.1935
15,University of Michigan-Ann Arbor,16242.9619048,183.722111515,925460.660146
16,University of Southern California,189328.43254,3331.78630945,81492979.6751
17,University of Pennsylvania,82805.9666667,593.621658211,11414625.7542
18,University of Massachusetts Amherst,158047.928571,2577.36618159,85090168.8538
19,University of Wisconsin-Madison,73116.0738095,834.260423519,18520977.9648
20,Harvard University,34931.5833333,164.720555434,738671.777457
21,University of Rochester,50457.8595238,650.548403173,10424891.327
22,University of Washington,131617.230952,1329.43154819,53556493.8949
23,Purdue University Main Campus,116150.56746,3705.5932046,99765654.7314
24,Duke University,55166.6388889,412.820840713,4794790.07619
25,New York University,70439.297619,431.247256953,7920954.73889
26,Tufts University,13446.8333333,118.094552279,1206092.92807
27,State University of New York at Stony Brook,12459.0833333,10.8959051901,49106.2483092
28,Louisiana State University and Agricultural and Mechanical College,11424.0833333,31.217568947,159872.822942
29,University of California-Riverside,92567.3,6607.39781097,419001541.183
30,Penn State University,228.0,0.0,0.0
31,University of Minnesota-Twin Cities,7207.91666667,75.9560830972,792147.863777
32,Brown University,44583.6666667,150.342940692,1350329.09998
33,Rice University,25230.5031746,914.467760239,11619855.5852
34,University of California-Irvine,117367.134127,2571.38785782,119365988.914
35,Ohio State University Main Campus,6841.83333333,52.6027592953,568583.225223
36,Yale University,30021.0166667,109.436921853,1448036.61457
37,Arizona State University,140241.133333,7296.02582568,420329308.206
38,University of Nebraska - Lincoln,3533.83333333,91.4977195889,647254.868372
39,Columbia University In The City of New York,3025.5,10.9800559737,73149.1328969
40,University of Connecticut,30632.4166667,800.711530308,13831280.1083
41,University of California-Davis,57642.9083333,3793.6285156,138589948.25
42,State University of New York at Buffalo,4669.13333333,59.4197670102,347469.09385
43,Texas A & M University,2454.5,11.4220003149,18632.0143393
44,University of Oklahoma Norman Campus,15745.9333333,431.753623136,3918509.75164
45,University of Pittsburgh Pittsburgh Campus,5395.83333333,69.8854102817,911813.021879
46,University of Utah,27020.8166667,192.578482823,1707004.41444
47,University of California-Santa Cruz,63437.6,2012.9458809,88430257.4276
48,Indiana University at Bloomington,13963.1325397,168.766385531,1745947.11498
49,University of Virginia,28367.3952381,1872.82087247,22613791.7967
50,University of South Florida,27169.1166667,299.007116933,2875598.1227
