,Name,Database pscore,Database year,Database year combined
0,Stanford University,535011.685802,52502.20238,7983521519.98
1,University of California-Berkeley,330125.385007,19053.6457457,2154102265.35
2,Massachusetts Institute of Technology,384425.073563,39608.7061762,6595322812.32
3,Carnegie Mellon University,445042.483233,16076.0993206,1935327987.96
4,University of Illinois at Urbana-Champaign,616448.314585,43310.7911195,6470839054.74
5,Princeton University,66762.4089286,99.2078695619,627332.315005
6,Cornell University,267631.978737,20320.7130043,2432341536.53
7,University of California-Santa Barbara,327393.40796,26180.8746933,3044600373.86
8,University of North Carolina at Chapel Hill,6121.2,0.0,0.0
9,University of California-Los Angeles,326366.318254,19793.8878163,1359960063.66
10,University of Texas at Austin,167952.583333,3198.70218135,65013256.3225
11,Georgia Institute of Technology,401363.699143,9482.65839753,604475767.597
12,Michigan State University,98633.7222222,1001.78021033,21030344.064
13,University of Maryland College Park,44220.477381,246.126730635,2786691.24519
14,University of California-San Diego,192895.507895,19651.9020782,1146915320.92
15,University of Michigan-Ann Arbor,15729.2891026,85.3642424898,389381.362518
16,University of Southern California,298137.977656,8222.22077706,368517221.275
17,University of Pennsylvania,186216.09765,16441.342199,797216790.512
18,University of Massachusetts Amherst,335224.725147,33452.6756265,1504667115.66
19,University of Wisconsin-Madison,395511.229001,79856.8288479,10473999168.3
20,Harvard University,86449.1571429,11306.7669414,434541537.831
21,University of Rochester,40695.6513431,53.3993649551,266525.557845
22,University of Washington,256348.927538,30611.2259064,3097019528.33
23,Purdue University Main Campus,430601.296353,25793.9413488,1834658771.95
24,Duke University,217732.781006,37159.8436478,2631611832.15
25,New York University,199588.405357,11324.8556904,835172079.59
26,Tufts University,15762.1142857,65.0459084849,314293.359124
27,State University of New York at Stony Brook,48974.5166667,587.677693207,8034839.97167
28,Louisiana State University and Agricultural and Mechanical College,39063.3309524,757.147884511,12897053.6783
29,University of California-Riverside,203069.721345,17888.2324276,769570077.381
30,Penn State University,1339.5,0.0,0.0
31,University of Minnesota-Twin Cities,8403.58333333,33.3004523141,361776.11394
32,Brown University,156675.363409,22191.591907,1736867546.83
33,Rice University,96179.0789916,9190.31897667,279869362.157
34,University of California-Irvine,375362.475277,32799.1252322,4230892424.85
35,Ohio State University Main Campus,16600.45,260.67568851,1273400.73837
36,Yale University,97027.2890495,5053.37535788,376563722.043
37,Arizona State University,252347.591242,18740.8829474,891134392.692
38,University of Nebraska - Lincoln,3255.41666667,0.0,0.0
39,Columbia University In The City of New York,6107.33333333,9.3873767561,38914.8083787
40,University of Connecticut,39796.0,75.6901790927,487808.637136
41,University of California-Davis,81729.2658603,2112.01831911,27484212.0719
42,State University of New York at Buffalo,8499.2,108.531688845,476543.391522
43,Texas A & M University,5542.78333333,0.0,0.0
44,University of Oklahoma Norman Campus,40055.9901961,871.450388692,22541371.671
45,University of Pittsburgh Pittsburgh Campus,7358.5,0.0,0.0
46,University of Utah,40418.4,1198.4173715,11743587.5072
47,University of California-Santa Cruz,235837.159524,31845.8112264,1735241345.92
48,Indiana University at Bloomington,21445.0277778,85.5372657358,370734.62702
49,University of Virginia,77655.9964286,569.566388022,7693630.90345
50,University of South Florida,35533.4547619,1700.82122244,32453403.3683
51,University of Arizona,162167.901504,13692.3283036,1132116198.71
52,Virginia Polytechnic Institute and State University,9665.4,38.1590643828,104212.404829
53,University of Chicago,124393.189563,20926.3362914,3152848581.46
54,Washington University In St. Louis,6638.12878788,24.5697689095,58009.2243953
55,Georgia State University,23244.7666667,107.461166709,785541.128641
56,North Carolina State University,109641.045455,3564.74906877,67893554.55
57,University of Tennessee,38595.052381,84.4980781476,322458.841788
58,Johns Hopkins University,40501.2234432,2027.05312562,34278549.3924
59,Vanderbilt University,29972.7379121,197.397343011,1713051.17591
60,Florida Institute of Technology,11562.15,25.3476190476,153758.657143
61,University of Colorado at Boulder,49741.25,1644.16350777,43361805.7801
62,Lehigh University,19635.0833333,28.8649914833,302014.40589
63,University of Central Florida,67927.6916667,870.639335292,19898536.8396
64,University of Kentucky,44765.9083333,233.762188835,3305318.74107
65,Florida State University,68799.1333333,12073.0120104,799405613.941
66,Oklahoma State University Main Campus,4934.75,0.0,0.0
67,Washington State University,52582.6692308,3866.62669366,95712643.4497
68,Iowa State University,51563.3095238,765.976150297,10043914.7184
69,Northwestern University,120513.1,2109.1651326,51742157.168
70,Dartmouth College,26515.9333333,12.0057273769,44973.4547537
71,Boston University,74233.3269841,5037.50180529,215228917.702
72,University of Georgia,23051.7833333,264.536976766,1991967.20168
73,Rutgers The State University of New Jersey New Brunswick Campus,2418.9,0.0,0.0
74,University of Maryland Baltimore County,25727.4807692,30.9261787233,136748.802736
75,California Institute of Technology,28169.0912281,74.8451249624,325608.118526
